concept_samples,random_samples,num_cavs,mean_cosine_similarity,consistency
30,30,30,0.5478571232022911,0.125882304565591
40,40,30,0.6023936327846571,0.1144858004600341
50,50,30,0.6491709314543626,0.10623629910056696
60,60,30,0.6806518493027522,0.10132275011377162
70,70,30,0.7143685384728443,0.09654052989065243
80,80,30,0.7525903841544842,0.09163752114486592
90,90,30,0.7805560717637512,0.08835434088103913
100,100,30,0.817071862467404,0.08440569356178336
110,110,30,0.858354475717435,0.08034619634706995
120,120,30,0.8898152022526182,0.07750543828290318
130,130,30,0.9317330612533394,0.07401853611227337
140,140,30,0.970030613603263,0.0710962275563664
