layer,input_shape,output_shape,,,,,,,
"Conv2d_1a_3x3.conv, (Conv2d)","(1, 3, 299, 299)","(1, 32, 149, 149)",,(,),22,28,Conv2d,
"Conv2d_1a_3x3.bn, (BatchNorm2d)","(1, 32, 149, 149)","(1, 32, 149, 149)",,(,),20,31,BatchNorm2d,
"Conv2d_1a_3x3, (BasicConv2d)","(1, 3, 299, 299)","(1, 32, 149, 149)",,(,),17,28,BasicConv2d,
"Conv2d_2a_3x3.conv, (Conv2d)","(1, 32, 149, 149)","(1, 32, 147, 147)",,(,),22,28,Conv2d,
"Conv2d_2a_3x3.bn, (BatchNorm2d)","(1, 32, 147, 147)","(1, 32, 147, 147)",,(,),20,31,BatchNorm2d,
"Conv2d_2a_3x3, (BasicConv2d)","(1, 32, 149, 149)","(1, 32, 147, 147)",,(,),17,28,BasicConv2d,
"Conv2d_2b_3x3.conv, (Conv2d)","(1, 32, 147, 147)","(1, 64, 147, 147)",,(,),22,28,Conv2d,
"Conv2d_2b_3x3.bn, (BatchNorm2d)","(1, 64, 147, 147)","(1, 64, 147, 147)",,(,),20,31,BatchNorm2d,
"Conv2d_2b_3x3, (BasicConv2d)","(1, 32, 147, 147)","(1, 64, 147, 147)",,(,),17,28,BasicConv2d,
"maxpool1, (MaxPool2d)","(1, 64, 147, 147)","(1, 64, 73, 73)",,(,),12,21,MaxPool2d,
"Conv2d_3b_1x1.conv, (Conv2d)","(1, 64, 73, 73)","(1, 80, 73, 73)",,(,),22,28,Conv2d,
"Conv2d_3b_1x1.bn, (BatchNorm2d)","(1, 80, 73, 73)","(1, 80, 73, 73)",,(,),20,31,BatchNorm2d,
"Conv2d_3b_1x1, (BasicConv2d)","(1, 64, 73, 73)","(1, 80, 73, 73)",,(,),17,28,BasicConv2d,
"Conv2d_4a_3x3.conv, (Conv2d)","(1, 80, 73, 73)","(1, 192, 71, 71)",,(,),22,28,Conv2d,
"Conv2d_4a_3x3.bn, (BatchNorm2d)","(1, 192, 71, 71)","(1, 192, 71, 71)",,(,),20,31,BatchNorm2d,
"Conv2d_4a_3x3, (BasicConv2d)","(1, 80, 73, 73)","(1, 192, 71, 71)",,(,),17,28,BasicConv2d,
"maxpool2, (MaxPool2d)","(1, 192, 71, 71)","(1, 192, 35, 35)",,(,),12,21,MaxPool2d,
"Mixed_5b.branch1x1.conv, (Conv2d)","(1, 192, 35, 35)","(1, 64, 35, 35)",,(,),27,33,Conv2d,
"Mixed_5b.branch1x1.bn, (BatchNorm2d)","(1, 64, 35, 35)","(1, 64, 35, 35)",,(,),25,36,BatchNorm2d,
"Mixed_5b.branch1x1, (BasicConv2d)","(1, 192, 35, 35)","(1, 64, 35, 35)",,(,),22,33,BasicConv2d,
"Mixed_5b.branch5x5_1.conv, (Conv2d)","(1, 192, 35, 35)","(1, 48, 35, 35)",,(,),29,35,Conv2d,
"Mixed_5b.branch5x5_1.bn, (BatchNorm2d)","(1, 48, 35, 35)","(1, 48, 35, 35)",,(,),27,38,BatchNorm2d,
"Mixed_5b.branch5x5_1, (BasicConv2d)","(1, 192, 35, 35)","(1, 48, 35, 35)",,(,),24,35,BasicConv2d,
"Mixed_5b.branch5x5_2.conv, (Conv2d)","(1, 48, 35, 35)","(1, 64, 35, 35)",,(,),29,35,Conv2d,
"Mixed_5b.branch5x5_2.bn, (BatchNorm2d)","(1, 64, 35, 35)","(1, 64, 35, 35)",,(,),27,38,BatchNorm2d,
"Mixed_5b.branch5x5_2, (BasicConv2d)","(1, 48, 35, 35)","(1, 64, 35, 35)",,(,),24,35,BasicConv2d,
"Mixed_5b.branch3x3dbl_1.conv, (Conv2d)","(1, 192, 35, 35)","(1, 64, 35, 35)",,(,),32,38,Conv2d,
"Mixed_5b.branch3x3dbl_1.bn, (BatchNorm2d)","(1, 64, 35, 35)","(1, 64, 35, 35)",,(,),30,41,BatchNorm2d,
"Mixed_5b.branch3x3dbl_1, (BasicConv2d)","(1, 192, 35, 35)","(1, 64, 35, 35)",,(,),27,38,BasicConv2d,
"Mixed_5b.branch3x3dbl_2.conv, (Conv2d)","(1, 64, 35, 35)","(1, 96, 35, 35)",,(,),32,38,Conv2d,
"Mixed_5b.branch3x3dbl_2.bn, (BatchNorm2d)","(1, 96, 35, 35)","(1, 96, 35, 35)",,(,),30,41,BatchNorm2d,
"Mixed_5b.branch3x3dbl_2, (BasicConv2d)","(1, 64, 35, 35)","(1, 96, 35, 35)",,(,),27,38,BasicConv2d,
"Mixed_5b.branch3x3dbl_3.conv, (Conv2d)","(1, 96, 35, 35)","(1, 96, 35, 35)",,(,),32,38,Conv2d,
"Mixed_5b.branch3x3dbl_3.bn, (BatchNorm2d)","(1, 96, 35, 35)","(1, 96, 35, 35)",,(,),30,41,BatchNorm2d,
"Mixed_5b.branch3x3dbl_3, (BasicConv2d)","(1, 96, 35, 35)","(1, 96, 35, 35)",,(,),27,38,BasicConv2d,
"Mixed_5b.branch_pool.conv, (Conv2d)","(1, 192, 35, 35)","(1, 32, 35, 35)",,(,),29,35,Conv2d,
"Mixed_5b.branch_pool.bn, (BatchNorm2d)","(1, 32, 35, 35)","(1, 32, 35, 35)",,(,),27,38,BatchNorm2d,
"Mixed_5b.branch_pool, (BasicConv2d)","(1, 192, 35, 35)","(1, 32, 35, 35)",,(,),24,35,BasicConv2d,
"Mixed_5b, (InceptionA)","(1, 192, 35, 35)","(1, 256, 35, 35)",,(,),12,22,InceptionA,
"Mixed_5c.branch1x1.conv, (Conv2d)","(1, 256, 35, 35)","(1, 64, 35, 35)",,(,),27,33,Conv2d,
"Mixed_5c.branch1x1.bn, (BatchNorm2d)","(1, 64, 35, 35)","(1, 64, 35, 35)",,(,),25,36,BatchNorm2d,
"Mixed_5c.branch1x1, (BasicConv2d)","(1, 256, 35, 35)","(1, 64, 35, 35)",,(,),22,33,BasicConv2d,
"Mixed_5c.branch5x5_1.conv, (Conv2d)","(1, 256, 35, 35)","(1, 48, 35, 35)",,(,),29,35,Conv2d,
"Mixed_5c.branch5x5_1.bn, (BatchNorm2d)","(1, 48, 35, 35)","(1, 48, 35, 35)",,(,),27,38,BatchNorm2d,
"Mixed_5c.branch5x5_1, (BasicConv2d)","(1, 256, 35, 35)","(1, 48, 35, 35)",,(,),24,35,BasicConv2d,
