layer,input_shape,output_shape
"features.0.0, (Conv2d)","(1, 3, 224, 224)","(1, 16, 112, 112)"
"features.0.1, (BatchNorm2d)","(1, 16, 112, 112)","(1, 16, 112, 112)"
"features.0.2, (Hardswish)","(1, 16, 112, 112)","(1, 16, 112, 112)"
"features.1.block.0.0, (Conv2d)","(1, 16, 112, 112)","(1, 16, 112, 112)"
"features.1.block.0.1, (BatchNorm2d)","(1, 16, 112, 112)","(1, 16, 112, 112)"
"features.1.block.0.2, (ReLU)","(1, 16, 112, 112)","(1, 16, 112, 112)"
"features.1.block.1.0, (Conv2d)","(1, 16, 112, 112)","(1, 16, 112, 112)"
"features.1.block.1.1, (BatchNorm2d)","(1, 16, 112, 112)","(1, 16, 112, 112)"
"features.1, (InvertedResidual)","(1, 16, 112, 112)","(1, 16, 112, 112)"
"features.2.block.0.0, (Conv2d)","(1, 16, 112, 112)","(1, 64, 112, 112)"
"features.2.block.0.1, (BatchNorm2d)","(1, 64, 112, 112)","(1, 64, 112, 112)"
"features.2.block.0.2, (ReLU)","(1, 64, 112, 112)","(1, 64, 112, 112)"
"features.2.block.1.0, (Conv2d)","(1, 64, 112, 112)","(1, 64, 56, 56)"
"features.2.block.1.1, (BatchNorm2d)","(1, 64, 56, 56)","(1, 64, 56, 56)"
"features.2.block.1.2, (ReLU)","(1, 64, 56, 56)","(1, 64, 56, 56)"
"features.2.block.2.0, (Conv2d)","(1, 64, 56, 56)","(1, 24, 56, 56)"
"features.2.block.2.1, (BatchNorm2d)","(1, 24, 56, 56)","(1, 24, 56, 56)"
"features.2, (InvertedResidual)","(1, 16, 112, 112)","(1, 24, 56, 56)"
"features.3.block.0.0, (Conv2d)","(1, 24, 56, 56)","(1, 72, 56, 56)"
"features.3.block.0.1, (BatchNorm2d)","(1, 72, 56, 56)","(1, 72, 56, 56)"
"features.3.block.0.2, (ReLU)","(1, 72, 56, 56)","(1, 72, 56, 56)"
"features.3.block.1.0, (Conv2d)","(1, 72, 56, 56)","(1, 72, 56, 56)"
"features.3.block.1.1, (BatchNorm2d)","(1, 72, 56, 56)","(1, 72, 56, 56)"
"features.3.block.1.2, (ReLU)","(1, 72, 56, 56)","(1, 72, 56, 56)"
"features.3.block.2.0, (Conv2d)","(1, 72, 56, 56)","(1, 24, 56, 56)"
"features.3.block.2.1, (BatchNorm2d)","(1, 24, 56, 56)","(1, 24, 56, 56)"
"features.3, (InvertedResidual)","(1, 24, 56, 56)","(1, 24, 56, 56)"
"features.4.block.0.0, (Conv2d)","(1, 24, 56, 56)","(1, 72, 56, 56)"
"features.4.block.0.1, (BatchNorm2d)","(1, 72, 56, 56)","(1, 72, 56, 56)"
"features.4.block.0.2, (ReLU)","(1, 72, 56, 56)","(1, 72, 56, 56)"
"features.4.block.1.0, (Conv2d)","(1, 72, 56, 56)","(1, 72, 28, 28)"
"features.4.block.1.1, (BatchNorm2d)","(1, 72, 28, 28)","(1, 72, 28, 28)"
