layer,input_shape,output_shape,,,,,PyTorch Layer Path,MobileNet-V3-Small Stage,,,,
"features.0.0, (Conv2d)","(1, 3, 224, 224)","(1, 16, 112, 112)",,,Stem,,features.0.*,Stem Conv ,3×3, stride 2),,
"features.0.1, (BatchNorm2d)","(1, 16, 112, 112)","(1, 16, 112, 112)",,,Stem,,features.1.*,IR-1 ,MBConv, k=3, SE, ReLU
"features.0.2, (Hardswish)","(1, 16, 112, 112)","(1, 16, 112, 112)",,,Stem,,features.2.*,IR-2 ,MBConv, k=3,, ReLU
"features.1.block.0.0, (Conv2d)","(1, 16, 112, 112)","(1, 16, 56, 56)",,,Inverted Residue 1,,features.3.*,IR-3 ,MBConv, k=3,, ReLU
"features.1.block.0.1, (BatchNorm2d)","(1, 16, 56, 56)","(1, 16, 56, 56)",,,Inverted Residue 1,,features.4.*,IR-4 ,MBConv, k=5, SE, Hardswish
"features.1.block.0.2, (ReLU)","(1, 16, 56, 56)","(1, 16, 56, 56)",,,Inverted Residue 1,,features.5.*,IR-5 ,MBConv, k=5, SE, Hardswish
"features.1.block.1.avgpool, (AdaptiveAvgPool2d)","(1, 16, 56, 56)","(1, 16, 1, 1)",,,Inverted Residue 1,,features.6.*,IR-6 ,MBConv, k=5, SE, Hardswish
"features.1.block.1.fc1, (Conv2d)","(1, 16, 1, 1)","(1, 8, 1, 1)",,,Inverted Residue 1,,features.7.*,IR-7 ,MBConv, k=5, SE, Hardswish
"features.1.block.1.activation, (ReLU)","(1, 8, 1, 1)","(1, 8, 1, 1)",,,Inverted Residue 1,,features.8.*,IR-8 ,MBConv, k=5, SE, Hardswish
"features.1.block.1.fc2, (Conv2d)","(1, 8, 1, 1)","(1, 16, 1, 1)",,,Inverted Residue 1,,features.9.*,IR-9 ,MBConv, k=5, SE, Hardswish
"features.1.block.1.scale_activation, (Hardsigmoid)","(1, 16, 1, 1)","(1, 16, 1, 1)",,,Inverted Residue 1,,features.10.*,IR-10 ,MBConv, k=5, SE, Hardswish
"features.1.block.1, (SqueezeExcitation)","(1, 16, 56, 56)","(1, 16, 56, 56)",,,Inverted Residue 1,,features.11.*,IR-11 ,MBConv, k=5, SE, Hardswish
"features.1.block.2.0, (Conv2d)","(1, 16, 56, 56)","(1, 16, 56, 56)",,,Inverted Residue 1,,features.12.*,Final 1×1 Conv ,expansion ? embedding),,,
"features.1.block.2.1, (BatchNorm2d)","(1, 16, 56, 56)","(1, 16, 56, 56)",,,Inverted Residue 1,,avgpool,Global Average Pooling,,,,
"features.1, (InvertedResidual)","(1, 16, 112, 112)","(1, 16, 56, 56)",,,Inverted Residue 2,,classifier.0,FC-1 ,embedding ? hidden),,,
"features.2.block.0.0, (Conv2d)","(1, 16, 56, 56)","(1, 72, 56, 56)",,,Inverted Residue 2,,classifier.1,Hardswish,,,,
"features.2.block.0.1, (BatchNorm2d)","(1, 72, 56, 56)","(1, 72, 56, 56)",,,Inverted Residue 2,,classifier.2,Dropout,,,,
"features.2.block.0.2, (ReLU)","(1, 72, 56, 56)","(1, 72, 56, 56)",,,Inverted Residue 2,,classifier.3,Classifier FC ,hidden ? classes),,,
"features.2.block.1.0, (Conv2d)","(1, 72, 56, 56)","(1, 72, 28, 28)",,,Inverted Residue 2,,,,,,,
"features.2.block.1.1, (BatchNorm2d)","(1, 72, 28, 28)","(1, 72, 28, 28)",,,Inverted Residue 2,,,,,,,
"features.2.block.1.2, (ReLU)","(1, 72, 28, 28)","(1, 72, 28, 28)",,,Inverted Residue 2,,,,,,,
"features.2.block.2.0, (Conv2d)","(1, 72, 28, 28)","(1, 24, 28, 28)",,,Inverted Residue 2,,,,,,,
"features.2.block.2.1, (BatchNorm2d)","(1, 24, 28, 28)","(1, 24, 28, 28)",,,Inverted Residue 2,,,,,,,
"features.2, (InvertedResidual)","(1, 16, 56, 56)","(1, 24, 28, 28)",,,Inverted Residue 3,,,,,,,
"features.3.block.0.0, (Conv2d)","(1, 24, 28, 28)","(1, 88, 28, 28)",,,Inverted Residue 3,,,,,,,
"features.3.block.0.1, (BatchNorm2d)","(1, 88, 28, 28)","(1, 88, 28, 28)",,,Inverted Residue 3,,,,,,,
"features.3.block.0.2, (ReLU)","(1, 88, 28, 28)","(1, 88, 28, 28)",,,Inverted Residue 3,,,,,,,
"features.3.block.1.0, (Conv2d)","(1, 88, 28, 28)","(1, 88, 28, 28)",,,Inverted Residue 3,,,,,,,
"features.3.block.1.1, (BatchNorm2d)","(1, 88, 28, 28)","(1, 88, 28, 28)",,,Inverted Residue 3,,,,,,,
"features.3.block.1.2, (ReLU)","(1, 88, 28, 28)","(1, 88, 28, 28)",,,Inverted Residue 3,,,,,,,
"features.3.block.2.0, (Conv2d)","(1, 88, 28, 28)","(1, 24, 28, 28)",,,Inverted Residue 3,,,,,,,
"features.3.block.2.1, (BatchNorm2d)","(1, 24, 28, 28)","(1, 24, 28, 28)",,,Inverted Residue 3,,,,,,,
"features.3, (InvertedResidual)","(1, 24, 28, 28)","(1, 24, 28, 28)",,,Inverted Residue .4,,,,,,,
"features.4.block.0.0, (Conv2d)","(1, 24, 28, 28)","(1, 96, 28, 28)",,,Inverted Residue .4,,,,,,,
"features.4.block.0.1, (BatchNorm2d)","(1, 96, 28, 28)","(1, 96, 28, 28)",,,Inverted Residue .4,,,,,,,
"features.4.block.0.2, (Hardswish)","(1, 96, 28, 28)","(1, 96, 28, 28)",,,Inverted Residue .4,,,,,,,
"features.4.block.1.0, (Conv2d)","(1, 96, 28, 28)","(1, 96, 14, 14)",,,Inverted Residue .4,,,,,,,
"features.4.block.1.1, (BatchNorm2d)","(1, 96, 14, 14)","(1, 96, 14, 14)",,,Inverted Residue .4,,,,,,,
"features.4.block.1.2, (Hardswish)","(1, 96, 14, 14)","(1, 96, 14, 14)",,,Inverted Residue .4,,,,,,,
"features.4.block.2.avgpool, (AdaptiveAvgPool2d)","(1, 96, 14, 14)","(1, 96, 1, 1)",,,Inverted Residue .4,,,,,,,
"features.4.block.2.fc1, (Conv2d)","(1, 96, 1, 1)","(1, 24, 1, 1)",,,Inverted Residue .4,,,,,,,
