layer,input_shape,output_shape,,,,,,,,,,,
"features.0, (Conv2d)","(1, 3, 224, 224)","(1, 64, 224, 224)",,Block1,Block1,"features.0, (Conv2d)",,Relu blocks,"features.1, (ReLU)",,,Pool,"features.4, (MaxPool2d)"
"features.1, (ReLU)","(1, 64, 224, 224)","(1, 64, 224, 224)",,Relu,Block1,"features.2, (Conv2d)",,Relu blocks,"features.3, (ReLU)",,,Pool,"features.9, (MaxPool2d)"
"features.2, (Conv2d)","(1, 64, 224, 224)","(1, 64, 224, 224)",,Block1,Block2,"features.5, (Conv2d)",,Relu blocks,"features.6, (ReLU)",,,Pool,"features.16, (MaxPool2d)"
"features.3, (ReLU)","(1, 64, 224, 224)","(1, 64, 224, 224)",,Relu,Block2,"features.7, (Conv2d)",,Relu blocks,"features.8, (ReLU)",,,Pool,"features.23, (MaxPool2d)"
"features.4, (MaxPool2d)","(1, 64, 224, 224)","(1, 64, 112, 112)",,Pool,Block3,"features.10, (Conv2d)",,Relu blocks,"features.11, (ReLU)",,,Pool,"features.30, (MaxPool2d)"
"features.5, (Conv2d)","(1, 64, 112, 112)","(1, 128, 112, 112)",,Block2,Block3,"features.12, (Conv2d)",,Relu blocks,"features.13, (ReLU)",,,Pool,"avgpool, (AdaptiveAvgPool2d)"
"features.6, (ReLU)","(1, 128, 112, 112)","(1, 128, 112, 112)",,Relu,Block3,"features.14, (Conv2d)",,Relu blocks,"features.15, (ReLU)",,,,
"features.7, (Conv2d)","(1, 128, 112, 112)","(1, 128, 112, 112)",,Block2,Block4,"features.17, (Conv2d)",,Relu blocks,"features.18, (ReLU)",,,,
"features.8, (ReLU)","(1, 128, 112, 112)","(1, 128, 112, 112)",,Relu,Block4,"features.19, (Conv2d)",,Relu blocks,"features.20, (ReLU)",,,,
"features.9, (MaxPool2d)","(1, 128, 112, 112)","(1, 128, 56, 56)",,Pool,Block4,"features.21, (Conv2d)",,Relu blocks,"features.22, (ReLU)",,,,
"features.10, (Conv2d)","(1, 128, 56, 56)","(1, 256, 56, 56)",,Block3,Block5,"features.24, (Conv2d)",,Relu blocks,"features.25, (ReLU)",,,,
"features.11, (ReLU)","(1, 256, 56, 56)","(1, 256, 56, 56)",,Relu,Block5,"features.26, (Conv2d)",,Relu blocks,"features.27, (ReLU)",,,,
"features.12, (Conv2d)","(1, 256, 56, 56)","(1, 256, 56, 56)",,Block3,Block5,"features.28, (Conv2d)",,Relu blocks,"features.29, (ReLU)",,,,
"features.13, (ReLU)","(1, 256, 56, 56)","(1, 256, 56, 56)",,Relu,,,,Relu blocks,"classifier.1, (ReLU)",,,,
"features.14, (Conv2d)","(1, 256, 56, 56)","(1, 256, 56, 56)",,Block3,,,,Relu blocks,"classifier.4, (ReLU)",,,,
"features.15, (ReLU)","(1, 256, 56, 56)","(1, 256, 56, 56)",,Relu,,,,,,,,,
"features.16, (MaxPool2d)","(1, 256, 56, 56)","(1, 256, 28, 28)",,Pool,,,,,,,,,
"features.17, (Conv2d)","(1, 256, 28, 28)","(1, 512, 28, 28)",,Block4,,,,,,,,,
"features.18, (ReLU)","(1, 512, 28, 28)","(1, 512, 28, 28)",,Relu,,,,,,,,,
"features.19, (Conv2d)","(1, 512, 28, 28)","(1, 512, 28, 28)",,Block4,,,,,,,,,
"features.20, (ReLU)","(1, 512, 28, 28)","(1, 512, 28, 28)",,Relu,,,,,,,,,
"features.21, (Conv2d)","(1, 512, 28, 28)","(1, 512, 28, 28)",,Block4,,,,,,,,,
"features.22, (ReLU)","(1, 512, 28, 28)","(1, 512, 28, 28)",,Relu,,,,,,,,,
"features.23, (MaxPool2d)","(1, 512, 28, 28)","(1, 512, 14, 14)",,Pool,,,,,,,,,
"features.24, (Conv2d)","(1, 512, 14, 14)","(1, 512, 14, 14)",,Block5,,,,,,,,,
"features.25, (ReLU)","(1, 512, 14, 14)","(1, 512, 14, 14)",,Relu,,,,,,,,,
"features.26, (Conv2d)","(1, 512, 14, 14)","(1, 512, 14, 14)",,Block5,,,,,,,,,
"features.27, (ReLU)","(1, 512, 14, 14)","(1, 512, 14, 14)",,Relu,,,,,,,,,
"features.28, (Conv2d)","(1, 512, 14, 14)","(1, 512, 14, 14)",,Block5,,,,,,,,,
"features.29, (ReLU)","(1, 512, 14, 14)","(1, 512, 14, 14)",,Relu,,,,,,,,,
"features.30, (MaxPool2d)","(1, 512, 14, 14)","(1, 512, 7, 7)",,Pool,,,,,,,,,
"avgpool, (AdaptiveAvgPool2d)","(1, 512, 7, 7)","(1, 512, 7, 7)",,Pool,,,,,,,,,
"classifier.0, (Linear)","(1, 25088)","(1, 4096)",,,,,,,,,,,
"classifier.1, (ReLU)","(1, 4096)","(1, 4096)",,Relu,,,,,,,,,
"classifier.2, (Dropout)","(1, 4096)","(1, 4096)",,,,,,,,,,,
"classifier.3, (Linear)","(1, 4096)","(1, 4096)",,,,,,,,,,,
"classifier.4, (ReLU)","(1, 4096)","(1, 4096)",,Relu,,,,,,,,,
"classifier.5, (Dropout)","(1, 4096)","(1, 4096)",,,,,,,,,,,
"classifier.6, (Linear)","(1, 4096)","(1, 3)",,,,,,,,,,,
