Layer Name,Lambda Classification,Lambda Alignment,Accuracy Before,Accuracy After,Precision Before,Precision After,Recall Before,Recall After,F1 Before,F1 After,TCAV Before (deer),TCAV After (deer),Avg Conf deer Before,Avg Conf deer After,TCAV Before (horse),TCAV After (horse),Avg Conf horse Before,Avg Conf horse After,TCAV Before (zebra),TCAV After (zebra),Avg Conf zebra Before,Avg Conf zebra After
conv_block4.0,0.5,0.5,0.824,0.804,0.819,0.782,0.76,0.701,0.78,0.716,1.0,1.0,0.547,0.632,0.172,0.851,0.866,0.914,0.0,0.0,0.949,0.964
conv_block4.0,0.5,0.5,0.824,0.833,0.819,0.844,0.76,0.739,0.78,0.761,1.0,1.0,0.547,0.707,0.172,0.023,0.866,0.923,0.0,0.0,0.949,0.969
conv_block4.0,0.8,0.2,0.824,0.824,0.819,0.838,0.76,0.717,0.78,0.736,1.0,1.0,0.547,0.631,0.172,0.154,0.866,0.945,0.0,0.0,0.949,0.992
conv_block4.0,0.1,0.9,0.824,0.794,0.819,0.79,0.76,0.665,0.78,0.669,1.0,1.0,0.547,0.648,0.172,0.217,0.866,0.911,0.0,0.0,0.949,0.975
conv_block4.0,0.9,0.1,0.824,0.833,0.819,0.842,0.76,0.739,0.78,0.761,1.0,1.0,0.547,0.677,0.172,0.081,0.866,0.943,0.0,0.0,0.949,0.952
conv_block4.0,0.7,0.3,0.824,0.804,0.819,0.815,0.76,0.701,0.78,0.72,1.0,0.956,0.547,0.743,0.172,0.267,0.866,0.932,0.0,0.0,0.949,0.947
conv_block3.0,0.7,0.3,0.824,0.853,0.819,0.867,0.76,0.783,0.78,0.808,0.844,0.867,0.547,0.692,1.0,1.0,0.866,0.93,0.0,0.0,0.949,0.985
conv_block3.0,0.7,0.3,0.824,0.824,0.819,0.838,0.76,0.717,0.78,0.736,0.844,0.844,0.547,0.625,1.0,1.0,0.866,0.92,0.0,0.0,0.949,0.99
fc.0,0.5,0.5,0.824,0.843,0.819,0.855,0.76,0.775,0.78,0.799,0.0,0.0,0.547,0.985,0.95,1.0,0.866,0.984,0.938,0.983,0.949,0.991
fc.0,1.0,0.0,0.824,0.824,0.819,0.805,0.76,0.774,0.78,0.786,0.0,0.044,0.547,0.798,0.95,1.0,0.866,0.975,0.938,0.425,0.949,0.987
fc.0,0.5,0.5,0.824,0.843,0.819,0.855,0.76,0.775,0.78,0.799,0.0,0.0,0.547,0.985,0.95,1.0,0.866,0.984,0.938,0.983,0.949,0.991
fc.0,0.5,0.5,0.824,0.843,0.819,0.856,0.76,0.775,0.78,0.8,0.0,0.022,0.547,0.861,0.95,0.973,0.866,0.936,0.938,0.488,0.949,0.976
fc.0,0.5,0.5,0.824,0.863,0.819,0.873,0.76,0.805,0.78,0.829,0.0,0.0,0.547,1.0,0.95,1.0,0.866,1.0,0.938,0.992,0.949,1.0
fc.0,1.0,0.0,0.824,0.833,0.819,0.789,0.76,0.782,0.78,0.785,0.0,0.289,0.547,0.992,0.95,1.0,0.866,0.984,0.938,0.429,0.949,1.0
fc.0,0.5,0.5,0.824,0.833,0.819,0.849,0.76,0.768,0.78,0.793,0.0,0.022,0.547,0.868,0.95,1.0,0.866,0.95,0.938,1.0,0.949,0.965
fc.0,0.5,0.5,0.824,0.843,0.819,0.856,0.76,0.775,0.78,0.8,0.0,0.067,0.547,0.872,0.95,0.995,0.866,0.951,0.938,0.55,0.949,0.975
fc.0,0.5,0.5,0.824,0.853,0.819,0.862,0.76,0.783,0.78,0.807,0.0,0.0,0.547,0.986,0.95,1.0,0.866,0.982,0.938,0.983,0.949,0.994
fc.0,0.5,0.5,0.824,0.873,0.819,0.907,0.76,0.813,0.78,0.843,0.0,0.0,0.547,1.0,0.95,1.0,0.866,1.0,0.938,0.996,0.949,1.0
conv_block4.0,0.5,0.5,0.824,0.853,0.819,0.864,0.76,0.797,0.78,0.82,1.0,0.756,0.547,0.882,0.172,0.733,0.866,0.979,0.0,0.0,0.949,0.999
fc.0,0.5,0.5,0.824,0.873,0.819,0.907,0.76,0.813,0.78,0.843,0.0,0.0,0.547,1.0,0.95,1.0,0.866,1.0,0.938,0.996,0.949,1.0
fc.0,0.2,0.8,0.824,0.853,0.819,0.837,0.76,0.826,0.78,0.831,0.0,0.0,0.547,1.0,0.95,1.0,0.866,1.0,0.938,0.992,0.949,1.0
