Model,Layer,Concept,Avg_TCAV_Score,Std_TCAV_Score,Max_TCAV,Min_TCAV
googlenet,inception4a,dotted,0.375,0.27386127875258304,0.75,0.0
googlenet,inception4a,zigzagged,0.275,0.21505813167606566,0.625,0.0
googlenet,inception4a,striped,0.3666666686534882,0.08079466347057228,0.5,0.25
googlenet,inception5b,dotted,0.0,0.0,0.0,0.0
googlenet,inception5b,zigzagged,0.0,0.0,0.0,0.0
googlenet,inception5b,striped,1.0,0.0,1.0,1.0
resnet50,layer3,dotted,0.06666666865348816,0.13333333730697633,0.3333333432674408,0.0
resnet50,layer3,zigzagged,0.125,0.11180339887498948,0.25,0.0
resnet50,layer3,striped,0.39166666865348815,0.20172864004064622,0.625,0.125
resnet50,layer4,dotted,1.0,0.0,1.0,1.0
resnet50,layer4,zigzagged,1.0,0.0,1.0,1.0
resnet50,layer4,striped,1.0,0.0,1.0,1.0
