concept_samples,random_samples,num_cavs,mean_cosine_similarity,consistency
30,30,30,0.5483858547676569,0.12576093391504237
40,40,30,0.596764167423906,0.1155657812684827
50,50,30,0.6382762503349918,0.10804963713624557
60,60,30,0.6836787537596691,0.10087415597183012
70,70,30,0.7252380934254876,0.09509362217259891
80,80,30,0.7619579824908026,0.09051091900885988
90,90,30,0.7964336988569676,0.08659291707565592
100,100,30,0.8319580956437121,0.08289542177964927
110,110,30,0.8703665797737823,0.07923732234675669
120,120,30,0.9019101466255627,0.0764660620566353
130,130,30,0.9369986362840937,0.07360258016476907
140,140,30,0.9720173332883024,0.07095091299254022
