concept_samples,random_samples,num_cavs,mean_cosine_similarity,consistency
30,30,30,0.5870904994421992,0.1174699936498788
40,40,30,0.6474018736817371,0.10652659506401549
50,50,30,0.6821690782733347,0.10109739570128372
60,60,30,0.7134790169781652,0.09666089065025704
70,70,30,0.750499412246134,0.09189283311358724
80,80,30,0.7845481209371282,0.08790476377535808
90,90,30,0.8182287092866569,0.08428635717451714
100,100,30,0.8457253880884456,0.08154599378559382
110,110,30,0.8759256837011754,0.07873443891948612
120,120,30,0.9056433158359308,0.07615085987547146
130,130,30,0.9345218306300284,0.07379765242603771
140,140,30,0.9657827011470137,0.07140893822127098
150,150,30,0.9999795538255538,0.06896692735120695
