Full filepath,Full Class Index,sensitivityscore_before_Conv2d_1a_3x3.conv,sensitivityscore_before_Conv2d_2a_3x3.conv,sensitivityscore_before_Conv2d_2b_3x3.conv,sensitivityscore_before_maxpool1,sensitivityscore_before_Conv2d_3b_1x1.conv,sensitivityscore_before_Conv2d_4a_3x3.conv,sensitivityscore_before_maxpool2,sensitivityscore_before_Mixed_5b.branch1x1.conv,sensitivityscore_before_Mixed_5b.branch5x5_1.conv,sensitivityscore_before_Mixed_5b.branch5x5_2.conv,sensitivityscore_before_Mixed_5b.branch3x3dbl_1.conv,sensitivityscore_before_Mixed_5b.branch3x3dbl_2.conv,sensitivityscore_before_Mixed_5b.branch3x3dbl_3.conv,sensitivityscore_before_Mixed_5b.branch_pool.conv,sensitivityscore_before_Mixed_5c.branch1x1.conv,sensitivityscore_before_Mixed_5c.branch5x5_1.conv,sensitivityscore_before_Mixed_5c.branch5x5_2.conv,sensitivityscore_before_Mixed_5c.branch3x3dbl_1.conv,sensitivityscore_before_Mixed_5c.branch3x3dbl_2.conv,sensitivityscore_before_Mixed_5c.branch3x3dbl_3.conv,sensitivityscore_before_Mixed_5c.branch_pool.conv,sensitivityscore_before_Mixed_5d.branch1x1.conv,sensitivityscore_before_Mixed_5d.branch5x5_1.conv,sensitivityscore_before_Mixed_5d.branch5x5_2.conv,sensitivityscore_before_Mixed_5d.branch3x3dbl_1.conv,sensitivityscore_before_Mixed_5d.branch3x3dbl_2.conv,sensitivityscore_before_Mixed_5d.branch3x3dbl_3.conv,sensitivityscore_before_Mixed_5d.branch_pool.conv,sensitivityscore_before_Mixed_6a.branch3x3.conv,sensitivityscore_before_Mixed_6a.branch3x3dbl_1.conv,sensitivityscore_before_Mixed_6a.branch3x3dbl_2.conv,sensitivityscore_before_Mixed_6a.branch3x3dbl_3.conv,sensitivityscore_before_Mixed_6b.branch1x1.conv,sensitivityscore_before_Mixed_6b.branch7x7_1.conv,sensitivityscore_before_Mixed_6b.branch7x7_2.conv,sensitivityscore_before_Mixed_6b.branch7x7_3.conv,sensitivityscore_before_Mixed_6b.branch7x7dbl_1.conv,sensitivityscore_before_Mixed_6b.branch7x7dbl_2.conv,sensitivityscore_before_Mixed_6b.branch7x7dbl_3.conv,sensitivityscore_before_Mixed_6b.branch7x7dbl_4.conv,sensitivityscore_before_Mixed_6b.branch7x7dbl_5.conv,sensitivityscore_before_Mixed_6b.branch_pool.conv,sensitivityscore_before_Mixed_6c.branch1x1.conv,sensitivityscore_before_Mixed_6c.branch7x7_1.conv,sensitivityscore_before_Mixed_6c.branch7x7_2.conv,sensitivityscore_before_Mixed_6c.branch7x7_3.conv,sensitivityscore_before_Mixed_6c.branch7x7dbl_1.conv,sensitivityscore_before_Mixed_6c.branch7x7dbl_2.conv,sensitivityscore_before_Mixed_6c.branch7x7dbl_3.conv,sensitivityscore_before_Mixed_6c.branch7x7dbl_4.conv,sensitivityscore_before_Mixed_6c.branch7x7dbl_5.conv,sensitivityscore_before_Mixed_6c.branch_pool.conv,sensitivityscore_before_Mixed_6d.branch1x1.conv,sensitivityscore_before_Mixed_6d.branch7x7_1.conv,sensitivityscore_before_Mixed_6d.branch7x7_2.conv,sensitivityscore_before_Mixed_6d.branch7x7_3.conv,sensitivityscore_before_Mixed_6d.branch7x7dbl_1.conv,sensitivityscore_before_Mixed_6d.branch7x7dbl_2.conv,sensitivityscore_before_Mixed_6d.branch7x7dbl_3.conv,sensitivityscore_before_Mixed_6d.branch7x7dbl_4.conv,sensitivityscore_before_Mixed_6d.branch7x7dbl_5.conv,sensitivityscore_before_Mixed_6d.branch_pool.conv,sensitivityscore_before_Mixed_6e.branch1x1.conv,sensitivityscore_before_Mixed_6e.branch7x7_1.conv,sensitivityscore_before_Mixed_6e.branch7x7_2.conv,sensitivityscore_before_Mixed_6e.branch7x7_3.conv,sensitivityscore_before_Mixed_6e.branch7x7dbl_1.conv,sensitivityscore_before_Mixed_6e.branch7x7dbl_2.conv,sensitivityscore_before_Mixed_6e.branch7x7dbl_3.conv,sensitivityscore_before_Mixed_6e.branch7x7dbl_4.conv,sensitivityscore_before_Mixed_6e.branch7x7dbl_5.conv,sensitivityscore_before_Mixed_6e.branch_pool.conv
/mnt/sdd/caltech_training_multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0064_796101.jpg,0,-0.002871595,-0.002004274,-0.002028853,0.016044084,0.008987636,0.004387477,-0.007800779,-0.003733504,-0.01164636,0.003365398,-0.00128025,-0.004080647,-0.007658688,0.019360347,0.00328083,-0.014008204,-0.006148762,0.002100394,-0.002056266,-0.003681175,-0.008601902,-0.008043644,-0.005798441,-0.001756187,-0.001932567,-0.001320871,0.000649739,-0.001403507,-0.005633437,-0.00604996,-0.004962285,0.000721024,-0.009832362,0.02579943,0.01876586,0.009445979,-0.011416448,-0.016512822,-0.006382693,-0.001481049,-0.028043697,-0.013031591,0.007293734,0.001377536,0.00934694,-0.00772532,-0.012019916,-0.0214758,-0.035628054,-0.023298372,-0.012960672,-0.007316464,0.001653051,-0.00864762,-0.01019916,-0.002713685,0.006067826,-0.009024208,-0.004838527,-0.000355437,-0.016938724,0.0007038,0.007547649,-0.009527963,-0.012725835,-0.003897129,0.008966615,-0.002049084,-0.001521089,-0.0010114,-0.009390596,0.007454027
/mnt/sdd/caltech_training_multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0010_796097.jpg,0,0.000681331,0.001354647,0.003902634,0.015157056,0.010632531,0.005396177,0.012061004,0.010355925,0.010942897,0.003430589,-0.004199465,0.010738816,0.002479135,-0.025289554,0.023861807,0.009902436,-0.003049392,-0.00484401,0.001133077,0.004180836,0.00659151,0.0332756,0.013233544,-0.006495892,-0.011174863,0.002083404,0.005437334,0.000429674,-0.000414368,-0.003332157,0.00507507,-0.001470103,0.017571427,-0.001970309,0.000735304,-0.005440718,-0.002842556,0.028542355,0.016539585,0.036122717,0.000869663,0.04475627,0.027975848,0.024217525,0.02662804,0.019157467,0.003813999,0.018720321,-0.004679012,-0.001088623,-0.002108154,0.029647473,0.03323873,0.016629525,0.028745104,0.019025985,0.00304499,-0.002397894,0.010095311,0.0324725,0.018531354,0.03357021,0.026144017,0.02707857,0.019373184,0.024930768,0.01094852,0.000634966,-0.004057403,0.011773067,0.005352399,0.013065143
/mnt/sdd/caltech_training_multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0006_796065.jpg,0,-0.000864796,0.001964347,6.92E-05,-0.003474123,-0.005373054,-0.002577395,0.00203373,0.002954877,0.009540771,0.003464516,0.007219909,2.88E-05,0.005579914,0.008255485,0.008053813,0.001690439,-0.003361705,-0.008592746,0.003083196,-0.001748994,0.014639037,0.004576655,0.00588753,0.00941275,-0.009045263,0.005783967,0.004132939,0.001944514,-0.00484869,-0.002270836,-0.000731326,0.001469652,-0.005793362,-0.011628469,-0.000417178,-2.71E-06,0.021041932,0.017097533,0.011916565,-0.004285506,-0.006486797,0.008812899,0.010558826,-0.010207132,-0.005186766,-0.007166504,-0.002220332,-0.010856316,0.012246836,0.001611712,0.006717333,0.010661613,0.015102079,-0.014854252,-0.010018555,-0.010839352,0.009701812,0.014285408,-0.001022048,0.008628307,0.00850307,-0.002294875,0.013318388,0.006139659,0.006387175,0.004745252,0.010546336,0.000636084,0.015220172,0.004131863,0.012591374,-0.005586629
/mnt/sdd/caltech_training_multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0051_796103.jpg,0,-0.00440841,-0.007314233,-0.003252149,-0.01516624,-0.013787909,-0.005418954,-0.005631491,-0.004514558,-0.026669547,-0.020003408,-0.014360624,-0.004295153,0.012541683,-0.005833977,0.010073016,-0.006244054,-0.006704558,-0.009513524,-0.008194256,0.002739749,-0.000223881,0.013071052,-0.002770716,0.00042854,0.003459439,0.00538816,-0.000964855,-0.001961715,0.011140861,0.004426453,-0.005748891,-0.009286913,0.02550316,0.010607913,0.007721125,0.007725754,0.015411044,0.016189901,0.010460718,0.0344145,0.021040846,-0.013753818,0.007634098,0.02117949,0.007960523,0.002533688,0.002902272,-0.002261905,-0.009207026,-0.028750045,0.003425421,0.017586984,0.010660464,0.001429691,0.02223668,0.018647587,-0.010707744,-0.006364311,-0.008888865,-0.005108915,0.005234777,0.021503251,0.011532214,0.024284488,0.019296853,0.016018212,-0.00502126,-0.013545143,-0.006440215,0.001095441,0.006358307,0.020191774
/mnt/sdd/caltech_training_multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0076_417.jpg,0,-0.000970938,-0.001530749,0.002022625,-0.015899075,-0.016595371,-0.003628346,-0.006658232,-0.00455736,0.000177317,-0.001591165,-0.005417544,0.004507009,0.008342294,0.003359254,-0.018871803,0.020707918,0.009958237,0.009248463,0.00695575,0.004057357,-0.011801473,-0.003063028,0.007467622,-0.004867899,-0.002286565,0.002639573,0.003213591,-0.00601959,0.000434997,5.14E-05,0.003217431,-0.00341762,-0.014795678,-0.008315788,-0.005785637,0.008561878,0.002393618,-0.011657466,-0.004391305,0.01504417,0.004623748,0.005663741,-0.006113324,-0.010726811,0.008709574,-0.002849559,0.01185033,-0.009566886,0.007308287,0.006107949,0.001616188,-0.001729581,0.001735993,0.010158286,0.014859244,0.011308573,-0.014955153,-0.008323618,-0.005943352,-0.010680671,0.003123618,0.014816294,0.008411886,0.010439101,0.003609218,0.00864533,0.008541334,0.005340217,-0.000524931,0.006279954,-0.001115171,-0.004259381
/mnt/sdd/caltech_training_multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0082_796121.jpg,0,0.000138496,0.004357975,0.001665594,0.010051376,0.007614618,0.000508894,0.00506869,0.009820111,-0.008388573,0.003174792,-0.005250921,0.003725425,-0.009973977,-0.004829862,-0.001603753,-0.019498823,-0.008710843,0.00231854,-0.001943267,0.001939072,0.011251966,-0.008977268,-0.012673298,-0.00985222,-0.004433576,-0.000387301,0.008195302,-0.002912601,-0.011346908,-0.004542938,-0.002870809,-1.95E-05,-0.001200189,0.014689729,0.010882404,0.006802265,-0.016672436,-0.054401048,-0.010920307,-0.028360486,-0.020907031,0.001792267,-0.012362904,-0.023966763,-0.014722182,0.004820081,0.02640782,0.009999171,0.01704653,0.004333055,-0.00533421,0.020738237,0.011638784,-0.010584818,-0.013885282,0.009545473,-0.027618818,-0.008125341,-0.004603853,-0.015568331,0.001249898,-0.001231279,0.003070527,0.012709837,-0.003026557,0.009075086,0.000256393,-0.005149516,-0.012976678,-0.011556736,0.013549711,-0.000460275
/mnt/sdd/caltech_training_multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0046_18.jpg,0,-8.23E-05,-0.002036508,-0.002953241,0.001492402,0.000122329,-0.000940409,-0.00577419,0.004205026,-0.005486009,-0.009607013,-0.002677335,-0.002178632,-0.005072407,-0.001297537,0.008060692,0.008613098,0.005300113,-0.004316748,-0.001107504,-0.008113239,0.005718783,0.008586643,-0.002814891,-0.00239182,-0.006623002,-0.009708267,-0.004610425,-0.000495524,0.007894538,0.005705252,-0.001044588,-0.006548269,-0.000921372,-0.009123169,-0.0110697,-0.002439986,0.009400586,0.013375454,0.013779795,0.017918307,0.00335466,-0.00136295,0.019299366,-0.00732005,0.00711762,-0.000832366,0.001166487,0.009848708,-0.000257496,0.003227544,0.000940311,0.001959866,0.003629918,-0.013078158,0.001099046,0.01801499,-0.001734682,-0.003712935,-0.006093158,-0.023672557,-0.006483883,0.005119877,-0.005262733,0.014238378,0.012217451,0.026573565,-0.009536333,-0.013906069,0.012329223,0.003559175,0.006366534,0.014051523
/mnt/sdd/caltech_training_multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0001_796111.jpg,0,-0.001179762,0.003575862,0.004266899,-0.000915701,0.000493075,0.002296708,0.007007906,0.007333337,-0.002407786,0.007955912,0.004110451,-0.003413979,-0.011227582,0.013299247,0.01651984,-0.016026229,-0.001673198,0.008171141,-0.001873627,0.006670732,-0.009233348,0.018191244,0.008824784,0.01870177,0.001351984,0.012923896,0.004564202,-0.006759537,0.00700911,-0.001790774,0.004297687,0.006979739,-0.00133684,0.004203863,0.026444023,-0.002314582,0.00310397,0.012449625,0.013706342,0.025926773,0.00296504,0.008537171,0.01287071,0.028663538,0.02706245,0.016417079,0.001761831,0.010777036,-0.002913148,0.008836611,0.013347307,0.006455049,0.019788079,0.012324522,0.006701117,0.00965084,0.009835568,0.024759378,0.022122242,0.02757725,0.022971332,0.02437307,0.008697152,0.032234915,0.041959487,0.032093186,0.002377043,0.005321219,0.006408315,0.001721305,0.016566101,0.008280985
/mnt/sdd/caltech_training_multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0014_89.jpg,0,0.003664274,0.0016353,0.005266503,0.007518444,0.003297248,4.99E-05,-0.008328084,0.002662111,0.011020274,0.003843936,-0.018713787,-0.00868566,-0.001819121,-0.009277599,0.006539329,0.005295662,-0.004324657,0.008230558,-0.003968848,0.004563627,0.001128845,0.010688882,-0.011986586,-0.010997405,-1.04E-05,0.003689187,0.001007516,-0.000653579,0.014631828,-0.004518439,0.010886151,0.007137037,0.029852193,0.013499402,-0.010095637,-0.006655863,-0.004528266,-0.010019423,0.016062614,0.00349228,0.007998913,-0.002125056,0.020645024,0.026778568,0.017659647,0.015700066,-0.005276727,-0.010444699,-0.00789061,-0.00557383,-0.01009439,0.010915628,0.016250478,0.011610565,0.007984364,0.007483003,0.008992869,-0.01224,-0.005967891,-0.006094907,0.010796406,0.013222482,0.004817053,0.015914407,0.012340391,0.017475761,0.03137581,0.010292124,0.012552708,0.012008547,-0.004122702,0.021603493
/mnt/sdd/caltech_training_multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0057_796106.jpg,0,-0.000316806,0.002422756,0.000765514,0.004277875,0.006249113,0.006453998,0.003088085,0.00177034,-0.004527857,0.000670163,-0.013300108,-0.011090934,-0.003402798,-0.002107137,0.02050101,-0.025683057,-0.00032483,-0.007433911,-0.00163493,-0.000151742,0.019110672,0.011936024,-0.004570251,0.014321778,0.004290442,0.004769797,0.007531377,0.023906745,0.001146135,-0.006432694,-0.005118806,-0.007237016,-0.010394296,-0.016480953,0.007643573,-0.01219638,0.02654884,0.035283923,0.023979386,0.012667912,0.016690178,0.008664764,-0.003480642,0.000854382,0.01790768,0.008642806,0.015363931,0.012405145,0.006696516,0.010644773,-0.003161295,0.014175568,0.018813938,0.018613925,0.012112218,0.007219238,-0.007274173,0.009807199,0.018445905,0.01706025,0.007332856,-0.00079505,0.007810443,0.030041104,0.004015684,0.011381689,-0.008431639,-0.004059534,0.003621858,0.00272962,0.00635603,0.012585446
