Full filepath,Full Class Index,sensitivityscore_before_features.11.block.2.fc1,sensitivityscore_before_features.11.block.2.fc2,sensitivityscore_before_features.12.block.2.fc1,sensitivityscore_before_features.12.block.2.fc2,sensitivityscore_before_features.13.block.2.fc1,sensitivityscore_before_features.13.block.2.fc2,sensitivityscore_before_features.14.block.2.fc1,sensitivityscore_before_features.14.block.2.fc2,sensitivityscore_before_features.15.block.2.fc1,sensitivityscore_before_features.15.block.2.fc2,sensitivityscore_before_features.16.0
/mnt/sdd/caltech_training/multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0007_796138.jpg,0,0.31006575,0.015912361,0.02596835,-0.023001697,0.07497777,0.019640714,0.045406636,0.06473902,0.06766872,0.022080816,-0.0073695276
/mnt/sdd/caltech_training/multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0047_796064.jpg,0,0.002916813,-0.035016652,0.07937633,-0.058553256,0.0009835251,-0.023326987,0.061134543,0.031945657,-0.084471,-0.0253046,0.0037740846
/mnt/sdd/caltech_training/multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0036_796127.jpg,0,-0.13813652,-0.014046438,-0.2033986,-0.024140405,-0.07838684,-0.024328168,0.016011674,0.06468122,0.09327249,0.07429141,0.013787605
/mnt/sdd/caltech_training/multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0026_796095.jpg,0,-0.050129764,0.018025871,-0.18905549,-0.044703383,-0.13304049,-0.0646977,0.10784999,0.05601879,0.015905835,0.08994714,0.0058480743
/mnt/sdd/caltech_training/multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0010_796097.jpg,0,0.24190402,0.04041574,0.12499586,-0.03420251,-0.0035870448,-0.03485079,-0.0330502,0.026290625,-0.020829089,0.043504573,0.01263246
/mnt/sdd/caltech_training/multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0069_796139.jpg,0,-0.33758956,-0.10025993,-0.11562858,-0.028732864,0.0725731,-0.0035504634,0.06471031,0.06595002,0.079550564,0.0882398,0.025807709
/mnt/sdd/caltech_training/multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0067_170.jpg,0,0.12842858,0.04066313,-0.20835158,-0.020621587,0.105038084,-0.033297624,-0.10359413,0.047802,0.051600814,0.060751826,-0.0030109724
/mnt/sdd/caltech_training/multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0090_796077.jpg,0,0.08435465,-0.028722446,0.22262314,0.06879099,0.09223071,0.010487887,0.025188096,0.023393534,-0.02553597,0.03091614,0.010273971
/mnt/sdd/caltech_training/multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0035_796140.jpg,0,0.043468308,0.03887732,0.005667338,0.04180077,0.07977481,0.025867945,-0.0588233,0.004704818,0.08826042,0.05991326,0.006924439
/mnt/sdd/caltech_training/multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0076_417.jpg,0,0.06657458,0.025311511,-0.16070037,-0.065914564,0.03864764,-0.061437573,0.03193753,-0.0014216118,-0.01025698,0.065986104,0.025603168
