Full filepath,Full Class Index,sensitivityscore_before_features.11.block.2.fc1,sensitivityscore_After_features.11.block.2.fc1_0.5,sensitivityscore_After_features.11.block.2.fc1_0.6,sensitivityscore_After_features.11.block.2.fc1_0.7,sensitivityscore_before_features.11.block.2.fc2,sensitivityscore_After_features.11.block.2.fc2_0.5,sensitivityscore_After_features.11.block.2.fc2_0.6,sensitivityscore_After_features.11.block.2.fc2_0.7,sensitivityscore_before_features.12.block.2.fc1,sensitivityscore_After_features.12.block.2.fc1_0.5,sensitivityscore_After_features.12.block.2.fc1_0.6,sensitivityscore_After_features.12.block.2.fc1_0.7,sensitivityscore_before_features.12.block.2.fc2,sensitivityscore_After_features.12.block.2.fc2_0.5,sensitivityscore_After_features.12.block.2.fc2_0.6,sensitivityscore_After_features.12.block.2.fc2_0.7,sensitivityscore_before_features.13.block.2.fc1,sensitivityscore_After_features.13.block.2.fc1_0.5,sensitivityscore_After_features.13.block.2.fc1_0.6,sensitivityscore_After_features.13.block.2.fc1_0.7,sensitivityscore_before_features.13.block.2.fc2,sensitivityscore_After_features.13.block.2.fc2_0.5,sensitivityscore_After_features.13.block.2.fc2_0.6,sensitivityscore_After_features.13.block.2.fc2_0.7,sensitivityscore_before_features.14.block.2.fc1,sensitivityscore_After_features.14.block.2.fc1_0.5,sensitivityscore_After_features.14.block.2.fc1_0.6,sensitivityscore_After_features.14.block.2.fc1_0.7,sensitivityscore_before_features.14.block.2.fc2,sensitivityscore_After_features.14.block.2.fc2_0.5,sensitivityscore_After_features.14.block.2.fc2_0.6,sensitivityscore_After_features.14.block.2.fc2_0.7,sensitivityscore_before_features.15.block.2.fc1,sensitivityscore_After_features.15.block.2.fc1_0.5,sensitivityscore_After_features.15.block.2.fc1_0.6,sensitivityscore_After_features.15.block.2.fc1_0.7,sensitivityscore_before_features.15.block.2.fc2,sensitivityscore_After_features.15.block.2.fc2_0.5,sensitivityscore_After_features.15.block.2.fc2_0.6,sensitivityscore_After_features.15.block.2.fc2_0.7,sensitivityscore_before_features.16.0,sensitivityscore_After_features.16.0_0.5,sensitivityscore_After_features.16.0_0.6,sensitivityscore_After_features.16.0_0.7
/mnt/sdd/caltech_training/multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0007_796138.jpg,0,0.31006575,0.07323215,0.05043634,0.006016113,-0.00034870207,-0.022438023,-0.06224588,0.021340229,0.0027657598,0.026922846,0.12520158,0.13236949,-0.031016313,-0.15911141,0.030523846,0.037943933,0.11482103,0.08397664,0.035532292,-0.02306107,0.018932555,0.01935013,-0.06139253,-0.103221074,0.060280927,-0.0619888,-0.09501773,0.036239367,0.06462018,-0.05854246,-0.01537491,0.040199608,0.04009747,-0.09743607,-0.13457388,-0.02362817,0.01984103,0.009470801,0.041645676,0.06706768,0.00027514528,0.051874604,0.046485037,0.022313135
/mnt/sdd/caltech_training/multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0047_796064.jpg,0,0.002916813,-0.0062953085,-0.0062482283,0.0032379404,-0.044698585,0.044910774,0.06899038,0.03759734,0.04758189,-0.07404062,0.01738578,-0.125215,-0.03854511,0.038504507,-0.010196833,0.014841497,0.046454445,-0.05727744,0.032702345,-0.047107078,-0.033852313,-0.01815932,-0.021244379,-0.09317987,0.039903875,-0.03413783,0.10176329,0.08578792,0.024275381,0.03426586,0.09052619,0.09201871,-0.107746094,-0.034086443,-0.025799027,0.056057163,-0.034241676,0.022181924,0.0074913427,0.053260908,-0.0058041173,0.0141475545,0.006479798,-0.0055704713
/mnt/sdd/caltech_training/multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0036_796127.jpg,0,-0.13813652,-0.18812886,-0.057306863,-0.03404616,-0.022886313,0.06740368,0.029377807,0.0015557408,-0.22382814,-0.056162946,0.022551123,0.11819148,-0.02131787,0.13920262,0.012142759,0.04299765,-0.047421396,-0.06347054,-0.08824861,-0.04327036,-0.01470654,-0.008732683,-0.011343748,0.008055161,0.035546653,0.13599777,0.11077349,0.042967096,0.05496898,-0.06707159,-0.03293265,0.04707164,0.09093419,-0.03449553,-0.038517028,-0.042640116,0.07476359,0.015291825,0.006725605,0.03715235,0.011143403,0.049677342,0.04635291,0.015394447
/mnt/sdd/caltech_training/multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0026_796095.jpg,0,-0.050129764,0.18560274,0.07479975,0.11077687,0.0028634537,0.009856071,-0.073558815,0.055278905,-0.20288903,-0.0609587,0.06375934,-0.03921868,-0.03607101,-0.054488573,0.17048647,0.05497413,-0.100943,0.1783736,0.084770575,0.13143499,-0.07366688,-0.029150937,-0.07135452,-0.05364888,0.119599,0.12775266,0.052342318,-0.062062122,0.053621903,0.12721881,0.058088385,-6.318465e-05,0.03588406,-0.08375909,-0.060942154,-0.027638396,0.093382284,0.017255249,0.0007290095,0.021636428,0.0027758703,0.05292166,0.033558868,0.0049837083
/mnt/sdd/caltech_training/multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0010_796097.jpg,0,0.24190402,-0.19121605,-0.10284888,-0.047678366,0.011987805,0.025876068,0.00929657,-0.0128875,0.11783314,0.14980108,0.07803767,0.14794211,-0.059528418,0.09670942,0.041142862,-0.083676435,0.035135515,-0.13045502,-0.01602056,0.017220976,-0.039899703,-0.0040975283,-0.1069711,-0.041145038,-0.035863616,0.13267195,0.009641867,-0.024335686,0.031655475,0.032365263,-0.096142076,-0.05212632,-0.037584685,0.0052829534,0.03123428,0.11549237,0.035607897,-0.002512578,0.00938862,0.049068805,0.009887376,0.07362493,0.047476046,0.020574454
/mnt/sdd/caltech_training/multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0069_796139.jpg,0,-0.33758956,0.104933694,0.11201281,0.13342078,-0.106080465,-0.053739224,-0.013792656,0.02640082,-0.16557236,0.07093623,0.032780718,-0.038795244,-0.017102597,0.08097532,0.019511603,-0.0984544,0.014760865,0.0070402846,0.049454276,0.041371845,-0.0045065023,-0.16967902,-0.110837646,-0.06571813,0.0830189,0.22372927,0.11611982,0.07314478,0.06411949,0.013569637,0.096134484,-0.01010028,0.043694273,-0.07128693,-0.068734705,-0.004993545,0.07906966,0.061442703,0.058842324,0.058192603,0.01681308,0.041754905,0.024258554,0.0012095897
/mnt/sdd/caltech_training/multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0067_170.jpg,0,0.12842858,0.07826358,0.014234915,-0.0066067763,0.03849455,0.06100647,0.084187254,0.065640904,-0.16886064,-0.09658261,-0.012516679,0.015048739,-0.026147509,-0.036972344,0.025583327,-0.05365625,0.08380529,0.0071296124,0.050354432,0.014862753,-0.032502867,-0.09222026,0.030186012,0.025981696,-0.071698114,-0.13998684,-0.02187495,-0.033570223,0.044700876,0.06272387,0.03395785,0.0642177,0.039305832,0.06798431,0.06712084,0.00035787746,0.05065164,0.01516703,0.013018932,0.028383654,-0.0148718925,0.022913018,0.012061504,-0.004809997
/mnt/sdd/caltech_training/multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0090_796077.jpg,0,0.08435465,-0.17484821,-0.13074797,-0.076891676,-0.031045757,0.073753126,0.099844694,0.0852958,0.26029375,-0.08474249,-0.056641594,0.022350794,0.052450538,0.043126024,0.07078542,-0.06391515,0.08955296,-0.020974316,-0.042940993,-0.10568764,0.0020922257,0.026127135,-0.097510636,-0.1390712,0.056493446,0.20936805,0.060705453,0.015167542,0.030576196,-0.04232053,-0.0037990585,-0.012042716,-0.016747765,0.07647602,0.0647494,0.113006555,0.023784563,0.08237766,0.07357564,0.06906776,-0.008055238,0.03506273,0.030623687,0.0058080703
/mnt/sdd/caltech_training/multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0035_796140.jpg,0,0.043468308,0.0066493377,0.04631009,0.00014683604,0.03944874,-0.017170519,0.07127703,0.024723012,0.018572593,0.012780137,0.074074164,0.0693762,0.033609927,0.09238562,-0.08395919,0.03249229,0.08664256,0.14997078,0.0579302,0.071009874,0.012968978,-0.011023512,0.0606333,0.03013232,-0.061225075,0.21563026,0.078240916,0.019152306,0.011207955,0.03030327,0.01442441,0.072494276,0.106279895,-0.07600603,-0.099875174,-0.0073304623,0.065381795,0.011335398,-0.00014978461,0.021362346,0.007179821,0.035453144,0.02890451,0.0059901793
/mnt/sdd/caltech_training/multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0076_417.jpg,0,0.06657458,0.139453,0.10030962,-0.03457523,0.020860286,0.011842638,0.011951532,0.02258851,-0.1768451,0.1248871,0.18673426,0.12033115,-0.07821074,-0.038829625,0.01232513,-0.08200513,0.004519973,0.1538271,0.18184838,0.19925696,-0.07157537,0.03529739,-0.061563574,-0.11762061,0.018069673,0.08397222,0.08313565,-0.011453612,-0.0032269768,0.10971472,0.07988357,0.031548366,-0.06087061,-0.027799185,-0.028074589,-0.013034996,0.050124764,0.08218573,0.05889212,0.123309895,0.015759774,0.032446742,0.01856722,-0.007962419
