Full filepath,Full Class Index,sensitivityscore_before_features.5.block.0.0,sensitivityscore_before_features.5.block.1.0,sensitivityscore_before_features.5.block.2.fc2,sensitivityscore_before_features.5.block.3.0,sensitivityscore_before_features.6.block.0.0,sensitivityscore_before_features.6.block.1.0,sensitivityscore_before_features.6.block.2.fc2,sensitivityscore_before_features.6.block.3.0,sensitivityscore_before_features.7.block.0.0,sensitivityscore_before_features.7.block.1.0,sensitivityscore_before_features.7.block.2.fc2,sensitivityscore_before_features.7.block.3.0
/mnt/sdd/caltech_training/multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0007_796138.jpg,0,0.010634312,0.0077104354,0.15084884,-0.008715721,-0.009115041,-0.009156235,0.0039312206,-0.018188171,-0.009040303,-0.0058685387,0.020677723,-0.012937902
/mnt/sdd/caltech_training/multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0047_796064.jpg,0,-0.0049035633,-0.0037981689,-0.036127325,-0.034676317,0.0033298596,-0.00065588136,-0.014666168,0.004511719,-0.027987335,-0.0021717711,0.09167664,-0.015827624
/mnt/sdd/caltech_training/multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0036_796127.jpg,0,0.010530522,0.011532666,-0.046430826,-0.00076934416,0.0010842918,0.003124258,0.04478441,-0.017047819,0.010888806,0.009633571,-0.04094313,0.02817874
/mnt/sdd/caltech_training/multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0026_796095.jpg,0,0.0057846317,0.00034376184,-0.03333375,-0.050208744,-0.009840079,-0.007223148,-0.046300337,-0.011327511,-0.0011877147,0.00058624183,0.00282293,0.04555777
/mnt/sdd/caltech_training/multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0010_796097.jpg,0,0.007117669,0.004674106,-0.007150341,-0.023883048,-0.013672506,-0.0048734443,0.04293668,-0.026860263,0.007003527,-0.00088527217,0.1084994,-0.0033249902
/mnt/sdd/caltech_training/multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0069_796139.jpg,0,-0.0029737283,0.010348199,0.029302314,-0.03746215,-0.009421052,-0.001560766,-0.014351835,-0.031932138,-0.02409923,-0.0041840365,0.01596006,-0.00834555
/mnt/sdd/caltech_training/multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0067_170.jpg,0,0.0014438793,0.0040163775,0.07389738,-0.043806106,-0.0073164906,5.684863e-05,0.11463483,-0.017747711,-0.0023235222,0.0018215595,-0.14956921,-0.02722828
/mnt/sdd/caltech_training/multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0090_796077.jpg,0,-0.015633048,-0.011017209,-0.07542549,0.0016348357,-0.003785704,0.0036388622,-0.035053216,0.0057741506,0.013266826,0.007399189,-0.07344281,0.023102894
/mnt/sdd/caltech_training/multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0035_796140.jpg,0,0.008888017,0.008200613,-0.065351725,-0.030585714,0.008437894,0.007923626,0.082637876,0.019270845,0.0001636832,0.006326426,-0.020934395,0.024773883
/mnt/sdd/caltech_training/multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0076_417.jpg,0,0.008143092,0.009122287,-0.046138246,0.0073616747,-0.004071174,0.010962298,0.08099898,0.007739434,-0.0046796873,-0.0050318995,-0.0013137162,-0.04423836
