Full filepath,Full Class Index,sensitivityscore_before_features.11.block.2.fc1,sensitivityscore_before_features.11.block.2.fc2,sensitivityscore_before_features.12.block.2.fc1,sensitivityscore_before_features.12.block.2.fc2,sensitivityscore_before_features.13.block.2.fc1,sensitivityscore_After_features.13.block.2.fc1_0.5,sensitivityscore_After_features.13.block.2.fc1_0.6,sensitivityscore_After_features.13.block.2.fc1_0.7,sensitivityscore_After_features.13.block.2.fc1_0.8,sensitivityscore_before_features.13.block.2.fc2,sensitivityscore_After_features.13.block.2.fc2_0.5,sensitivityscore_After_features.13.block.2.fc2_0.6,sensitivityscore_After_features.13.block.2.fc2_0.7,sensitivityscore_After_features.13.block.2.fc2_0.8,sensitivityscore_before_features.14.block.2.fc1,sensitivityscore_before_features.14.block.2.fc2,sensitivityscore_before_features.15.block.2.fc1,sensitivityscore_before_features.15.block.2.fc2,sensitivityscore_before_features.16.0
/mnt/sdd/caltech_training_multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0064_796101.jpg,0,0.034673624,-0.040997256,-0.1211991,-0.04006746,0.05216062,0.07412012,0.11601027,0.044915628,0.0020723864,0.05515859,0.023903864,0.11917482,0.09272341,0.15238369,0.10221679,0.031865623,-0.007107038,0.012432853,0.029554363
/mnt/sdd/caltech_training_multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0010_796097.jpg,0,0.0700987,0.06527968,-0.18861154,-0.034725297,0.038413562,0.14845659,0.12416743,-0.022101661,-0.050024807,0.06419696,0.056257553,0.044855006,0.08356519,0.05455206,-0.045110915,-0.033073332,-0.05907827,-0.00059248693,0.037579928
/mnt/sdd/caltech_training_multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0006_796065.jpg,0,0.1654248,0.083297975,0.05463729,0.042997178,0.025338273,-0.006520137,0.14054754,0.12851118,0.09019084,-0.043778967,0.12845904,0.045340754,-0.0072169825,0.07082955,-0.058318913,-0.03071709,-0.028212368,0.0039688237,0.037110634
/mnt/sdd/caltech_training_multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0051_796103.jpg,0,0.09033628,-0.07908565,0.11109939,0.0269223,-0.033162355,-0.035751857,0.14600341,-0.013374822,0.0770179,0.023067893,0.11146729,0.1093602,0.09720761,0.06408939,0.08005873,0.059749663,-0.0063095633,-0.035294294,0.032297853
/mnt/sdd/caltech_training_multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0076_417.jpg,0,0.056383327,0.057158053,-0.079723224,-0.0057112463,0.05347392,0.07601242,0.14861643,0.015947675,-0.016074196,-0.036540754,0.12769054,0.06969454,0.06810529,0.031008396,0.06736755,0.042277504,-0.18491386,-0.014901081,0.031687267
/mnt/sdd/caltech_training_multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0082_796121.jpg,0,0.17525154,0.08130369,0.21649417,0.0828907,0.035953365,0.1345962,0.26410314,0.1111746,0.13388869,-0.026245419,0.10562396,0.09271974,0.08080858,0.058970448,0.010900423,0.06819016,-0.05063902,0.014298428,0.019065432
/mnt/sdd/caltech_training_multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0046_18.jpg,0,0.0110997185,-0.11213298,-0.06418294,-0.051844534,0.06901348,0.13615265,0.11471999,0.107672654,-0.09913791,0.058872893,0.10485157,0.2317182,0.16173808,0.1627999,0.120414466,0.0659464,0.08911349,0.0042616893,0.04139737
/mnt/sdd/caltech_training_multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0001_796111.jpg,0,-0.07630708,-0.049914423,0.13465118,0.008952864,-0.049861852,0.14549087,0.18061891,0.13445386,0.005965717,0.0029817568,0.15124315,0.1543681,0.040628783,0.061701134,0.009064326,0.034770504,-0.105830096,-0.0047409614,0.037863854
/mnt/sdd/caltech_training_multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0014_89.jpg,0,0.04188402,0.0401636,-0.039027754,-0.011555366,-0.020686915,0.10240038,0.15861385,0.11168024,0.16659576,0.01035721,0.102328345,0.15960878,0.0868432,0.11341211,0.07311458,0.07007646,0.0136388205,0.016841518,0.028130706
/mnt/sdd/caltech_training_multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0057_796106.jpg,0,0.114221446,0.029484833,-0.15655175,-0.002341831,0.039128467,0.1081364,0.17127216,-0.05580539,0.023872338,-0.0018057693,0.10118781,0.12151498,0.152441,0.1065985,-0.10296695,0.006483732,0.056217432,0.012202348,0.023932092
