Full filepath,Full Class Index,sensitivityscore_before_features.7,sensitivityscore_before_features.19,sensitivityscore_before_features.20,sensitivityscore_before_features.21,sensitivityscore_before_features.22,sensitivityscore_before_features.23,sensitivityscore_before_features.24,sensitivityscore_before_features.25,sensitivityscore_before_features.26,sensitivityscore_before_features.27,sensitivityscore_before_features.28
/mnt/sdd/caltech_training/multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0007_796138.jpg,0,0.008432113,0.018499367,0.018560098,0.021669041,0.019471513,0.021329734,0.009631647,0.032894693,0.052824475,0.06057827,0.03236982
/mnt/sdd/caltech_training/multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0047_796064.jpg,0,0.0025033206,-0.0016809197,0.0046988158,-0.00013012369,0.0045867474,0.014250709,0.011094563,0.006288569,0.052566927,0.046479885,0.020702604
/mnt/sdd/caltech_training/multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0036_796127.jpg,0,0.0028649992,0.01875899,0.018693436,0.0024081438,0.007981872,0.019957617,-0.0022753873,-0.0036529943,0.049297374,0.047914527,0.007165821
/mnt/sdd/caltech_training/multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0026_796095.jpg,0,0.0076283836,0.00947886,0.009018353,0.010475354,0.0075506214,0.0057795844,0.0068381736,0.009028137,0.06949532,0.06292239,0.021365095
/mnt/sdd/caltech_training/multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0010_796097.jpg,0,0.0028458266,0.014675647,0.015738605,0.017379375,0.016530322,0.022377286,0.01860995,0.02842168,0.060692534,0.07333401,0.026651418
/mnt/sdd/caltech_training/multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0069_796139.jpg,0,0.0017397691,0.013905631,0.024788158,0.009788914,0.01128727,0.025035962,0.054280847,0.02449436,0.05504202,0.0705356,0.030168165
/mnt/sdd/caltech_training/multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0067_170.jpg,0,0.0037303418,0.0065276013,0.013595028,0.00983836,0.0056984667,0.018787917,0.035460718,0.039401893,0.040455557,0.049028195,0.022499979
/mnt/sdd/caltech_training/multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0090_796077.jpg,0,0.0024771066,0.02306685,0.026720695,0.009280473,0.0079252515,0.013863722,0.030527618,0.0130703235,0.050075356,0.056099623,0.031011907
/mnt/sdd/caltech_training/multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0035_796140.jpg,0,0.005827396,0.0126313865,0.024906406,0.002683548,0.01480734,0.01631457,0.031045206,0.027920207,0.06923388,0.067797095,0.036273904
/mnt/sdd/caltech_training/multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0076_417.jpg,0,0.0068293726,0.02637475,0.031020401,0.008817826,0.01467378,0.037202246,0.040116668,0.025462855,0.032632012,0.045637153,0.032666482
/mnt/sdd/caltech_training/multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0080_796096.jpg,0,0.0027873248,-0.003548949,5.349517e-06,0.013734313,0.0113898795,0.016028438,-0.004395005,0.01612968,0.06335437,0.05792009,0.0338007
/mnt/sdd/caltech_training/multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0061_796082.jpg,0,0.0034454442,0.026175553,0.027812999,0.015894754,0.013793533,0.035743095,0.059049528,0.05329626,0.066915736,0.06921941,0.045709167
/mnt/sdd/caltech_training/multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0003_796136.jpg,0,0.0049001416,0.01059245,0.017011542,0.0099019,0.004450853,0.015454306,-0.0011224567,-0.0017736136,0.06292697,0.061919384,0.03389439
/mnt/sdd/caltech_training/multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0079_796122.jpg,0,0.005175823,0.0073867245,0.013250171,0.0010818876,0.0051016808,-0.012602244,0.027549611,0.008940754,0.033453494,0.022958754,0.021753624
/mnt/sdd/caltech_training/multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0082_796121.jpg,0,0.0015924439,0.0009866583,0.009963658,0.005380448,0.008237967,0.010122388,0.008760385,0.005373452,0.057994258,0.062811136,0.033686265
/mnt/sdd/caltech_training/multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0064_796101.jpg,0,0.0009336905,0.0149167925,0.021145958,0.017110972,0.019856246,0.03863427,0.029149706,0.025607731,0.05512646,0.060249344,0.03099468
/mnt/sdd/caltech_training/multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0042_796071.jpg,0,0.005467669,0.026641846,0.027961534,0.013048023,0.008541804,0.027603671,0.051364534,0.051942915,0.06969492,0.07555395,0.03278999
/mnt/sdd/caltech_training/multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0068_796135.jpg,0,-0.0004648472,0.016666638,0.01780381,0.005501869,0.014039536,0.02887323,0.040302686,0.04025165,0.052649155,0.06268297,0.030724565
/mnt/sdd/caltech_training/multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0031_100.jpg,0,-0.0014316002,0.0033091095,0.004832443,0.0014210674,0.009135572,-0.0056579,0.004005442,-0.00028856355,0.028338626,0.033595536,0.010961786
/mnt/sdd/caltech_training/multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0014_89.jpg,0,0.0006462354,0.0012109369,0.0025428438,0.0073527647,0.00857115,0.02143199,0.009689569,0.011644322,0.06075079,0.07177252,0.023983527
/mnt/sdd/caltech_training/multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0033_796086.jpg,0,0.00044163983,0.016302,0.015744615,0.008688433,0.011245319,0.016359013,0.015138989,0.02692665,0.061334565,0.065514214,0.037079327
/mnt/sdd/caltech_training/multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0024_796089.jpg,0,0.0011285327,0.0031280247,0.011126877,0.008127884,0.014068627,0.033729754,0.012914026,0.015183878,0.05194982,0.06308727,0.023884706
/mnt/sdd/caltech_training/multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0005_796090.jpg,0,0.00021241777,0.01445515,0.017310422,0.004941149,0.015429734,0.025907077,0.035770547,0.039308082,0.038393926,0.058149815,0.023756778
/mnt/sdd/caltech_training/multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0023_796059.jpg,0,0.0015805786,0.011680225,0.018246278,0.008711698,0.0133850705,0.009372676,0.02321516,0.037710577,0.05606816,0.08209217,0.025724892
/mnt/sdd/caltech_training/multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0074_59.jpg,0,-0.003066756,0.006852513,0.008120121,0.01370313,0.012063131,0.02733342,0.01297255,0.014237437,0.07321821,0.05282352,0.02613617
/mnt/sdd/caltech_training/multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0085_92.jpg,0,0.0065854965,0.020079216,0.016864562,0.016710665,0.013504677,0.03895977,0.018991098,0.012915367,0.04656913,0.046700932,0.024858803
/mnt/sdd/caltech_training/multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0077_796114.jpg,0,-0.00070405705,0.007628307,0.01536073,0.018871542,0.013685409,0.031008134,0.0041525466,0.009868721,0.03815225,0.025877483,0.007837545
/mnt/sdd/caltech_training/multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0049_796063.jpg,0,0.0026874342,-0.010597327,0.0004621806,0.0074793804,-0.0032899117,0.004799314,0.0023567546,0.014158753,0.028396761,0.025562035,-0.0011163952
/mnt/sdd/caltech_training/multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0065_796068.jpg,0,-0.0025953217,-0.0002093818,0.006851769,0.008298869,0.007341263,0.019349992,0.017624304,0.015944775,0.046920434,0.060474355,0.025569513
/mnt/sdd/caltech_training/multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0009_34.jpg,0,-0.00050640956,0.011437759,0.014501,0.015041105,0.008698994,0.030878996,-0.0016234713,-0.0064871726,0.04884263,0.045513783,0.01908198
/mnt/sdd/caltech_training/multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0089_796069.jpg,0,0.00053342956,0.020513542,0.02230864,0.010980914,0.018367523,0.046939448,0.04836142,0.04361573,0.06875132,0.078553975,0.031352006
/mnt/sdd/caltech_training/multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0041_796108.jpg,0,0.0006502946,0.0027888324,0.014768129,0.014201895,0.019278172,0.0364649,0.009036263,0.025284074,0.0766091,0.06998725,0.027497636
