Full filepath,Full Class Index,sensitivityscore_before_layer1.0.conv1,sensitivityscore_before_layer1.0.conv2,sensitivityscore_before_layer1.0.conv3,sensitivityscore_before_layer4.0.conv1,sensitivityscore_before_layer4.0.conv2,sensitivityscore_before_layer4.0.conv3,sensitivityscore_before_layer4.1.conv1,sensitivityscore_before_layer4.1.conv2,sensitivityscore_before_layer4.1.conv3,sensitivityscore_before_layer4.2.conv1,sensitivityscore_before_layer4.2.conv2,sensitivityscore_before_layer4.2.conv3,sensitivityscore_After_layer4.2.conv3_0.5,sensitivityscore_After_layer4.2.conv3_0.6,sensitivityscore_After_layer4.2.conv3_0.7,sensitivityscore_After_layer4.2.conv3_0.8
/mnt/sdd/caltech_training/three_classes/train/001.Black_footed_Albatross/Black_Footed_Albatross_0064_796101.jpg,0,-0.0062429965,3.3433083e-05,-0.0032560744,0.0071366658,0.009029474,0.019213589,0.011566738,0.02792586,-0.0055614635,0.03133895,0.021622349,0.02162793,0.14713305,0.14214137,0.13061449,0.12992413
/mnt/sdd/caltech_training/three_classes/train/001.Black_footed_Albatross/Black_Footed_Albatross_0010_796097.jpg,0,-0.0030138674,0.0039249817,-0.0011107802,0.015294259,0.0033646924,0.016680917,0.01572753,0.0064260634,0.005930091,0.031308234,0.035317086,0.027843177,0.14066003,0.13437276,0.12859076,0.12685837
/mnt/sdd/caltech_training/three_classes/train/001.Black_footed_Albatross/Black_Footed_Albatross_0006_796065.jpg,0,-0.010155417,-0.006052189,-0.0031505488,0.002340527,0.0040579755,0.0111694755,0.015726352,0.024546232,0.00023398641,0.04394683,0.04851206,0.019130787,0.15177152,0.14400296,0.13266054,0.13155928
/mnt/sdd/caltech_training/three_classes/train/001.Black_footed_Albatross/Black_Footed_Albatross_0051_796103.jpg,0,0.01095821,0.0069634835,0.0033623367,0.007749808,0.019047668,0.014976433,0.02218197,0.020353517,-0.0012447832,0.062706545,0.059859335,0.023644298,0.15491119,0.14258718,0.13294852,0.12804025
/mnt/sdd/caltech_training/three_classes/train/001.Black_footed_Albatross/Black_Footed_Albatross_0076_417.jpg,0,0.013536039,0.0062616155,0.0069396924,0.013687391,0.01697169,0.007265485,0.014848243,0.0046550306,0.008878238,0.03258158,0.042369854,0.02725102,0.14584999,0.14198852,0.12936462,0.12631969
/mnt/sdd/caltech_training/three_classes/train/001.Black_footed_Albatross/Black_Footed_Albatross_0082_796121.jpg,0,0.0011211412,0.0039962195,0.002765914,0.016188044,0.02740026,0.011507867,0.027277172,0.0334573,-0.00095081446,0.036307737,0.04450055,0.022371333,0.1533636,0.14511286,0.13268973,0.13212806
/mnt/sdd/caltech_training/three_classes/train/001.Black_footed_Albatross/Black_Footed_Albatross_0046_18.jpg,0,0.0089115165,0.005003696,-0.002588577,0.007423616,0.008168695,0.0050223367,0.0029527915,0.00950215,-0.0007825126,0.0491002,0.04180018,0.024006909,0.14792725,0.13836133,0.12840445,0.13016298
/mnt/sdd/caltech_training/three_classes/train/001.Black_footed_Albatross/Black_Footed_Albatross_0001_796111.jpg,0,-0.0071810633,-0.0043377625,-0.0027310923,0.0071146977,0.009437988,0.013378629,0.008708061,0.00082282885,0.00028195546,0.03163824,0.03706117,0.018163972,0.14389928,0.13946311,0.12524475,0.12542477
/mnt/sdd/caltech_training/three_classes/train/001.Black_footed_Albatross/Black_Footed_Albatross_0014_89.jpg,0,0.006969465,0.0070553287,0.0025376417,-0.003981296,-0.012375095,0.002949238,-0.0070003686,-0.019591417,-0.009854676,0.01809938,0.027999243,0.022967061,0.13760734,0.13709593,0.12237385,0.12733439
/mnt/sdd/caltech_training/three_classes/train/001.Black_footed_Albatross/Black_Footed_Albatross_0057_796106.jpg,0,0.010159582,0.012237513,0.004936345,0.014411686,0.02652418,0.016940992,0.01606383,0.027106714,-0.007959141,0.060806293,0.04899456,0.02636471,0.15353638,0.14702648,0.13539937,0.13086998
