Full filepath,Full Class Index,sensitivityscore_before_features.7,sensitivityscore_before_features.19,sensitivityscore_before_features.20,sensitivityscore_before_features.21,sensitivityscore_before_features.22,sensitivityscore_before_features.23,sensitivityscore_before_features.24,sensitivityscore_before_features.25,sensitivityscore_before_features.26,sensitivityscore_before_features.27,sensitivityscore_before_features.28,sensitivityscore_After_features.28_0.5,sensitivityscore_After_features.28_0.6,sensitivityscore_After_features.28_0.7,sensitivityscore_After_features.28_0.8
/mnt/sdd/caltech_training/three_classes/train/001.Black_footed_Albatross/Black_Footed_Albatross_0064_796101.jpg,0,0.0007867001,-0.0038878743,-0.0016959182,-0.01547651,-0.0006572989,-0.02446739,-0.0045820894,-0.0140980985,-0.026245924,-0.019582435,-0.010732814,0.06019386,0.05056225,0.047329523,0.052463904
/mnt/sdd/caltech_training/three_classes/train/001.Black_footed_Albatross/Black_Footed_Albatross_0010_796097.jpg,0,-0.0066800965,-0.007470938,-0.011353353,0.0014256218,0.0010953051,0.0036096834,-0.007323572,-0.011901079,-0.014599628,0.020505251,0.022978535,0.06471173,0.05989539,0.055595532,0.051924385
/mnt/sdd/caltech_training/three_classes/train/001.Black_footed_Albatross/Black_Footed_Albatross_0006_796065.jpg,0,0.0038845912,-0.013274518,-0.013033433,-0.0037647998,-0.0053983843,-0.011326043,-0.0009760709,-0.004929607,0.0011459856,0.022874769,0.030755103,0.06532328,0.05819454,0.05407924,0.057489075
/mnt/sdd/caltech_training/three_classes/train/001.Black_footed_Albatross/Black_Footed_Albatross_0051_796103.jpg,0,0.0045402925,0.000363554,-0.0027869921,-0.0053545535,-0.008103695,-0.014095413,0.002366902,-0.014271194,0.00034877332,0.0073301094,0.029721173,0.05344897,0.053034812,0.051735744,0.04707569
/mnt/sdd/caltech_training/three_classes/train/001.Black_footed_Albatross/Black_Footed_Albatross_0076_417.jpg,0,0.0012410346,0.0073455055,0.00029306475,0.0007531902,0.004043189,0.0035672248,-0.0032065294,0.004572139,0.022876494,0.032954577,0.039373085,0.05370722,0.05479453,0.056314327,0.056011252
/mnt/sdd/caltech_training/three_classes/train/001.Black_footed_Albatross/Black_Footed_Albatross_0082_796121.jpg,0,-0.0012613283,-0.020799875,-0.008635678,-0.0071230303,-0.0043416526,-0.020326376,-0.008366401,-0.0038444588,-0.004011929,0.024248855,0.026878428,0.060343463,0.055164956,0.06043566,0.053060863
/mnt/sdd/caltech_training/three_classes/train/001.Black_footed_Albatross/Black_Footed_Albatross_0046_18.jpg,0,0.0010271948,-0.0011638617,-0.0067481343,-0.0091654705,-0.0017275318,0.009306986,0.00015295879,-0.012449428,-0.01630919,0.0034041465,-0.01250074,0.04412456,0.034692958,0.04506301,0.036183525
/mnt/sdd/caltech_training/three_classes/train/001.Black_footed_Albatross/Black_Footed_Albatross_0001_796111.jpg,0,0.0009302731,-0.0018194203,-0.0033201615,-9.6700096e-05,0.0014383239,0.009352654,0.0017739406,0.015890129,0.009628533,0.024859183,0.028764673,0.057733692,0.039278075,0.056434926,0.05528093
/mnt/sdd/caltech_training/three_classes/train/001.Black_footed_Albatross/Black_Footed_Albatross_0014_89.jpg,0,0.0061247246,0.0028984705,-0.0073058335,-0.007839923,-0.0112909395,-0.014779371,0.015313069,0.0019193646,0.0068746796,-0.006330477,0.02159015,0.05393806,0.042655878,0.047355503,0.049025673
/mnt/sdd/caltech_training/three_classes/train/001.Black_footed_Albatross/Black_Footed_Albatross_0057_796106.jpg,0,0.0020222755,0.0057831765,-0.0033477242,-0.0014346882,0.0013560781,-0.008763417,0.019148288,0.024444904,0.00037302822,-0.0028360812,0.025934998,0.059229463,0.049113475,0.04910272,0.05588613
