Full filepath,Full Class Index,sensitivityscore_before_features.11.block.2.fc1,sensitivityscore_before_features.11.block.2.fc2,sensitivityscore_before_features.12.block.2.fc1,sensitivityscore_before_features.12.block.2.fc2,sensitivityscore_before_features.13.block.2.fc1,sensitivityscore_before_features.13.block.2.fc2,sensitivityscore_before_features.14.block.2.fc1,sensitivityscore_before_features.14.block.2.fc2,sensitivityscore_before_features.15.block.2.fc1,sensitivityscore_before_features.15.block.2.fc2,sensitivityscore_before_features.16.0
/mnt/sdd/caltech_training/three_classes/train/001.Black_footed_Albatross/Black_Footed_Albatross_0064_796101.jpg,0,0.18057057,0.03772419,-0.08813375,-0.035285134,-0.15939231,-0.004681587,-0.06286692,0.010926738,-0.08074211,0.04021442,0.013484788
/mnt/sdd/caltech_training/three_classes/train/001.Black_footed_Albatross/Black_Footed_Albatross_0010_796097.jpg,0,0.060476147,-0.005557373,0.0010605967,0.050189633,0.1005643,0.00991711,0.028884701,-0.035629608,0.1435246,0.025530465,0.0061817393
/mnt/sdd/caltech_training/three_classes/train/001.Black_footed_Albatross/Black_Footed_Albatross_0006_796065.jpg,0,-0.06423394,0.014099535,0.013591845,-0.011454681,0.14863428,0.023604117,-0.086349115,-0.043323778,-0.02721713,0.02984506,0.014841767
/mnt/sdd/caltech_training/three_classes/train/001.Black_footed_Albatross/Black_Footed_Albatross_0051_796103.jpg,0,0.15457281,0.068200216,0.13045001,0.05028183,0.023248982,0.043652937,-0.08980125,0.014717158,0.07389871,0.024229296,0.02045033
/mnt/sdd/caltech_training/three_classes/train/001.Black_footed_Albatross/Black_Footed_Albatross_0076_417.jpg,0,-0.20112821,-0.0020602196,-0.21395972,-0.019821359,-0.09855439,-0.025965204,-0.10837676,-0.031392746,-0.09201203,0.032569893,0.008556932
/mnt/sdd/caltech_training/three_classes/train/001.Black_footed_Albatross/Black_Footed_Albatross_0082_796121.jpg,0,-0.06774134,-0.00036203302,0.0002720356,-0.011274473,0.052654043,0.03078918,0.022150543,-0.0063281413,-0.007159449,0.016828125,0.013568787
/mnt/sdd/caltech_training/three_classes/train/001.Black_footed_Albatross/Black_Footed_Albatross_0046_18.jpg,0,0.07285452,0.05118372,-0.12193795,-0.029299432,0.020930022,-0.00444905,-0.08355285,-0.08260673,-0.048530467,0.0053138454,0.0058018393
/mnt/sdd/caltech_training/three_classes/train/001.Black_footed_Albatross/Black_Footed_Albatross_0001_796111.jpg,0,0.06208565,0.022618625,-0.046397477,0.023770783,-0.17350681,-0.06276065,-0.05159526,-0.036439866,-0.020703427,0.040649287,0.010319272
/mnt/sdd/caltech_training/three_classes/train/001.Black_footed_Albatross/Black_Footed_Albatross_0014_89.jpg,0,-0.080122575,-0.014020329,-0.09862059,-0.08054814,-0.13788077,0.023991115,0.011095379,-0.011432072,-0.02142933,0.024101784,0.029456407
/mnt/sdd/caltech_training/three_classes/train/001.Black_footed_Albatross/Black_Footed_Albatross_0057_796106.jpg,0,0.07946126,-0.035256777,0.01927086,0.023544805,-0.049039625,0.030999314,0.06859729,0.041357614,-0.056839436,-0.0040056333,-0.0008181813
/mnt/sdd/caltech_training/three_classes/train/001.Black_footed_Albatross/Black_Footed_Albatross_0065_796068.jpg,0,-0.051879607,-0.045824092,0.13583943,0.027104642,0.043072198,0.031069225,0.025406469,-0.05590692,-0.12594329,-0.029096862,0.008500039
/mnt/sdd/caltech_training/three_classes/train/001.Black_footed_Albatross/Black_Footed_Albatross_0071_796113.jpg,0,-0.110893905,-0.10195021,0.0023353547,-0.11990291,-0.09735562,-0.046785727,-0.13440453,-0.13809927,-0.07313618,0.056847874,-0.008847918
/mnt/sdd/caltech_training/three_classes/train/001.Black_footed_Albatross/Black_Footed_Albatross_0045_796129.jpg,0,-0.18208566,-0.1487562,-0.0043967646,-0.042275872,0.13227704,0.0025430117,-0.04139138,-0.01940515,0.085196786,0.0006080251,0.025122266
/mnt/sdd/caltech_training/three_classes/train/001.Black_footed_Albatross/Black_Footed_Albatross_0047_796064.jpg,0,-0.12779269,-0.007484723,-0.049180444,-0.06928085,0.14459227,0.027911868,-0.052648846,-0.0891524,0.045274507,0.033431906,0.044116125
/mnt/sdd/caltech_training/three_classes/train/001.Black_footed_Albatross/Black_Footed_Albatross_0039_796132.jpg,0,0.066254884,0.0074877143,0.14831622,0.048915233,0.086697794,0.04203937,0.036909632,-0.014376505,0.11828787,0.010127815,0.025762646
/mnt/sdd/caltech_training/three_classes/train/001.Black_footed_Albatross/Black_Footed_Albatross_0085_92.jpg,0,0.186885,-0.041201986,0.1770095,0.084511496,-0.12182592,0.008455184,-0.035134748,0.0011507329,0.085937016,0.052231662,0.009234878
