Full filepath,Full Class Index,sensitivityscore_before_features.11.block.2.fc1,sensitivityscore_After_features.11.block.2.fc1_0.5,sensitivityscore_After_features.11.block.2.fc1_0.6,sensitivityscore_before_features.11.block.2.fc2,sensitivityscore_After_features.11.block.2.fc2_0.5,sensitivityscore_After_features.11.block.2.fc2_0.6,sensitivityscore_before_features.12.block.2.fc1,sensitivityscore_After_features.12.block.2.fc1_0.5,sensitivityscore_After_features.12.block.2.fc1_0.6,sensitivityscore_before_features.12.block.2.fc2,sensitivityscore_After_features.12.block.2.fc2_0.5,sensitivityscore_After_features.12.block.2.fc2_0.6,sensitivityscore_before_features.13.block.2.fc1,sensitivityscore_After_features.13.block.2.fc1_0.5,sensitivityscore_After_features.13.block.2.fc1_0.6,sensitivityscore_before_features.13.block.2.fc2,sensitivityscore_After_features.13.block.2.fc2_0.5,sensitivityscore_After_features.13.block.2.fc2_0.6,sensitivityscore_before_features.14.block.2.fc1,sensitivityscore_After_features.14.block.2.fc1_0.5,sensitivityscore_After_features.14.block.2.fc1_0.6,sensitivityscore_before_features.14.block.2.fc2,sensitivityscore_After_features.14.block.2.fc2_0.5,sensitivityscore_After_features.14.block.2.fc2_0.6,sensitivityscore_before_features.15.block.2.fc1,sensitivityscore_After_features.15.block.2.fc1_0.5,sensitivityscore_After_features.15.block.2.fc1_0.6,sensitivityscore_before_features.15.block.2.fc2,sensitivityscore_After_features.15.block.2.fc2_0.5,sensitivityscore_After_features.15.block.2.fc2_0.6,sensitivityscore_before_features.16.0,sensitivityscore_After_features.16.0_0.5,sensitivityscore_After_features.16.0_0.6
/mnt/sdd/caltech_training/three_classes/train/001.Black_footed_Albatross/Black_Footed_Albatross_0064_796101.jpg,0,0.011362404,0.17047259,0.05423362,-0.076720476,0.048895538,-0.16765642,-0.1906955,0.14572567,0.05643344,-0.06377609,0.024015639,0.11123502,0.052922565,0.09322123,0.08041321,0.0188479,0.036536273,0.04197944,0.21382648,0.0603019,0.028305475,0.08373198,0.062138103,-0.0006988961,0.04277073,0.041066144,0.030431584,-0.017323252,0.06446096,0.073477186,0.018960109,0.048537627,0.04255145
/mnt/sdd/caltech_training/three_classes/train/001.Black_footed_Albatross/Black_Footed_Albatross_0010_796097.jpg,0,0.042738736,0.14783646,-0.053352885,-0.094227284,-0.027345564,0.13314241,0.13252941,0.13577473,0.030879205,0.008282559,-0.023822304,0.012735867,0.007309042,0.23918146,0.17327064,0.0029224567,0.066829674,0.112766266,0.06968984,-0.103948094,0.006960176,-0.026457949,0.08357805,0.02765268,-0.021833131,0.08767608,-0.0027556699,0.031645693,0.049086377,0.04947692,0.024961298,0.06103172,0.055050313
/mnt/sdd/caltech_training/three_classes/train/001.Black_footed_Albatross/Black_Footed_Albatross_0006_796065.jpg,0,-0.061960854,0.21028249,0.08776325,-0.03977016,0.116464645,0.1573992,0.015496839,-0.02062309,-0.08360019,0.030999707,0.05294566,-0.0013649948,0.051919855,0.044165395,-0.05039062,0.029485933,0.1368187,0.13676956,-0.074584275,-0.06424706,0.12634642,-0.037343107,0.101255745,0.15211236,0.018158995,-0.058326498,0.07471366,-0.0055818125,0.07835776,0.05202837,0.020742875,0.029082114,0.03439356
/mnt/sdd/caltech_training/three_classes/train/001.Black_footed_Albatross/Black_Footed_Albatross_0051_796103.jpg,0,0.04941509,0.008263882,0.09262298,-0.06897837,0.038063206,0.016766414,-0.06894007,0.052467853,0.07216782,0.007700499,0.045221906,-0.0028149495,-0.03885014,0.16370393,0.104157135,0.018483859,0.0644687,-0.03352776,-0.14978501,0.062653325,0.17466053,-0.044766955,0.065879464,0.08262112,-0.08202124,0.1520724,-0.03513563,-0.04354573,0.017208334,0.020204408,0.0036194716,0.049671635,0.03608447
/mnt/sdd/caltech_training/three_classes/train/001.Black_footed_Albatross/Black_Footed_Albatross_0076_417.jpg,0,0.06126395,0.04534792,0.020024601,-0.004305439,0.009429194,0.005128138,-0.042815734,0.2363359,0.20143795,-0.07066998,0.13395853,0.083071336,0.12643245,0.05731891,0.09479363,0.060131907,0.042542584,0.06509969,-0.123690575,-0.07672463,0.09155473,-0.03855238,0.084496856,0.12647,-0.10381931,0.20147598,-0.034219168,-0.0081952065,0.02917331,0.051484883,0.012548724,0.05386492,0.051678583
/mnt/sdd/caltech_training/three_classes/train/001.Black_footed_Albatross/Black_Footed_Albatross_0082_796121.jpg,0,-0.1393482,-0.04479101,-0.042937122,-0.101973124,0.061328884,0.043512166,-0.09769697,-0.11353037,-0.1974493,-0.03779825,0.032933436,0.0021631364,-0.031251274,0.049824618,0.14332123,0.03981506,0.11768482,0.15993685,0.09883937,0.007988166,0.054951057,-0.0188536,0.06505384,0.05443611,0.19870013,0.12781549,-0.048956346,0.025286242,0.023853984,0.022998838,0.010518215,0.035075806,0.03938453
/mnt/sdd/caltech_training/three_classes/train/001.Black_footed_Albatross/Black_Footed_Albatross_0046_18.jpg,0,0.20828997,0.18791726,0.2587443,0.083609074,-0.05348964,0.12056655,-0.083505005,0.06687557,0.12512073,-0.04532758,0.079419404,0.12550038,0.06376601,0.052602544,-0.08200364,-0.017767237,-0.01064498,0.049654517,0.08815869,0.13596247,0.16088545,-0.014181604,0.08663196,-0.061233558,-0.026867073,0.08127825,-0.009947579,0.018178487,0.0154237505,0.035120867,0.012321614,0.045922875,0.054268256
/mnt/sdd/caltech_training/three_classes/train/001.Black_footed_Albatross/Black_Footed_Albatross_0001_796111.jpg,0,-0.050894104,0.013884079,-0.093574956,-0.006476419,0.2298104,0.19753575,0.16557735,0.10338877,0.095333934,0.024782281,0.059415907,0.10041836,-0.0015528305,-0.016577756,-0.026549725,0.05925951,0.05665765,0.031146895,0.114834905,0.03009241,0.15891217,0.048273794,0.13016428,0.16789463,0.026689045,-0.08907987,-0.021468133,-0.016178787,-0.015815156,-0.030212063,0.018052407,0.052281365,0.053799465
/mnt/sdd/caltech_training/three_classes/train/001.Black_footed_Albatross/Black_Footed_Albatross_0014_89.jpg,0,0.012177806,0.2439416,0.12918463,-0.04272224,0.079960756,0.031740323,0.095053665,-0.12197334,-0.17311685,0.06068668,0.04171779,0.1049168,0.15322027,0.085060105,0.0015556328,0.017898727,0.13297594,0.09566578,0.16943008,0.11261277,0.12637699,0.11313026,0.0021121837,0.06640753,-0.08053227,0.1473235,-0.002074575,-0.015383828,-0.042270523,-0.019448144,0.02066636,0.019282592,0.040029034
/mnt/sdd/caltech_training/three_classes/train/001.Black_footed_Albatross/Black_Footed_Albatross_0057_796106.jpg,0,-0.18324107,-0.013579689,0.10560036,-0.15197912,0.13260394,0.18806756,-0.16857083,0.12666538,0.16861951,-0.09244983,0.062145844,0.09972073,0.1091556,0.04255338,0.08951078,0.011474516,0.17694832,0.24509853,-0.03555847,0.05497238,0.07939516,-0.023714645,0.038524076,0.10145739,-0.040911287,0.21561998,-0.06599863,-0.05570421,-0.023425173,0.008493744,0.01967641,0.05155704,0.05552621
