Layer Name,Lambda Classification,Lambda Alignment,Accuracy Before,Accuracy After,Precision Before,Precision After,Recall Before,Recall After,F1 Before,F1 After,Legacy Accuracy Before,Legacy Accuracy After,Class count  Before,Class count After,TCAV Before (001.Black_footed_Albatross),TCAV After (001.Black_footed_Albatross),Avg Conf 001.Black_footed_Albatross Before,Avg Conf 001.Black_footed_Albatross After,TCAV Before (002.Laysan_Albatross),TCAV After (002.Laysan_Albatross),Avg Conf 002.Laysan_Albatross Before,Avg Conf 002.Laysan_Albatross After,TCAV Before (003.Sooty_Albatross),TCAV After (003.Sooty_Albatross),Avg Conf 003.Sooty_Albatross Before,Avg Conf 003.Sooty_Albatross After
Mixed_6e.branch1x1.conv,0.5,0.5,0.694,0.861,0.703,0.868,0.694,0.861,0.698,0.862,0.694,0.861,12,12,0.625,0.979,0.469,0.764,0.521,0.979,0.585,0.833,0.348,0.891,0.461,0.705
Mixed_6e.branch1x1.conv,0.4,0.6,0.694,0.833,0.703,0.865,0.694,0.833,0.698,0.833,0.694,0.833,12,12,0.625,1,0.469,0.735,0.521,1,0.585,0.868,0.348,0.957,0.461,0.706
Mixed_6e.branch1x1.conv,0.3,0.7,0.694,0.861,0.703,0.868,0.694,0.861,0.698,0.862,0.694,0.861,12,12,0.625,0.979,0.469,0.701,0.521,0.979,0.585,0.823,0.348,0.87,0.461,0.693
Mixed_6e.branch1x1.conv,0.2,0.8,0.694,0.889,0.703,0.9,0.694,0.889,0.698,0.888,0.694,0.889,12,12,0.625,1,0.469,0.686,0.521,0.938,0.585,0.809,0.348,0.87,0.461,0.651
Mixed_6e.branch1x1,0.5,0.5,0.694,0.861,0.703,0.883,0.694,0.861,0.698,0.861,0.694,0.861,12,12,0.604,0.958,0.469,0.798,0.5,0.979,0.585,0.871,0.478,0.891,0.461,0.663
Mixed_6e.branch1x1,0.4,0.6,0.694,0.917,0.703,0.922,0.694,0.917,0.698,0.916,0.694,0.917,12,12,0.604,0.938,0.469,0.754,0.5,0.938,0.585,0.82,0.478,0.891,0.461,0.624
Mixed_6e.branch1x1,0.3,0.7,0.694,0.917,0.703,0.922,0.694,0.917,0.698,0.916,0.694,0.917,12,12,0.604,0.917,0.469,0.673,0.5,0.958,0.585,0.74,0.478,0.935,0.461,0.649
Mixed_6e.branch1x1,0.2,0.8,0.694,0.833,0.703,0.865,0.694,0.833,0.698,0.833,0.694,0.833,12,12,0.604,1,0.469,0.652,0.5,0.833,0.585,0.742,0.478,0.783,0.461,0.604
Mixed_6e.branch7x7_1.conv,0.5,0.5,0.694,0.861,0.703,0.902,0.694,0.861,0.698,0.865,0.694,0.861,12,12,0.375,0.646,0.469,0.647,0.708,0.812,0.585,0.72,0.435,0.761,0.461,0.603
Mixed_6e.branch7x7_1.conv,0.4,0.6,0.694,0.806,0.703,0.822,0.694,0.806,0.698,0.808,0.694,0.806,12,12,0.375,0.812,0.469,0.647,0.708,0.792,0.585,0.669,0.435,0.826,0.461,0.524
