Layer Name,Lambda Classification,Lambda Alignment,Accuracy Before,Accuracy After,Precision Before,Precision After,Recall Before,Recall After,F1 Before,F1 After,Legacy Accuracy Before,Legacy Accuracy After,Class count  Before,Class count After,TCAV Before (001.Black_footed_Albatross),TCAV After (001.Black_footed_Albatross),Avg Conf 001.Black_footed_Albatross Before,Avg Conf 001.Black_footed_Albatross After,TCAV Before (002.Laysan_Albatross),TCAV After (002.Laysan_Albatross),Avg Conf 002.Laysan_Albatross Before,Avg Conf 002.Laysan_Albatross After,TCAV Before (003.Sooty_Albatross),TCAV After (003.Sooty_Albatross),Avg Conf 003.Sooty_Albatross Before,Avg Conf 003.Sooty_Albatross After
features.11.block.2.fc1,0.5,0.5,0.444,0.472,0.389,0.454,0.444,0.472,0.403,0.454,0.444,0.472,12,12,0.604,0.646,0.535,0.576,0.625,0.562,0.543,0.518,0.435,0.543,0.477,0.523
features.11.block.2.fc1,0.4,0.6,0.444,0.472,0.389,0.454,0.444,0.472,0.403,0.454,0.444,0.472,12,12,0.604,0.5,0.535,0.578,0.625,0.5,0.543,0.498,0.435,0.609,0.477,0.521
features.11.block.2.fc1,0.3,0.7,0.444,0.528,0.389,0.517,0.444,0.528,0.403,0.515,0.444,0.528,12,12,0.604,0.479,0.535,0.592,0.625,0.604,0.543,0.496,0.435,0.609,0.477,0.512
features.11.block.2.fc1,0.2,0.8,0.444,0.556,0.389,0.548,0.444,0.556,0.403,0.548,0.444,0.556,12,12,0.604,0.5,0.535,0.601,0.625,0.604,0.543,0.493,0.435,0.565,0.477,0.506
features.11.block.2.fc2,0.5,0.5,0.444,0.556,0.389,0.566,0.444,0.556,0.403,0.551,0.444,0.556,12,12,0.479,0.667,0.535,0.559,0.583,0.729,0.543,0.549,0.587,0.63,0.477,0.543
features.11.block.2.fc2,0.4,0.6,0.444,0.556,0.389,0.557,0.444,0.556,0.403,0.551,0.444,0.556,12,12,0.479,0.646,0.535,0.529,0.583,0.812,0.543,0.534,0.587,0.674,0.477,0.507
features.11.block.2.fc2,0.3,0.7,0.444,0.583,0.389,0.61,0.444,0.583,0.403,0.589,0.444,0.583,12,12,0.479,0.729,0.535,0.53,0.583,0.542,0.543,0.468,0.587,0.543,0.477,0.476
features.11.block.2.fc2,0.2,0.8,0.444,0.472,0.389,0.507,0.444,0.472,0.403,0.473,0.444,0.472,12,12,0.479,0.729,0.535,0.5,0.583,0.708,0.543,0.434,0.587,0.5,0.477,0.477
features.12.block.2.fc1,0.5,0.5,0.444,0.556,0.389,0.543,0.444,0.556,0.403,0.544,0.444,0.556,12,12,0.583,0.417,0.535,0.542,0.646,0.729,0.543,0.528,0.522,0.565,0.477,0.46
features.12.block.2.fc1,0.4,0.6,0.444,0.556,0.389,0.528,0.444,0.556,0.403,0.533,0.444,0.556,12,12,0.583,0.396,0.535,0.536,0.646,0.792,0.543,0.513,0.522,0.5,0.477,0.435
features.12.block.2.fc1,0.3,0.7,0.444,0.583,0.389,0.575,0.444,0.583,0.403,0.566,0.444,0.583,12,12,0.583,0.458,0.535,0.526,0.646,0.729,0.543,0.493,0.522,0.543,0.477,0.424
features.12.block.2.fc1,0.2,0.8,0.444,0.583,0.389,0.598,0.444,0.583,0.403,0.555,0.444,0.583,12,12,0.583,0.375,0.535,0.493,0.646,0.646,0.543,0.493,0.522,0.478,0.477,0.46
features.12.block.2.fc2,0.5,0.5,0.444,0.611,0.389,0.618,0.444,0.611,0.403,0.612,0.444,0.611,12,12,0.542,0.604,0.535,0.609,0.604,0.854,0.543,0.566,0.391,0.87,0.477,0.514
features.12.block.2.fc2,0.4,0.6,0.444,0.694,0.389,0.698,0.444,0.694,0.403,0.691,0.444,0.694,12,12,0.542,0.708,0.535,0.564,0.604,0.771,0.543,0.53,0.391,0.826,0.477,0.531
features.12.block.2.fc2,0.3,0.7,0.444,0.389,0.389,0.393,0.444,0.389,0.403,0.391,0.444,0.389,12,12,0.542,0.75,0.535,0.506,0.604,0.812,0.543,0.449,0.391,0.63,0.477,0.494
features.12.block.2.fc2,0.2,0.8,0.444,0.556,0.389,0.565,0.444,0.556,0.403,0.549,0.444,0.556,12,12,0.542,0.688,0.535,0.474,0.604,0.667,0.543,0.446,0.391,0.717,0.477,0.417
