Layer Name,Lambda Classification,Lambda Alignment,Accuracy Before,Accuracy After,Precision Before,Precision After,Recall Before,Recall After,F1 Before,F1 After,Legacy Accuracy Before,Legacy Accuracy After,Class count  Before,Class count After,TCAV Before (001.Black_footed_Albatross),TCAV After (001.Black_footed_Albatross),Avg Conf 001.Black_footed_Albatross Before,Avg Conf 001.Black_footed_Albatross After,TCAV Before (002.Laysan_Albatross),TCAV After (002.Laysan_Albatross),Avg Conf 002.Laysan_Albatross Before,Avg Conf 002.Laysan_Albatross After,TCAV Before (003.Sooty_Albatross),TCAV After (003.Sooty_Albatross),Avg Conf 003.Sooty_Albatross Before,Avg Conf 003.Sooty_Albatross After
features.5.block.0.0,0.5,0.5,0.528,0.472,0.524,0.467,0.528,0.472,0.523,0.465,0.528,0.472,12,12,0.688,0.708,0.47,0.485,0.396,0.438,0.468,0.505,0.565,0.609,0.427,0.422
features.5.block.0.0,0.4,0.6,0.528,0.472,0.524,0.467,0.528,0.472,0.523,0.465,0.528,0.472,12,12,0.688,0.771,0.47,0.485,0.396,0.396,0.468,0.501,0.565,0.587,0.427,0.431
features.5.block.0.0,0.3,0.7,0.528,0.5,0.524,0.498,0.528,0.5,0.523,0.491,0.528,0.5,12,12,0.688,0.708,0.47,0.469,0.396,0.5,0.468,0.495,0.565,0.587,0.427,0.44
features.5.block.0.0,0.2,0.8,0.528,0.556,0.524,0.578,0.528,0.556,0.523,0.542,0.528,0.556,12,12,0.688,0.708,0.47,0.466,0.396,0.646,0.468,0.474,0.565,0.565,0.427,0.444
features.5.block.1.0,0.5,0.5,0.528,0.444,0.524,0.439,0.528,0.444,0.523,0.44,0.528,0.444,12,12,0.562,0.646,0.47,0.469,0.417,0.417,0.468,0.474,0.326,0.543,0.427,0.419
features.5.block.1.0,0.4,0.6,0.528,0.444,0.524,0.459,0.528,0.444,0.523,0.428,0.528,0.444,12,12,0.562,0.667,0.47,0.484,0.417,0.458,0.468,0.474,0.326,0.609,0.427,0.44
features.5.block.1.0,0.3,0.7,0.528,0.472,0.524,0.492,0.528,0.472,0.523,0.464,0.528,0.472,12,12,0.562,0.729,0.47,0.51,0.417,0.354,0.468,0.484,0.326,0.5,0.427,0.417
features.5.block.1.0,0.2,0.8,0.528,0.417,0.524,0.447,0.528,0.417,0.523,0.417,0.528,0.417,12,12,0.562,0.688,0.47,0.484,0.417,0.292,0.468,0.481,0.326,0.435,0.427,0.438
features.5.block.2.fc2,0.5,0.5,0.528,0.444,0.524,0.448,0.528,0.444,0.523,0.438,0.528,0.444,12,12,0.458,0.604,0.47,0.427,0.167,0.583,0.468,0.44,0.283,0.478,0.427,0.445
features.5.block.2.fc2,0.4,0.6,0.528,0.444,0.524,0.438,0.528,0.444,0.523,0.435,0.528,0.444,12,12,0.458,0.667,0.47,0.414,0.167,0.646,0.468,0.415,0.283,0.457,0.427,0.457
features.5.block.2.fc2,0.3,0.7,0.528,0.472,0.524,0.46,0.528,0.472,0.523,0.46,0.528,0.472,12,12,0.458,0.771,0.47,0.406,0.167,0.625,0.468,0.414,0.283,0.478,0.427,0.457
features.5.block.2.fc2,0.2,0.8,0.528,0.472,0.524,0.473,0.528,0.472,0.523,0.457,0.528,0.472,12,12,0.458,0.604,0.47,0.398,0.167,0.604,0.468,0.413,0.283,0.457,0.427,0.444
features.5.block.3.0,0.5,0.5,0.528,0.528,0.524,0.537,0.528,0.528,0.523,0.529,0.528,0.528,12,12,0.417,0.583,0.47,0.479,0.625,0.646,0.468,0.478,0.304,0.478,0.427,0.464
features.5.block.3.0,0.4,0.6,0.528,0.528,0.524,0.542,0.528,0.528,0.523,0.524,0.528,0.528,12,12,0.417,0.688,0.47,0.489,0.625,0.604,0.468,0.431,0.304,0.587,0.427,0.459
features.5.block.3.0,0.3,0.7,0.528,0.5,0.524,0.509,0.528,0.5,0.523,0.494,0.528,0.5,12,12,0.417,0.667,0.47,0.46,0.625,0.438,0.468,0.42,0.304,0.609,0.427,0.446
features.5.block.3.0,0.2,0.8,0.528,0.361,0.524,0.364,0.528,0.361,0.523,0.357,0.528,0.361,12,12,0.417,0.688,0.47,0.399,0.625,0.438,0.468,0.413,0.304,0.652,0.427,0.447
features.6.block.0.0,0.5,0.5,0.528,0.528,0.524,0.524,0.528,0.528,0.523,0.518,0.528,0.528,12,12,0.25,0.354,0.47,0.495,0.417,0.375,0.468,0.499,0.522,0.587,0.427,0.443
features.6.block.0.0,0.4,0.6,0.528,0.472,0.524,0.463,0.528,0.472,0.523,0.457,0.528,0.472,12,12,0.25,0.458,0.47,0.477,0.417,0.396,0.468,0.512,0.522,0.522,0.427,0.43
features.6.block.0.0,0.3,0.7,0.528,0.444,0.524,0.451,0.528,0.444,0.523,0.439,0.528,0.444,12,12,0.25,0.479,0.47,0.492,0.417,0.458,0.468,0.5,0.522,0.5,0.427,0.435
features.6.block.0.0,0.2,0.8,0.528,0.472,0.524,0.474,0.528,0.472,0.523,0.469,0.528,0.472,12,12,0.25,0.5,0.47,0.51,0.417,0.438,0.468,0.501,0.522,0.63,0.427,0.431
features.6.block.1.0,0.5,0.5,0.528,0.5,0.524,0.507,0.528,0.5,0.523,0.494,0.528,0.5,12,12,0.312,0.25,0.47,0.482,0.604,0.438,0.468,0.481,0.63,0.609,0.427,0.477
features.6.block.1.0,0.4,0.6,0.528,0.556,0.524,0.577,0.528,0.556,0.523,0.553,0.528,0.556,12,12,0.312,0.292,0.47,0.514,0.604,0.417,0.468,0.469,0.63,0.609,0.427,0.455
features.6.block.1.0,0.3,0.7,0.528,0.556,0.524,0.584,0.528,0.556,0.523,0.553,0.528,0.556,12,12,0.312,0.417,0.47,0.476,0.604,0.479,0.468,0.478,0.63,0.63,0.427,0.484
features.6.block.1.0,0.2,0.8,0.528,0.556,0.524,0.567,0.528,0.556,0.523,0.556,0.528,0.556,12,12,0.312,0.479,0.47,0.478,0.604,0.375,0.468,0.498,0.63,0.609,0.427,0.426
features.6.block.2.fc2,0.5,0.5,0.528,0.528,0.524,0.536,0.528,0.528,0.523,0.52,0.528,0.528,12,12,0.208,0.562,0.47,0.497,0.604,0.708,0.468,0.473,0.239,0.652,0.427,0.462
features.6.block.2.fc2,0.4,0.6,0.528,0.556,0.524,0.557,0.528,0.556,0.523,0.552,0.528,0.556,12,12,0.208,0.604,0.47,0.478,0.604,0.688,0.468,0.474,0.239,0.652,0.427,0.453
features.6.block.2.fc2,0.3,0.7,0.528,0.556,0.524,0.564,0.528,0.556,0.523,0.552,0.528,0.556,12,12,0.208,0.604,0.47,0.493,0.604,0.708,0.468,0.47,0.239,0.587,0.427,0.435
features.6.block.2.fc2,0.2,0.8,0.528,0.528,0.524,0.546,0.528,0.528,0.523,0.526,0.528,0.528,12,12,0.208,0.562,0.47,0.487,0.604,0.646,0.468,0.446,0.239,0.587,0.427,0.432
features.6.block.3.0,0.5,0.5,0.528,0.639,0.524,0.673,0.528,0.639,0.523,0.616,0.528,0.639,12,12,0.417,0.729,0.47,0.524,0.646,0.604,0.468,0.523,0.63,0.696,0.427,0.446
features.6.block.3.0,0.4,0.6,0.528,0.639,0.524,0.633,0.528,0.639,0.523,0.604,0.528,0.639,12,12,0.417,0.5,0.47,0.521,0.646,0.479,0.468,0.512,0.63,0.63,0.427,0.425
features.6.block.3.0,0.3,0.7,0.528,0.472,0.524,0.485,0.528,0.472,0.523,0.431,0.528,0.472,12,12,0.417,0.5,0.47,0.496,0.646,0.354,0.468,0.479,0.63,0.674,0.427,0.414
features.6.block.3.0,0.2,0.8,0.528,0.472,0.524,0.525,0.528,0.472,0.523,0.43,0.528,0.472,12,12,0.417,0.708,0.47,0.47,0.646,0.542,0.468,0.467,0.63,0.609,0.427,0.445
features.7.block.0.0,0.5,0.5,0.528,0.472,0.524,0.457,0.528,0.472,0.523,0.458,0.528,0.472,12,12,0.771,0.604,0.47,0.499,0.604,0.458,0.468,0.506,0.739,0.652,0.427,0.454
features.7.block.0.0,0.4,0.6,0.528,0.528,0.524,0.517,0.528,0.528,0.523,0.515,0.528,0.528,12,12,0.771,0.771,0.47,0.499,0.604,0.479,0.468,0.509,0.739,0.587,0.427,0.442
features.7.block.0.0,0.3,0.7,0.528,0.444,0.524,0.425,0.528,0.444,0.523,0.421,0.528,0.444,12,12,0.771,0.729,0.47,0.477,0.604,0.375,0.468,0.494,0.739,0.652,0.427,0.453
features.7.block.0.0,0.2,0.8,0.528,0.472,0.524,0.478,0.528,0.472,0.523,0.458,0.528,0.472,12,12,0.771,0.75,0.47,0.519,0.604,0.292,0.468,0.476,0.739,0.696,0.427,0.45
features.7.block.1.0,0.5,0.5,0.528,0.528,0.524,0.532,0.528,0.528,0.523,0.509,0.528,0.528,12,12,0.625,0.771,0.47,0.468,0.667,0.625,0.468,0.477,0.565,0.37,0.427,0.428
features.7.block.1.0,0.4,0.6,0.528,0.528,0.524,0.542,0.528,0.528,0.523,0.518,0.528,0.528,12,12,0.625,0.792,0.47,0.474,0.667,0.646,0.468,0.471,0.565,0.543,0.427,0.416
features.7.block.1.0,0.3,0.7,0.528,0.639,0.524,0.652,0.528,0.639,0.523,0.632,0.528,0.639,12,12,0.625,0.708,0.47,0.449,0.667,0.688,0.468,0.453,0.565,0.522,0.427,0.427
features.7.block.1.0,0.2,0.8,0.528,0.583,0.524,0.616,0.528,0.583,0.523,0.571,0.528,0.583,12,12,0.625,0.833,0.47,0.472,0.667,0.583,0.468,0.45,0.565,0.457,0.427,0.42
features.7.block.2.fc2,0.5,0.5,0.528,0.472,0.524,0.467,0.528,0.472,0.523,0.468,0.528,0.472,12,12,0.333,0.479,0.47,0.464,0.438,0.5,0.468,0.479,0.63,0.152,0.427,0.452
features.7.block.2.fc2,0.4,0.6,0.528,0.472,0.524,0.47,0.528,0.472,0.523,0.47,0.528,0.472,12,12,0.333,0.5,0.47,0.458,0.438,0.438,0.468,0.484,0.63,0.174,0.427,0.451
features.7.block.2.fc2,0.3,0.7,0.528,0.444,0.524,0.446,0.528,0.444,0.523,0.444,0.528,0.444,12,12,0.333,0.5,0.47,0.456,0.438,0.458,0.468,0.496,0.63,0.152,0.427,0.454
