Layer Name,Lambda Classification,Lambda Alignment,Accuracy Before,Accuracy After,Precision Before,Precision After,Recall Before,Recall After,F1 Before,F1 After,Legacy Accuracy Before,Legacy Accuracy After,Class count  Before,Class count After,TCAV Before (001.Black_footed_Albatross),TCAV After (001.Black_footed_Albatross),Avg Conf 001.Black_footed_Albatross Before,Avg Conf 001.Black_footed_Albatross After,TCAV Before (002.Laysan_Albatross),TCAV After (002.Laysan_Albatross),Avg Conf 002.Laysan_Albatross Before,Avg Conf 002.Laysan_Albatross After,TCAV Before (003.Sooty_Albatross),TCAV After (003.Sooty_Albatross),Avg Conf 003.Sooty_Albatross Before,Avg Conf 003.Sooty_Albatross After
layer1.0.conv1,0.5,0.5,0.444,0.417,0.405,0.501,0.444,0.417,0.377,0.432,0.444,0.417,12,12,0.688,0.542,0.397,0.409,0.354,0.708,0.397,0.365,0.478,0.522,0.386,0.416
layer1.0.conv1,0.4,0.6,0.444,0.472,0.405,0.546,0.444,0.472,0.377,0.48,0.444,0.472,12,12,0.688,0.646,0.397,0.411,0.354,0.75,0.397,0.364,0.478,0.543,0.386,0.414
layer1.0.conv1,0.3,0.7,0.444,0.444,0.405,0.528,0.444,0.444,0.377,0.446,0.444,0.444,12,12,0.688,0.562,0.397,0.413,0.354,0.771,0.397,0.365,0.478,0.674,0.386,0.411
layer1.0.conv1,0.2,0.8,0.444,0.444,0.405,0.535,0.444,0.444,0.377,0.448,0.444,0.444,12,12,0.688,0.542,0.397,0.408,0.354,0.792,0.397,0.364,0.478,0.674,0.386,0.409
layer1.0.conv2,0.5,0.5,0.444,0.389,0.405,0.58,0.444,0.389,0.377,0.344,0.444,0.389,12,12,0.875,0.604,0.397,0.402,0.375,0.812,0.397,0.41,0.522,0.652,0.386,0.401
layer1.0.conv2,0.4,0.6,0.444,0.417,0.405,0.605,0.444,0.417,0.377,0.371,0.444,0.417,12,12,0.875,0.667,0.397,0.43,0.375,0.729,0.397,0.431,0.522,0.63,0.386,0.402
layer1.0.conv2,0.3,0.7,0.444,0.444,0.405,0.458,0.444,0.444,0.377,0.39,0.444,0.444,12,12,0.875,0.646,0.397,0.379,0.375,0.75,0.397,0.415,0.522,0.804,0.386,0.415
layer1.0.conv2,0.2,0.8,0.444,0.417,0.405,0.447,0.444,0.417,0.377,0.369,0.444,0.417,12,12,0.875,0.667,0.397,0.351,0.375,0.792,0.397,0.426,0.522,0.63,0.386,0.408
layer1.0.conv3,0.5,0.5,0.444,0.444,0.405,0.467,0.444,0.444,0.377,0.442,0.444,0.444,12,12,0.792,0.396,0.397,0.451,0.396,0.917,0.397,0.394,0.609,0.739,0.386,0.469
layer1.0.conv3,0.4,0.6,0.444,0.417,0.405,0.437,0.444,0.417,0.377,0.392,0.444,0.417,12,12,0.792,0.396,0.397,0.465,0.396,0.938,0.397,0.377,0.609,0.848,0.386,0.476
layer1.0.conv3,0.3,0.7,0.444,0.333,0.405,0.234,0.444,0.333,0.377,0.271,0.444,0.333,12,12,0.792,0.271,0.397,0.446,0.396,0.854,0.397,0.384,0.609,0.891,0.386,0.398
layer1.0.conv3,0.2,0.8,0.444,0.361,0.405,0.244,0.444,0.361,0.377,0.29,0.444,0.361,12,12,0.792,0.25,0.397,0.439,0.396,0.833,0.397,0,0.609,0.848,0.386,0.395
layer4.0.conv1,0.5,0.5,0.444,0.75,0.405,0.825,0.444,0.75,0.377,0.75,0.444,0.75,12,12,0.896,0.75,0.397,0.783,0.75,0.5,0.397,0.862,0.348,0.804,0.386,0.764
layer4.0.conv1,0.4,0.6,0.444,0.722,0.405,0.736,0.444,0.722,0.377,0.727,0.444,0.722,12,12,0.896,0.958,0.397,0.898,0.75,1,0.397,0.906,0.348,1,0.386,0.803
layer4.0.conv1,0.3,0.7,0.444,0.583,0.405,0.624,0.444,0.583,0.377,0.595,0.444,0.583,12,12,0.896,1,0.397,0.734,0.75,0.5,0.397,0.857,0.348,0.783,0.386,0.753
layer4.0.conv1,0.2,0.8,0.444,0.667,0.405,0.672,0.444,0.667,0.377,0.667,0.444,0.667,12,12,0.896,1,0.397,0.787,0.75,0.083,0.397,0.793,0.348,0.587,0.386,0.736
layer4.0.conv2,0.5,0.5,0.444,0.778,0.405,0.837,0.444,0.778,0.377,0.784,0.444,0.778,12,12,0.979,0.979,0.397,0.802,0.479,1,0.397,0.932,0.457,1,0.386,0.756
layer4.0.conv2,0.4,0.6,0.444,0.833,0.405,0.862,0.444,0.833,0.377,0.838,0.444,0.833,12,12,0.979,1,0.397,0.786,0.479,1,0.397,0.884,0.457,1,0.386,0.713
layer4.0.conv2,0.3,0.7,0.444,0.861,0.405,0.881,0.444,0.861,0.377,0.864,0.444,0.861,12,12,0.979,1,0.397,0.717,0.479,1,0.397,0.866,0.457,1,0.386,0.683
layer4.0.conv2,0.2,0.8,0.444,0.75,0.405,0.818,0.444,0.75,0.377,0.756,0.444,0.75,12,12,0.979,1,0.397,0.717,0.479,1,0.397,0.793,0.457,1,0.386,0.702
layer4.0.conv3,0.5,0.5,0.444,0.806,0.405,0.821,0.444,0.806,0.377,0.809,0.444,0.806,12,12,1,1,0.397,0.852,0.625,1,0.397,0.894,0.37,1,0.386,0.802
layer4.0.conv3,0.4,0.6,0.444,0.833,0.405,0.837,0.444,0.833,0.377,0.834,0.444,0.833,12,12,1,1,0.397,0.811,0.625,1,0.397,0.866,0.37,1,0.386,0.845
layer4.0.conv3,0.3,0.7,0.444,0.833,0.405,0.837,0.444,0.833,0.377,0.834,0.444,0.833,12,12,1,1,0.397,0.863,0.625,1,0.397,0.874,0.37,1,0.386,0.795
layer4.0.conv3,0.2,0.8,0.444,0.833,0.405,0.837,0.444,0.833,0.377,0.834,0.444,0.833,12,12,1,1,0.397,0.796,0.625,1,0.397,0.863,0.37,1,0.386,0.779
layer4.1.conv1,0.5,0.5,0.444,0.667,0.405,0.708,0.444,0.667,0.377,0.665,0.444,0.667,12,12,0.812,0.979,0.397,0.814,0.354,0.896,0.397,0.947,0.609,1,0.386,0.814
layer4.1.conv1,0.4,0.6,0.444,0.611,0.405,0.61,0.444,0.611,0.377,0.608,0.444,0.611,12,12,0.812,0.917,0.397,0.73,0.354,0.938,0.397,0.853,0.609,0.283,0.386,0.864
layer4.1.conv1,0.3,0.7,0.444,0.639,0.405,0.683,0.444,0.639,0.377,0.632,0.444,0.639,12,12,0.812,1,0.397,0.854,0.354,1,0.397,0.977,0.609,0.261,0.386,0.756
layer4.1.conv1,0.2,0.8,0.444,0.639,0.405,0.659,0.444,0.639,0.377,0.645,0.444,0.639,12,12,0.812,0.896,0.397,0.689,0.354,0.979,0.397,0.863,0.609,0.217,0.386,0.712
layer4.1.conv2,0.5,0.5,0.444,0.75,0.405,0.772,0.444,0.75,0.377,0.739,0.444,0.75,12,12,0.938,1,0.397,0.86,0.312,0.125,0.397,0.808,0.761,0.043,0.386,0.673
layer4.1.conv2,0.4,0.6,0.444,0.778,0.405,0.776,0.444,0.778,0.377,0.771,0.444,0.778,12,12,0.938,1,0.397,0.783,0.312,0.667,0.397,0.81,0.761,0.435,0.386,0.795
layer4.1.conv2,0.3,0.7,0.444,0.778,0.405,0.789,0.444,0.778,0.377,0.776,0.444,0.778,12,12,0.938,1,0.397,0.982,0.312,0.979,0.397,0.835,0.761,0.848,0.386,0.736
layer4.1.conv2,0.2,0.8,0.444,0.778,0.405,0.795,0.444,0.778,0.377,0.771,0.444,0.778,12,12,0.938,1,0.397,0.812,0.312,0.896,0.397,0.834,0.761,0.326,0.386,0.806
layer4.1.conv3,0.5,0.5,0.444,0.75,0.405,0.77,0.444,0.75,0.377,0.755,0.444,0.75,12,12,0.896,1,0.397,0.844,0.938,1,0.397,0.789,0.543,1,0.386,0.87
layer4.1.conv3,0.4,0.6,0.444,0.722,0.405,0.757,0.444,0.722,0.377,0.725,0.444,0.722,12,12,0.896,1,0.397,0.863,0.938,1,0.397,0.96,0.543,1,0.386,0.837
layer4.1.conv3,0.3,0.7,0.444,0.778,0.405,0.792,0.444,0.778,0.377,0.781,0.444,0.778,12,12,0.896,1,0.397,0.824,0.938,1,0.397,0.806,0.543,1,0.386,0.791
layer4.1.conv3,0.2,0.8,0.444,0.75,0.405,0.773,0.444,0.75,0.377,0.756,0.444,0.75,12,12,0.896,1,0.397,0.863,0.938,1,0.397,0.832,0.543,0.978,0.386,0.73
layer4.2.conv1,0.5,0.5,0.444,0.667,0.405,0.667,0.444,0.667,0.377,0.666,0.444,0.667,12,12,1,1,0.397,0.864,0.667,1,0.397,0.922,0.478,1,0.386,0.915
