Layer Name,Lambda Classification,Lambda Alignment,Accuracy Before,Accuracy After,Precision Before,Precision After,Recall Before,Recall After,F1 Before,F1 After,Legacy Accuracy Before,Legacy Accuracy After,Class count  Before,Class count After,TCAV Before (001.Black_footed_Albatross),TCAV After (001.Black_footed_Albatross),Avg Conf 001.Black_footed_Albatross Before,Avg Conf 001.Black_footed_Albatross After,TCAV Before (002.Laysan_Albatross),TCAV After (002.Laysan_Albatross),Avg Conf 002.Laysan_Albatross Before,Avg Conf 002.Laysan_Albatross After,TCAV Before (003.Sooty_Albatross),TCAV After (003.Sooty_Albatross),Avg Conf 003.Sooty_Albatross Before,Avg Conf 003.Sooty_Albatross After
features.7,0.5,0.5,0.806,0.833,0.815,0.833,0.806,0.833,0.802,0.832,0.806,0.833,12,12,0.562,0.625,0.536,0.766,0.125,0.625,0.762,0.847,0.652,0.696,0.593,0.794
features.7,0.4,0.6,0.806,0.833,0.815,0.863,0.806,0.833,0.802,0.825,0.806,0.833,12,12,0.562,0.792,0.536,0.726,0.125,0.625,0.762,0.841,0.652,0.761,0.593,0.722
features.7,0.3,0.7,0.806,0.778,0.815,0.796,0.806,0.778,0.802,0.774,0.806,0.778,12,12,0.562,0.875,0.536,0.708,0.125,0.708,0.762,0.809,0.652,0.783,0.593,0.702
features.7,0.2,0.8,0.806,0.722,0.815,0.726,0.806,0.722,0.802,0.718,0.806,0.722,12,12,0.562,0.896,0.536,0.69,0.125,0.854,0.762,0.802,0.652,0.587,0.593,0.617
features.19,0.5,0.5,0.806,0.861,0.815,0.878,0.806,0.861,0.802,0.863,0.806,0.861,12,12,0.604,0.979,0.536,0.892,0.542,0.917,0.762,0.964,0.63,0.696,0.593,0.873
features.19,0.4,0.6,0.806,0.806,0.815,0.833,0.806,0.806,0.802,0.805,0.806,0.806,12,12,0.604,0.979,0.536,0.987,0.542,0.812,0.762,0.909,0.63,0.891,0.593,0.88
features.19,0.3,0.7,0.806,0.833,0.815,0.852,0.806,0.833,0.802,0.834,0.806,0.833,12,12,0.604,1.0,0.536,0.95,0.542,0.771,0.762,0.904,0.63,0.935,0.593,0.938
features.19,0.2,0.8,0.806,0.833,0.815,0.852,0.806,0.833,0.802,0.834,0.806,0.833,12,12,0.604,0.896,0.536,0.95,0.542,0.771,0.762,0.884,0.63,0.739,0.593,0.902
features.21,0.5,0.5,0.806,0.806,0.815,0.816,0.806,0.806,0.802,0.807,0.806,0.806,12,12,0.604,0.938,0.536,0.894,0.625,0.958,0.762,0.938,0.783,0.739,0.593,0.898
features.21,0.4,0.6,0.806,0.861,0.815,0.902,0.806,0.861,0.802,0.861,0.806,0.861,12,12,0.604,1.0,0.536,0.961,0.625,0.938,0.762,0.925,0.783,0.804,0.593,0.849
