Precision,Recall,F1-Score,Support,Class_Name,Class_ID,Pred_0,Pred_1,Pred_2,model,patching_option,mode,src_class,concept_class,concept
0.9587,0.956,0.9573,704.0,deer,0,673,12,19,resnet50,patched_in,train,zebra,deer,face
0.9687,0.9673,0.968,704.0,horse,1,11,681,12,resnet50,patched_in,train,zebra,deer,face
0.9392,0.9448,0.942,507.0,zebra,2,18,10,479,resnet50,patched_in,train,zebra,deer,face
0.9673,0.9499,0.9585,499.0,deer,0,474,11,14,resnet50,patched_in,train,deer,horse,legs
0.9756,0.9673,0.9715,704.0,horse,1,11,681,12,resnet50,patched_in,train,deer,horse,legs
0.9638,0.9844,0.974,704.0,zebra,2,5,6,693,resnet50,patched_in,train,deer,horse,legs
0.9677,0.9599,0.9638,499.0,deer,0,479,8,12,resnet50,patched_in,train,deer,zebra,background
0.9799,0.9673,0.9736,704.0,horse,1,11,681,12,resnet50,patched_in,train,deer,zebra,background
0.9665,0.9844,0.9754,704.0,zebra,2,5,6,693,resnet50,patched_in,train,deer,zebra,background
0.9926,0.956,0.974,704.0,deer,0,673,12,19,resnet50,patched_in,train,horse,horse,coat
0.0,0.0,0.0,0.0,horse,1,0,0,0,resnet50,patched_in,train,horse,horse,coat
0.9733,0.9844,0.9788,704.0,zebra,2,5,6,693,resnet50,patched_in,train,horse,horse,coat
0.9479,0.956,0.9519,704.0,deer,0,673,12,19,resnet50,patched_in,train,zebra,deer,coat
0.9701,0.9673,0.9687,704.0,horse,1,11,681,12,resnet50,patched_in,train,zebra,deer,coat
0.9384,0.931,0.9347,507.0,zebra,2,26,9,472,resnet50,patched_in,train,zebra,deer,coat
0.974,0.956,0.9649,704.0,deer,0,673,12,19,resnet50,patched_in,train,zebra,horse,face
0.9646,0.9673,0.966,704.0,horse,1,11,681,12,resnet50,patched_in,train,zebra,horse,face
0.9402,0.9606,0.9502,507.0,zebra,2,7,13,487,resnet50,patched_in,train,zebra,horse,face
0.9926,0.956,0.974,704.0,deer,0,673,12,19,resnet50,patched_in,train,horse,horse,legs
0.0,0.0,0.0,0.0,horse,1,0,0,0,resnet50,patched_in,train,horse,horse,legs
0.9733,0.9844,0.9788,704.0,zebra,2,5,6,693,resnet50,patched_in,train,horse,horse,legs
0.9711,0.956,0.9635,704.0,deer,0,673,12,19,resnet50,patched_in,train,horse,zebra,legs
0.971,0.9495,0.9601,634.0,horse,1,15,602,17,resnet50,patched_in,train,horse,zebra,legs
0.9506,0.9844,0.9672,704.0,zebra,2,5,6,693,resnet50,patched_in,train,horse,zebra,legs
0.9926,0.956,0.974,704.0,deer,0,673,12,19,resnet50,patched_in,train,horse,horse,background
0.0,0.0,0.0,0.0,horse,1,0,0,0,resnet50,patched_in,train,horse,horse,background
0.9733,0.9844,0.9788,704.0,zebra,2,5,6,693,resnet50,patched_in,train,horse,horse,background
0.9628,0.956,0.9594,704.0,deer,0,673,12,19,resnet50,patched_in,train,horse,deer,legs
0.971,0.9511,0.961,634.0,horse,1,21,603,10,resnet50,patched_in,train,horse,deer,legs
0.9598,0.9844,0.9719,704.0,zebra,2,5,6,693,resnet50,patched_in,train,horse,deer,legs
0.9667,0.9299,0.9479,499.0,deer,0,464,10,25,resnet50,patched_in,train,deer,zebra,face
0.977,0.9673,0.9722,704.0,horse,1,11,681,12,resnet50,patched_in,train,deer,zebra,face
0.9493,0.9844,0.9665,704.0,zebra,2,5,6,693,resnet50,patched_in,train,deer,zebra,face
0.9672,0.9459,0.9564,499.0,deer,0,472,12,15,resnet50,patched_in,train,deer,horse,background
0.9742,0.9673,0.9708,704.0,horse,1,11,681,12,resnet50,patched_in,train,deer,horse,background
0.9625,0.9844,0.9733,704.0,zebra,2,5,6,693,resnet50,patched_in,train,deer,horse,background
0.9697,0.956,0.9628,704.0,deer,0,673,12,19,resnet50,patched_in,train,horse,zebra,background
0.9711,0.9543,0.9626,634.0,horse,1,16,605,13,resnet50,patched_in,train,horse,zebra,background
0.9559,0.9844,0.9699,704.0,zebra,2,5,6,693,resnet50,patched_in,train,horse,zebra,background
0.9697,0.956,0.9628,704.0,deer,0,673,12,19,resnet50,patched_in,train,horse,deer,background
0.9712,0.9574,0.9643,634.0,horse,1,16,607,11,resnet50,patched_in,train,horse,deer,background
0.9585,0.9844,0.9713,704.0,zebra,2,5,6,693,resnet50,patched_in,train,horse,deer,background
0.9711,0.956,0.9635,704.0,deer,0,673,12,19,resnet50,patched_in,train,zebra,deer,legs
0.9687,0.9673,0.968,704.0,horse,1,11,681,12,resnet50,patched_in,train,zebra,deer,legs
0.9403,0.9625,0.9513,507.0,zebra,2,9,10,488,resnet50,patched_in,train,zebra,deer,legs
0.9677,0.9599,0.9638,499.0,deer,0,479,8,12,resnet50,patched_in,train,deer,horse,face
0.9799,0.9673,0.9736,704.0,horse,1,11,681,12,resnet50,patched_in,train,deer,horse,face
0.9665,0.9844,0.9754,704.0,zebra,2,5,6,693,resnet50,patched_in,train,deer,horse,face
0.9926,0.956,0.974,704.0,deer,0,673,12,19,resnet50,patched_in,train,horse,horse,face
0.0,0.0,0.0,0.0,horse,1,0,0,0,resnet50,patched_in,train,horse,horse,face
0.9733,0.9844,0.9788,704.0,zebra,2,5,6,693,resnet50,patched_in,train,horse,horse,face
0.9796,0.956,0.9676,704.0,deer,0,673,12,19,resnet50,patched_in,train,zebra,horse,background
0.9715,0.9673,0.9694,704.0,horse,1,11,681,12,resnet50,patched_in,train,zebra,horse,background
0.9412,0.9783,0.9594,507.0,zebra,2,3,8,496,resnet50,patched_in,train,zebra,horse,background
0.9754,0.956,0.9656,704.0,deer,0,673,12,19,resnet50,patched_in,train,horse,zebra,face
0.9704,0.9306,0.9501,634.0,horse,1,12,590,32,resnet50,patched_in,train,horse,zebra,face
0.9315,0.9844,0.9572,704.0,zebra,2,5,6,693,resnet50,patched_in,train,horse,zebra,face
0.9725,0.956,0.9642,704.0,deer,0,673,12,19,resnet50,patched_in,train,zebra,deer,background
0.9701,0.9673,0.9687,704.0,horse,1,11,681,12,resnet50,patched_in,train,zebra,deer,background
0.9405,0.9665,0.9533,507.0,zebra,2,8,9,490,resnet50,patched_in,train,zebra,deer,background
0.9657,0.9038,0.9337,499.0,deer,0,451,8,40,resnet50,patched_in,train,deer,zebra,coat
0.9799,0.9673,0.9736,704.0,horse,1,11,681,12,resnet50,patched_in,train,deer,zebra,coat
0.9302,0.9844,0.9565,704.0,zebra,2,5,6,693,resnet50,patched_in,train,deer,zebra,coat
0.9675,0.9559,0.9617,499.0,deer,0,477,9,13,resnet50,patched_in,train,deer,horse,coat
0.9784,0.9673,0.9729,704.0,horse,1,11,681,12,resnet50,patched_in,train,deer,horse,coat
0.9652,0.9844,0.9747,704.0,zebra,2,5,6,693,resnet50,patched_in,train,deer,horse,coat
0.9674,0.9519,0.9596,499.0,deer,0,475,7,17,resnet50,patched_in,train,deer,zebra,legs
0.9813,0.9673,0.9742,704.0,horse,1,11,681,12,resnet50,patched_in,train,deer,zebra,legs
0.9598,0.9844,0.9719,704.0,zebra,2,5,6,693,resnet50,patched_in,train,deer,zebra,legs
0.981,0.956,0.9683,704.0,deer,0,673,12,19,resnet50,patched_in,train,horse,zebra,coat
0.9707,0.9401,0.9551,634.0,horse,1,8,596,30,resnet50,patched_in,train,horse,zebra,coat
0.934,0.9844,0.9585,704.0,zebra,2,5,6,693,resnet50,patched_in,train,horse,zebra,coat
0.9782,0.956,0.967,704.0,deer,0,673,12,19,resnet50,patched_in,train,zebra,horse,legs
0.9701,0.9673,0.9687,704.0,horse,1,11,681,12,resnet50,patched_in,train,zebra,horse,legs
0.941,0.9744,0.9574,507.0,zebra,2,4,9,494,resnet50,patched_in,train,zebra,horse,legs
0.956,0.956,0.956,704.0,deer,0,673,12,19,resnet50,patched_in,train,horse,deer,coat
0.971,0.9495,0.9601,634.0,horse,1,26,602,6,resnet50,patched_in,train,horse,deer,coat
0.9652,0.9844,0.9747,704.0,zebra,2,5,6,693,resnet50,patched_in,train,horse,deer,coat
0.9533,0.956,0.9546,704.0,deer,0,673,12,19,resnet50,patched_in,train,horse,deer,face
0.9708,0.9432,0.9568,634.0,horse,1,28,598,8,resnet50,patched_in,train,horse,deer,face
0.9625,0.9844,0.9733,704.0,zebra,2,5,6,693,resnet50,patched_in,train,horse,deer,face
0.9782,0.956,0.967,704.0,deer,0,673,12,19,resnet50,patched_in,train,zebra,horse,coat
0.9646,0.9673,0.966,704.0,horse,1,11,681,12,resnet50,patched_in,train,zebra,horse,coat
0.9405,0.9665,0.9533,507.0,zebra,2,4,13,490,resnet50,patched_in,train,zebra,horse,coat
0.8895,0.9548,0.921,177.0,deer,0,169,1,7,resnet50,patched_in,valid,horse,zebra,background
0.9713,0.9144,0.942,222.0,horse,1,14,203,5,resnet50,patched_in,valid,horse,zebra,background
0.9707,0.9707,0.9707,409.0,zebra,2,7,5,397,resnet50,patched_in,valid,horse,zebra,background
0.8929,0.969,0.9294,129.0,deer,0,125,0,4,resnet50,patched_in,valid,deer,zebra,background
0.9792,0.9553,0.9671,246.0,horse,1,8,235,3,resnet50,patched_in,valid,deer,zebra,background
0.9827,0.9707,0.9766,409.0,zebra,2,7,5,397,resnet50,patched_in,valid,deer,zebra,background
0.9286,0.9548,0.9415,177.0,deer,0,169,1,7,resnet50,patched_in,valid,zebra,horse,legs
0.9833,0.9553,0.9691,246.0,horse,1,8,235,3,resnet50,patched_in,valid,zebra,horse,legs
0.9652,0.9719,0.9685,285.0,zebra,2,5,3,277,resnet50,patched_in,valid,zebra,horse,legs
0.8889,0.9302,0.9091,129.0,deer,0,120,1,8,resnet50,patched_in,valid,deer,zebra,face
0.9751,0.9553,0.9651,246.0,horse,1,8,235,3,resnet50,patched_in,valid,deer,zebra,face
0.973,0.9707,0.9718,409.0,zebra,2,7,5,397,resnet50,patched_in,valid,deer,zebra,face
0.8913,0.9535,0.9213,129.0,deer,0,123,0,6,resnet50,patched_in,valid,deer,horse,background
0.9792,0.9553,0.9671,246.0,horse,1,8,235,3,resnet50,patched_in,valid,deer,horse,background
0.9778,0.9707,0.9742,409.0,zebra,2,7,5,397,resnet50,patched_in,valid,deer,horse,background
0.9086,0.9548,0.9311,177.0,deer,0,169,1,7,resnet50,patched_in,valid,horse,zebra,face
0.9706,0.8919,0.9296,222.0,horse,1,10,198,14,resnet50,patched_in,valid,horse,zebra,face
0.9498,0.9707,0.9601,409.0,zebra,2,7,5,397,resnet50,patched_in,valid,horse,zebra,face
0.8872,0.9147,0.9008,129.0,deer,0,118,0,11,resnet50,patched_in,valid,deer,zebra,coat
0.9792,0.9553,0.9671,246.0,horse,1,8,235,3,resnet50,patched_in,valid,deer,zebra,coat
0.9659,0.9707,0.9683,409.0,zebra,2,7,5,397,resnet50,patched_in,valid,deer,zebra,coat
0.8942,0.9548,0.9235,177.0,deer,0,169,1,7,resnet50,patched_in,valid,horse,zebra,legs
0.9707,0.8964,0.9321,222.0,horse,1,13,199,10,resnet50,patched_in,valid,horse,zebra,legs
0.9589,0.9707,0.9648,409.0,zebra,2,7,5,397,resnet50,patched_in,valid,horse,zebra,legs
0.8895,0.9548,0.921,177.0,deer,0,169,1,7,resnet50,patched_in,valid,zebra,deer,legs
0.9751,0.9553,0.9651,246.0,horse,1,8,235,3,resnet50,patched_in,valid,zebra,deer,legs
0.9639,0.9368,0.9502,285.0,zebra,2,13,5,267,resnet50,patched_in,valid,zebra,deer,legs
0.8942,0.9548,0.9235,177.0,deer,0,169,1,7,resnet50,patched_in,valid,horse,deer,background
0.9717,0.9279,0.9493,222.0,horse,1,13,206,3,resnet50,patched_in,valid,horse,deer,background
0.9754,0.9707,0.973,409.0,zebra,2,7,5,397,resnet50,patched_in,valid,horse,deer,background
0.8756,0.9548,0.9135,177.0,deer,0,169,1,7,resnet50,patched_in,valid,zebra,deer,face
0.9833,0.9553,0.9691,246.0,horse,1,8,235,3,resnet50,patched_in,valid,zebra,deer,face
0.9638,0.9333,0.9483,285.0,zebra,2,16,3,266,resnet50,patched_in,valid,zebra,deer,face
0.8905,0.9457,0.9173,129.0,deer,0,122,1,6,resnet50,patched_in,valid,deer,horse,coat
0.9751,0.9553,0.9651,246.0,horse,1,8,235,3,resnet50,patched_in,valid,deer,horse,coat
0.9778,0.9707,0.9742,409.0,zebra,2,7,5,397,resnet50,patched_in,valid,deer,horse,coat
0.8921,0.9612,0.9254,129.0,deer,0,124,2,3,resnet50,patched_in,valid,deer,horse,face
0.9711,0.9553,0.9631,246.0,horse,1,8,235,3,resnet50,patched_in,valid,deer,horse,face
0.9851,0.9707,0.9778,409.0,zebra,2,7,5,397,resnet50,patched_in,valid,deer,horse,face
0.9037,0.9548,0.9286,177.0,deer,0,169,1,7,resnet50,patched_in,valid,horse,zebra,coat
0.9698,0.8694,0.9169,222.0,horse,1,11,193,18,resnet50,patched_in,valid,horse,zebra,coat
0.9408,0.9707,0.9555,409.0,zebra,2,7,5,397,resnet50,patched_in,valid,horse,zebra,coat
0.8895,0.9548,0.921,177.0,deer,0,169,1,7,resnet50,patched_in,valid,horse,deer,coat
0.9716,0.9234,0.9469,222.0,horse,1,14,205,3,resnet50,patched_in,valid,horse,deer,coat
0.9754,0.9707,0.973,409.0,zebra,2,7,5,397,resnet50,patched_in,valid,horse,deer,coat
0.9286,0.9548,0.9415,177.0,deer,0,169,1,7,resnet50,patched_in,valid,zebra,horse,coat
0.9792,0.9553,0.9671,246.0,horse,1,8,235,3,resnet50,patched_in,valid,zebra,horse,coat
0.965,0.9684,0.9667,285.0,zebra,2,5,4,276,resnet50,patched_in,valid,zebra,horse,coat
0.8942,0.9548,0.9235,177.0,deer,0,169,1,7,resnet50,patched_in,valid,horse,deer,legs
0.9717,0.9279,0.9493,222.0,horse,1,13,206,3,resnet50,patched_in,valid,horse,deer,legs
