Precision,Recall,F1-Score,Support,Class_Name,Class_ID,Pred_0,Pred_1,Pred_2,model,patching_option,mode,src_class,concept_class,concept
0.667,0.956,0.7858,704.0,deer,0,673,12,19.0,resnet50,patched_out,train,zebra,deer,face
0.9687,0.9673,0.968,704.0,horse,1,11,681,12.0,resnet50,patched_out,train,zebra,deer,face
0.8473,0.3393,0.4845,507.0,zebra,2,325,10,172.0,resnet50,patched_out,train,zebra,deer,face
0.9611,0.7916,0.8681,499.0,deer,0,395,103,1.0,resnet50,patched_out,train,deer,horse,legs
0.862,0.9673,0.9116,704.0,horse,1,11,681,12.0,resnet50,patched_out,train,deer,horse,legs
0.9816,0.9844,0.983,704.0,zebra,2,5,6,693.0,resnet50,patched_out,train,deer,horse,legs
0.9641,0.8617,0.9101,499.0,deer,0,430,30,39.0,resnet50,patched_out,train,deer,zebra,background
0.9498,0.9673,0.9585,704.0,horse,1,11,681,12.0,resnet50,patched_out,train,deer,zebra,background
0.9315,0.9844,0.9572,704.0,zebra,2,5,6,693.0,resnet50,patched_out,train,deer,zebra,background
0.9656,0.956,0.9607,704.0,deer,0,673,12,19.0,resnet50,patched_out,train,zebra,deer,coat
0.9784,0.9673,0.9729,704.0,horse,1,11,681,12.0,resnet50,patched_out,train,zebra,deer,coat
0.4561,0.619,0.5253,42.0,zebra,2,13,3,26.0,resnet50,patched_out,train,zebra,deer,coat
0.8684,0.956,0.9101,704.0,deer,0,673,12,19.0,resnet50,patched_out,train,zebra,horse,face
0.7919,0.9673,0.8708,704.0,horse,1,11,681,12.0,resnet50,patched_out,train,zebra,horse,face
0.8893,0.4911,0.6328,507.0,zebra,2,91,167,249.0,resnet50,patched_out,train,zebra,horse,face
0.9181,0.956,0.9367,704.0,deer,0,673,12,19.0,resnet50,patched_out,train,horse,zebra,legs
0.9685,0.8738,0.9187,634.0,horse,1,55,554,25.0,resnet50,patched_out,train,horse,zebra,legs
0.9403,0.9844,0.9618,704.0,zebra,2,5,6,693.0,resnet50,patched_out,train,horse,zebra,legs
0.789,0.956,0.8645,704.0,deer,0,673,12,19.0,resnet50,patched_out,train,horse,deer,legs
0.9619,0.7177,0.822,634.0,horse,1,175,455,4.0,resnet50,patched_out,train,horse,deer,legs
0.9679,0.9844,0.9761,704.0,zebra,2,5,6,693.0,resnet50,patched_out,train,horse,deer,legs
