Layer Name,Lambda Classification,Lambda Alignment,Accuracy Before,Accuracy After,Precision Before,Precision After,Recall Before,Recall After,F1 Before,F1 After,Legacy Accuracy Before,Legacy Accuracy After,Class count  Before,Class count After,TCAV Before (deer),TCAV After (deer),Avg Conf deer Before,Avg Conf deer After,TCAV Before (horse),TCAV After (horse),Avg Conf horse Before,Avg Conf horse After,TCAV Before (zebra),TCAV After (zebra),Avg Conf zebra Before,Avg Conf zebra After
features.11.block.2.fc1,0.5,0.5,0.864,0.922,0.867,0.915,0.84,0.905,0.835,0.906,0.864,0.922,409,409,0.763,0.558,0.69,0.728,0.456,0.545,0.58,0.654,0.402,0.48,0.89,0.913
features.11.block.2.fc1,0.4,0.6,0.864,0.91,0.867,0.904,0.84,0.889,0.835,0.892,0.864,0.91,409,409,0.763,0.571,0.69,0.721,0.456,0.55,0.58,0.63,0.402,0.47,0.89,0.907
features.11.block.2.fc2,0.5,0.5,0.864,0.938,0.867,0.933,0.84,0.92,0.835,0.925,0.864,0.938,409,409,0.686,0.723,0.69,0.756,0.707,0.882,0.58,0.757,0.306,0.642,0.89,0.922
features.11.block.2.fc2,0.4,0.6,0.864,0.916,0.867,0.911,0.84,0.895,0.835,0.901,0.864,0.916,409,409,0.686,0.697,0.69,0.708,0.707,0.886,0.58,0.677,0.306,0.695,0.89,0.904
features.12.block.2.fc1,0.5,0.5,0.864,0.945,0.867,0.936,0.84,0.936,0.835,0.934,0.864,0.945,409,409,0.589,0.547,0.69,0.77,0.634,0.711,0.58,0.681,0.4,0.551,0.89,0.929
features.12.block.2.fc1,0.4,0.6,0.864,0.938,0.867,0.929,0.84,0.927,0.835,0.925,0.864,0.938,409,409,0.589,0.504,0.69,0.751,0.634,0.723,0.58,0.639,0.4,0.551,0.89,0.923
features.12.block.2.fc2,0.5,0.5,0.864,0.944,0.867,0.931,0.84,0.934,0.835,0.932,0.864,0.944,409,409,0.543,0.83,0.69,0.782,0.574,0.85,0.58,0.828,0.415,0.803,0.89,0.9
features.12.block.2.fc2,0.4,0.6,0.864,0.938,0.867,0.926,0.84,0.929,0.835,0.926,0.864,0.938,409,409,0.543,0.797,0.69,0.711,0.574,0.783,0.58,0.755,0.415,0.81,0.89,0.866
features.13.block.2.fc1,0.5,0.5,0.864,0.983,0.867,0.977,0.84,0.983,0.835,0.98,0.864,0.983,409,409,0.449,0.612,0.69,0.856,0.671,0.712,0.58,0.837,0.446,0.819,0.89,0.953
features.13.block.2.fc1,0.4,0.6,0.864,0.978,0.867,0.971,0.84,0.977,0.835,0.974,0.864,0.978,409,409,0.449,0.537,0.69,0.831,0.671,0.625,0.58,0.799,0.446,0.792,0.89,0.944
features.13.block.2.fc2,0.5,0.5,0.864,0.966,0.867,0.958,0.84,0.959,0.835,0.959,0.864,0.966,409,409,0.384,0.845,0.69,0.868,0.582,0.805,0.58,0.908,0.24,0.388,0.89,0.964
features.13.block.2.fc2,0.4,0.6,0.864,0.965,0.867,0.957,0.84,0.957,0.835,0.957,0.864,0.965,409,409,0.384,0.835,0.69,0.846,0.582,0.768,0.58,0.899,0.24,0.373,0.89,0.958
features.14.block.2.fc1,0.5,0.5,0.864,0.976,0.867,0.97,0.84,0.975,0.835,0.972,0.864,0.976,409,409,0.46,0.777,0.69,0.823,0.534,0.809,0.58,0.837,0.333,0.904,0.89,0.946
features.14.block.2.fc1,0.4,0.6,0.864,0.971,0.867,0.964,0.84,0.969,0.835,0.966,0.864,0.971,409,409,0.46,0.764,0.69,0.807,0.534,0.793,0.58,0.795,0.333,0.878,0.89,0.936
