Layer Name,Lambda Classification,Lambda Alignment,Accuracy Before,Accuracy After,Precision Before,Precision After,Recall Before,Recall After,F1 Before,F1 After,Legacy Accuracy Before,Legacy Accuracy After,Class count  Before,Class count After,TCAV Before (deer),TCAV After (deer),Avg Conf deer Before,Avg Conf deer After,TCAV Before (horse),TCAV After (horse),Avg Conf horse Before,Avg Conf horse After,TCAV Before (zebra),TCAV After (zebra),Avg Conf zebra Before,Avg Conf zebra After
features.5,1.0,0.0,0.996,0.995,0.996,0.996,0.995,0.993,0.996,0.994,0.996,0.995,409,409,0.901,0.888,0.942,0.996,0.964,0.967,0.959,0.997,0.248,0.408,0.991,0.999
features.5,0.9,0.1,0.996,0.995,0.996,0.996,0.995,0.994,0.996,0.995,0.996,0.995,409,409,0.901,0.908,0.942,0.978,0.964,0.982,0.959,0.975,0.248,0.585,0.991,0.995
features.5,0.8,0.2,0.996,0.993,0.996,0.992,0.995,0.991,0.996,0.992,0.996,0.993,409,409,0.901,0.885,0.942,0.966,0.964,0.975,0.959,0.981,0.248,0.544,0.991,0.993
features.5,0.7,0.3,0.996,0.994,0.996,0.994,0.995,0.992,0.996,0.993,0.996,0.994,409,409,0.901,0.849,0.942,0.954,0.964,0.981,0.959,0.97,0.248,0.549,0.991,0.991
features.5,0.6,0.4,0.996,0.988,0.996,0.984,0.995,0.986,0.996,0.985,0.996,0.988,409,409,0.901,0.818,0.942,0.942,0.964,0.97,0.959,0.967,0.248,0.525,0.991,0.99
features.5,0.5,0.5,0.996,0.989,0.996,0.986,0.995,0.987,0.996,0.987,0.996,0.989,409,409,0.901,0.803,0.942,0.94,0.964,0.964,0.959,0.939,0.248,0.743,0.991,0.985
features.5,0.4,0.6,0.996,0.989,0.996,0.986,0.995,0.987,0.996,0.987,0.996,0.989,409,409,0.901,0.768,0.942,0.924,0.964,0.936,0.959,0.934,0.248,0.452,0.991,0.984
features.5,0.3,0.7,0.996,0.983,0.996,0.981,0.995,0.977,0.996,0.979,0.996,0.983,409,409,0.901,0.777,0.942,0.895,0.964,0.933,0.959,0.909,0.248,0.655,0.991,0.977
features.5,0.2,0.8,0.996,0.976,0.996,0.968,0.995,0.973,0.996,0.97,0.996,0.976,409,409,0.901,0.808,0.942,0.84,0.964,0.937,0.959,0.861,0.248,0.738,0.991,0.969
features.5,0.1,0.9,0.996,0.953,0.996,0.945,0.995,0.943,0.996,0.944,0.996,0.953,409,409,0.901,0.834,0.942,0.673,0.964,0.921,0.959,0.719,0.248,0.862,0.991,0.913
features.5,0.0,1.0,0.996,0.444,0.996,0.262,0.995,0.342,0.996,0.284,0.996,0.444,409,409,0.901,0.605,0.942,0.397,0.964,0.312,0.959,0.0,0.248,0.051,0.991,0.42
features.7,1.0,0.0,0.996,0.996,0.996,0.995,0.995,0.996,0.996,0.995,0.996,0.996,409,409,0.95,0.776,0.942,0.994,0.846,0.745,0.959,0.998,0.348,0.228,0.991,0.999
features.7,0.9,0.1,0.996,0.993,0.996,0.992,0.995,0.991,0.996,0.992,0.996,0.993,409,409,0.95,0.969,0.942,0.979,0.846,0.982,0.959,0.993,0.348,0.781,0.991,0.995
features.7,0.8,0.2,0.996,0.992,0.996,0.99,0.995,0.99,0.996,0.99,0.996,0.992,409,409,0.95,0.955,0.942,0.979,0.846,0.973,0.959,0.988,0.348,0.71,0.991,0.995
features.7,0.7,0.3,0.996,0.987,0.996,0.986,0.995,0.982,0.996,0.984,0.996,0.987,409,409,0.95,0.966,0.942,0.972,0.846,0.97,0.959,0.988,0.348,0.741,0.991,0.993
features.7,0.6,0.4,0.996,0.99,0.996,0.989,0.995,0.988,0.996,0.989,0.996,0.99,409,409,0.95,0.881,0.942,0.948,0.846,0.985,0.959,0.985,0.348,0.751,0.991,0.993
features.7,0.5,0.5,0.996,0.987,0.996,0.985,0.995,0.984,0.996,0.984,0.996,0.987,409,409,0.95,0.911,0.942,0.946,0.846,0.991,0.959,0.982,0.348,0.827,0.991,0.992
features.7,0.4,0.6,0.996,0.976,0.996,0.978,0.995,0.965,0.996,0.971,0.996,0.976,409,409,0.95,0.956,0.942,0.91,0.846,0.992,0.959,0.97,0.348,0.853,0.991,0.988
features.7,0.3,0.7,0.996,0.98,0.996,0.973,0.995,0.98,0.996,0.976,0.996,0.98,409,409,0.95,0.95,0.942,0.925,0.846,0.983,0.959,0.936,0.348,0.841,0.991,0.984
features.7,0.2,0.8,0.996,0.978,0.996,0.97,0.995,0.978,0.996,0.974,0.996,0.978,409,409,0.95,0.851,0.942,0.866,0.846,0.972,0.959,0.944,0.348,0.694,0.991,0.976
features.7,0.1,0.9,0.996,0.954,0.996,0.944,0.995,0.953,0.996,0.948,0.996,0.954,409,409,0.95,0.899,0.942,0.786,0.846,0.913,0.959,0.858,0.348,0.719,0.991,0.948
