Image Path,Class Label,Class Name,Layer Name,Layer Type,Transfer Function,Output Shape,Mean Activation,Std Activation,Min Activation,Max Activation, Pos activations,Neg activations,Q1,Q2,Q3,Kernel Shape,Kernel Count,Predicted Class,Predicted Probability
/mnt/sdc/concepts/concepts_links/concept_150/deer/all/image_40_crop_0_Leg.jpg,0,all,Conv2d_1a_3x3.conv,Conv2d,Linear (before activation),"(1, 32, 111, 111)",-0.039375,0.294094,-1.330892,1.379379,154517,239755,-0.195727,-0.038269,0.080514,"(3, 3)",32,0,0.999940
/mnt/sdc/concepts/concepts_links/concept_150/deer/all/image_40_crop_0_Leg.jpg,0,all,Conv2d_2a_3x3.conv,Conv2d,Linear (before activation),"(1, 32, 109, 109)",-0.536249,1.951749,-24.414946,17.928236,143241,236951,-1.408946,-0.266519,0.577044,"(3, 3)",32,0,0.999940
/mnt/sdc/concepts/concepts_links/concept_150/deer/all/image_40_crop_0_Leg.jpg,0,all,Conv2d_2b_3x3.conv,Conv2d,Linear (before activation),"(1, 64, 109, 109)",-1.182982,1.651946,-15.252058,9.286864,160288,600096,-2.163584,-0.978417,-0.152088,"(3, 3)",64,0,0.999940
/mnt/sdc/concepts/concepts_links/concept_150/deer/all/image_40_crop_0_Leg.jpg,0,all,maxpool1,MaxPool2d,MaxPool,"(1, 64, 54, 54)",1.200561,1.013237,0.000000,7.968663,162503,24121,0.449998,0.975644,1.778809,N/A,N/A,0,0.999940
/mnt/sdc/concepts/concepts_links/concept_150/deer/all/image_40_crop_0_Leg.jpg,0,all,Conv2d_3b_1x1.conv,Conv2d,Linear (before activation),"(1, 80, 54, 54)",-0.770957,1.829956,-11.548857,11.524149,61475,171805,-1.702110,-0.819461,0.057512,"(1, 1)",80,0,0.999940
/mnt/sdc/concepts/concepts_links/concept_150/deer/all/image_40_crop_0_Leg.jpg,0,all,Conv2d_4a_3x3.conv,Conv2d,Linear (before activation),"(1, 192, 52, 52)",-0.381411,2.261173,-13.568560,24.988134,194299,324869,-1.283926,-0.401431,0.454295,"(3, 3)",192,0,0.999940
/mnt/sdc/concepts/concepts_links/concept_150/deer/all/image_40_crop_0_Leg.jpg,0,all,maxpool2,MaxPool2d,MaxPool,"(1, 192, 25, 25)",1.423136,1.148013,0.000000,7.752685,105607,14393,0.448713,1.234958,2.217383,N/A,N/A,0,0.999940
/mnt/sdc/concepts/concepts_links/concept_150/deer/all/image_40_crop_0_Leg.jpg,0,all,Mixed_5b.branch1x1.conv,Conv2d,Linear (before activation),"(1, 64, 25, 25)",0.481191,2.497006,-10.634608,12.180150,19546,20454,-1.057517,-0.050968,1.661148,"(1, 1)",64,0,0.999940
/mnt/sdc/concepts/concepts_links/concept_150/deer/all/image_40_crop_0_Leg.jpg,0,all,Mixed_5b.branch5x5_1.conv,Conv2d,Linear (before activation),"(1, 48, 25, 25)",-0.036222,1.342565,-5.234977,6.098827,13471,16529,-0.966249,-0.185843,0.945547,"(1, 1)",48,0,0.999940
/mnt/sdc/concepts/concepts_links/concept_150/deer/all/image_40_crop_0_Leg.jpg,0,all,Mixed_5b.branch5x5_2.conv,Conv2d,Linear (before activation),"(1, 64, 25, 25)",-0.707574,2.326672,-12.707458,7.482889,16410,23590,-1.893629,-0.451712,0.828174,"(5, 5)",64,0,0.999940
/mnt/sdc/concepts/concepts_links/concept_150/deer/all/image_40_crop_0_Leg.jpg,0,all,Mixed_5b.branch3x3dbl_1.conv,Conv2d,Linear (before activation),"(1, 64, 25, 25)",-0.291654,2.091524,-16.672016,8.480471,16663,23337,-1.355603,-0.349023,0.882010,"(1, 1)",64,0,0.999940
/mnt/sdc/concepts/concepts_links/concept_150/deer/all/image_40_crop_0_Leg.jpg,0,all,Mixed_5b.branch3x3dbl_2.conv,Conv2d,Linear (before activation),"(1, 96, 25, 25)",-0.426819,1.209251,-5.244611,4.047006,22398,37602,-1.267814,-0.410646,0.422654,"(3, 3)",96,0,0.999940
/mnt/sdc/concepts/concepts_links/concept_150/deer/all/image_40_crop_0_Leg.jpg,0,all,Mixed_5b.branch3x3dbl_3.conv,Conv2d,Linear (before activation),"(1, 96, 25, 25)",-0.318250,0.844607,-3.932239,3.759445,20012,39988,-0.817744,-0.312280,0.186779,"(3, 3)",96,0,0.999940
/mnt/sdc/concepts/concepts_links/concept_150/deer/all/image_40_crop_0_Leg.jpg,0,all,Mixed_5b.branch_pool.conv,Conv2d,Linear (before activation),"(1, 32, 25, 25)",-0.107432,1.330842,-3.070159,4.138043,7902,12098,-1.096246,-0.300823,0.544586,"(1, 1)",32,0,0.999940
/mnt/sdc/concepts/concepts_links/concept_150/deer/all/image_40_crop_0_Leg.jpg,0,all,Mixed_5c.branch1x1.conv,Conv2d,Linear (before activation),"(1, 64, 25, 25)",0.657322,2.370826,-7.135810,12.756614,23620,16380,-0.942498,0.461192,2.034573,"(1, 1)",64,0,0.999940
/mnt/sdc/concepts/concepts_links/concept_150/deer/all/image_40_crop_0_Leg.jpg,0,all,Mixed_5c.branch5x5_1.conv,Conv2d,Linear (before activation),"(1, 48, 25, 25)",-0.176306,1.279399,-5.944099,7.416804,12376,17624,-0.967247,-0.245041,0.553537,"(1, 1)",48,0,0.999940
/mnt/sdc/concepts/concepts_links/concept_150/deer/all/image_40_crop_0_Leg.jpg,0,all,Mixed_5c.branch5x5_2.conv,Conv2d,Linear (before activation),"(1, 64, 25, 25)",-0.766973,1.173893,-6.688374,3.690405,10135,29865,-1.436729,-0.687198,0.009121,"(5, 5)",64,0,0.999940
/mnt/sdc/concepts/concepts_links/concept_150/deer/all/image_40_crop_0_Leg.jpg,0,all,Mixed_5c.branch3x3dbl_1.conv,Conv2d,Linear (before activation),"(1, 64, 25, 25)",-0.284992,1.366760,-6.003273,7.511178,16000,24000,-1.131286,-0.309151,0.508301,"(1, 1)",64,0,0.999940
/mnt/sdc/concepts/concepts_links/concept_150/deer/all/image_40_crop_0_Leg.jpg,0,all,Mixed_5c.branch3x3dbl_2.conv,Conv2d,Linear (before activation),"(1, 96, 25, 25)",-0.543115,0.988107,-4.790942,4.128150,15231,44769,-1.105106,-0.543585,0.011786,"(3, 3)",96,0,0.999940
