Image Path,Class Label,Class Name,Layer Name,Layer Type,Transfer Function,Output Shape,Mean Activation,Std Activation,Min Activation,Max Activation, Pos activations,Neg activations,Q1,Q2,Q3,Kernel Shape,Kernel Count,Predicted Class,Predicted Probability
/mnt/sdc/concepts/concepts_links/concept_150/deer/all/image_40_crop_0_Leg.jpg,0,all,features.0.0,Conv2d,Linear (before activation),"(1, 16, 112, 112)",0.632619,2.659329,-31.198597,29.905088,109665,91039,-0.552525,0.120582,2.314555,"(3, 3)",16,0,0.985913
/mnt/sdc/concepts/concepts_links/concept_150/deer/all/image_40_crop_0_Leg.jpg,0,all,features.1.block.0.0,Conv2d,Linear (before activation),"(1, 16, 112, 112)",0.424303,2.770466,-16.190197,53.356369,120173,80531,-0.000000,0.000000,0.185968,"(3, 3)",16,0,0.985913
/mnt/sdc/concepts/concepts_links/concept_150/deer/all/image_40_crop_0_Leg.jpg,0,all,features.1.block.0.2,ReLU,"ReLU: max(0, x)","(1, 16, 112, 112)",0.311085,0.558881,0.000000,4.523557,82061,118643,0.000000,0.000000,0.344958,N/A,N/A,0,0.985913
/mnt/sdc/concepts/concepts_links/concept_150/deer/all/image_40_crop_0_Leg.jpg,0,all,features.1.block.1.0,Conv2d,Linear (before activation),"(1, 16, 112, 112)",0.373481,1.251378,-6.385211,9.266116,136125,64579,-0.227960,0.286672,1.136932,"(1, 1)",16,0,0.985913
/mnt/sdc/concepts/concepts_links/concept_150/deer/all/image_40_crop_0_Leg.jpg,0,all,features.2.block.0.0,Conv2d,Linear (before activation),"(1, 64, 112, 112)",-0.438959,3.728243,-25.632418,34.119427,412667,390149,-1.237446,0.000000,0.591846,"(1, 1)",64,0,0.985913
/mnt/sdc/concepts/concepts_links/concept_150/deer/all/image_40_crop_0_Leg.jpg,0,all,features.2.block.0.2,ReLU,"ReLU: max(0, x)","(1, 64, 112, 112)",0.325087,0.423009,0.000000,6.247720,527587,275229,0.000000,0.000000,0.605723,N/A,N/A,0,0.985913
/mnt/sdc/concepts/concepts_links/concept_150/deer/all/image_40_crop_0_Leg.jpg,0,all,features.2.block.1.0,Conv2d,Linear (before activation),"(1, 64, 56, 56)",0.080185,1.003805,-6.883362,7.553661,81452,119252,-0.000000,0.000000,0.110911,"(3, 3)",64,0,0.985913
/mnt/sdc/concepts/concepts_links/concept_150/deer/all/image_40_crop_0_Leg.jpg,0,all,features.2.block.1.2,ReLU,"ReLU: max(0, x)","(1, 64, 56, 56)",0.401767,0.647843,0.000000,4.527272,94846,105858,0.000000,0.000000,0.595112,N/A,N/A,0,0.985913
/mnt/sdc/concepts/concepts_links/concept_150/deer/all/image_40_crop_0_Leg.jpg,0,all,features.2.block.2.0,Conv2d,Linear (before activation),"(1, 24, 56, 56)",-0.892817,3.119585,-13.372652,11.531126,30765,44499,-3.468735,-0.785670,1.321750,"(1, 1)",24,0,0.985913
/mnt/sdc/concepts/concepts_links/concept_150/deer/all/image_40_crop_0_Leg.jpg,0,all,features.3.block.0.0,Conv2d,Linear (before activation),"(1, 72, 56, 56)",0.058412,0.914759,-9.821842,6.284342,120459,105333,-0.325808,0.000000,0.497630,"(1, 1)",72,0,0.985913
/mnt/sdc/concepts/concepts_links/concept_150/deer/all/image_40_crop_0_Leg.jpg,0,all,features.3.block.0.2,ReLU,"ReLU: max(0, x)","(1, 72, 56, 56)",0.237910,0.282491,0.000000,2.260281,157313,68479,0.000000,0.140143,0.410942,N/A,N/A,0,0.985913
/mnt/sdc/concepts/concepts_links/concept_150/deer/all/image_40_crop_0_Leg.jpg,0,all,features.3.block.1.0,Conv2d,Linear (before activation),"(1, 72, 56, 56)",-0.001971,0.281133,-2.669974,2.333885,103171,122621,-0.087338,0.000000,0.099545,"(3, 3)",72,0,0.985913
/mnt/sdc/concepts/concepts_links/concept_150/deer/all/image_40_crop_0_Leg.jpg,0,all,features.3.block.1.2,ReLU,"ReLU: max(0, x)","(1, 72, 56, 56)",0.328202,0.493005,0.000000,3.233025,119183,106609,0.000000,0.000115,0.519221,N/A,N/A,0,0.985913
/mnt/sdc/concepts/concepts_links/concept_150/deer/all/image_40_crop_0_Leg.jpg,0,all,features.3.block.2.0,Conv2d,Linear (before activation),"(1, 24, 56, 56)",-0.429939,1.522149,-6.192255,5.795216,29793,45471,-1.476157,-0.234376,0.331577,"(1, 1)",24,0,0.985913
/mnt/sdc/concepts/concepts_links/concept_150/deer/all/image_40_crop_0_Leg.jpg,0,all,features.4.block.0.0,Conv2d,Linear (before activation),"(1, 72, 56, 56)",-0.040830,2.108239,-19.435789,16.852247,102084,123708,-0.865478,-0.000000,0.558252,"(1, 1)",72,0,0.985913
/mnt/sdc/concepts/concepts_links/concept_150/deer/all/image_40_crop_0_Leg.jpg,0,all,features.4.block.0.2,ReLU,"ReLU: max(0, x)","(1, 72, 56, 56)",0.251669,0.386217,0.000000,3.506183,150098,75694,0.000000,0.000000,0.414715,N/A,N/A,0,0.985913
/mnt/sdc/concepts/concepts_links/concept_150/deer/all/image_40_crop_0_Leg.jpg,0,all,features.4.block.1.0,Conv2d,Linear (before activation),"(1, 72, 28, 28)",0.120466,1.329253,-4.929074,7.881805,25211,31237,-0.431260,0.000000,0.274936,"(5, 5)",72,0,0.985913
/mnt/sdc/concepts/concepts_links/concept_150/deer/all/image_40_crop_0_Leg.jpg,0,all,features.4.block.1.2,ReLU,"ReLU: max(0, x)","(1, 72, 28, 28)",0.654209,0.766176,0.000000,2.950787,38076,18372,0.000000,0.349434,1.171744,N/A,N/A,0,0.985913
/mnt/sdc/concepts/concepts_links/concept_150/deer/all/image_40_crop_0_Leg.jpg,0,all,features.4.block.2.fc1,Conv2d,Linear (before activation),"(1, 24, 1, 1)",0.939527,1.847981,-0.000000,5.396814,6,18,-0.000000,-0.000000,0.340524,"(1, 1)",24,0,0.985913
/mnt/sdc/concepts/concepts_links/concept_150/deer/all/image_40_crop_0_Leg.jpg,0,all,features.4.block.2.fc2,Conv2d,Linear (before activation),"(1, 72, 1, 1)",1.976803,1.389111,-0.000000,3.149588,61,11,0.000000,2.814554,3.086801,"(1, 1)",72,0,0.985913
/mnt/sdc/concepts/concepts_links/concept_150/deer/all/image_40_crop_0_Leg.jpg,0,all,features.4.block.2.activation,ReLU,"ReLU: max(0, x)","(1, 24, 1, 1)",0.939527,1.847981,0.000000,5.396814,6,18,0.000000,0.000000,0.340524,N/A,N/A,0,0.985913
/mnt/sdc/concepts/concepts_links/concept_150/deer/all/image_40_crop_0_Leg.jpg,0,all,features.4.block.3.0,Conv2d,Linear (before activation),"(1, 40, 28, 28)",-0.994130,3.592734,-12.585604,7.876211,12330,19030,-3.163192,-0.886692,1.374676,"(1, 1)",40,0,0.985913
/mnt/sdc/concepts/concepts_links/concept_150/deer/all/image_40_crop_0_Leg.jpg,0,all,features.5.block.0.0,Conv2d,Linear (before activation),"(1, 120, 28, 28)",-0.048544,1.040413,-6.568192,6.076978,45429,48651,-0.597728,-0.000000,0.428518,"(1, 1)",120,0,0.985913
/mnt/sdc/concepts/concepts_links/concept_150/deer/all/image_40_crop_0_Leg.jpg,0,all,features.5.block.0.2,ReLU,"ReLU: max(0, x)","(1, 120, 28, 28)",0.211296,0.270240,0.000000,1.868757,50973,43107,0.000000,0.029862,0.404547,N/A,N/A,0,0.985913
/mnt/sdc/concepts/concepts_links/concept_150/deer/all/image_40_crop_0_Leg.jpg,0,all,features.5.block.1.0,Conv2d,Linear (before activation),"(1, 120, 28, 28)",-0.078587,0.301885,-2.024895,1.633762,26480,67600,-0.093048,0.000000,0.001156,"(5, 5)",120,0,0.985913
