Image Path,Class Label,Class Name,Layer Name,Layer Type,Transfer Function,Output Shape,Mean Activation,Std Activation,Min Activation,Max Activation, Pos activations,Neg activations,Q1,Q2,Q3,Kernel Shape,Kernel Count,Predicted Class,Predicted Probability
/mnt/sdc/concepts/concepts_links/concept_150/deer/all/image_40_crop_0_Leg.jpg,0,all,conv1,Conv2d,Linear (before activation),"(1, 64, 112, 112)",-0.094665,1.501782,-15.139486,15.068066,336699,466117,-0.578426,-0.115490,0.361230,"(7, 7)",64,0,0.729789
/mnt/sdc/concepts/concepts_links/concept_150/deer/all/image_40_crop_0_Leg.jpg,0,all,relu,ReLU,"ReLU: max(0, x)","(1, 64, 112, 112)",0.245069,0.269118,0.000000,1.967378,683907,118909,0.093435,0.180861,0.287805,N/A,N/A,0,0.729789
/mnt/sdc/concepts/concepts_links/concept_150/deer/all/image_40_crop_0_Leg.jpg,0,all,maxpool,MaxPool2d,MaxPool,"(1, 64, 56, 56)",0.335734,0.282050,0.000000,1.967378,183084,17620,0.189092,0.267581,0.404559,N/A,N/A,0,0.729789
/mnt/sdc/concepts/concepts_links/concept_150/deer/all/image_40_crop_0_Leg.jpg,0,all,layer1.0.conv1,Conv2d,Linear (before activation),"(1, 64, 56, 56)",-0.125240,0.333437,-1.569436,2.201729,50356,150348,-0.311644,-0.171339,0.000000,"(1, 1)",64,0,0.729789
/mnt/sdc/concepts/concepts_links/concept_150/deer/all/image_40_crop_0_Leg.jpg,0,all,layer1.0.conv2,Conv2d,Linear (before activation),"(1, 64, 56, 56)",0.067060,0.304588,-1.976763,1.593608,122509,78195,-0.089025,0.064170,0.245000,"(3, 3)",64,0,0.729789
/mnt/sdc/concepts/concepts_links/concept_150/deer/all/image_40_crop_0_Leg.jpg,0,all,layer1.0.conv3,Conv2d,Linear (before activation),"(1, 256, 56, 56)",-0.004556,0.118217,-0.490762,0.572480,371946,430870,-0.068543,-0.000018,0.048826,"(1, 1)",256,0,0.729789
/mnt/sdc/concepts/concepts_links/concept_150/deer/all/image_40_crop_0_Leg.jpg,0,all,layer1.0.relu,ReLU,"ReLU: max(0, x)","(1, 256, 56, 56)",0.140621,0.162239,0.000000,1.508156,493440,309376,0.000000,0.082850,0.248723,N/A,N/A,0,0.729789
/mnt/sdc/concepts/concepts_links/concept_150/deer/all/image_40_crop_0_Leg.jpg,0,all,layer1.0.downsample.0,Conv2d,Linear (before activation),"(1, 256, 56, 56)",-0.095370,0.326626,-1.589584,3.001385,291225,511591,-0.286253,-0.051545,0.059411,"(1, 1)",256,0,0.729789
/mnt/sdc/concepts/concepts_links/concept_150/deer/all/image_40_crop_0_Leg.jpg,0,all,layer1.1.conv1,Conv2d,Linear (before activation),"(1, 64, 56, 56)",0.061310,0.217544,-0.852241,0.959870,120941,79763,-0.081584,0.038085,0.205396,"(1, 1)",64,0,0.729789
/mnt/sdc/concepts/concepts_links/concept_150/deer/all/image_40_crop_0_Leg.jpg,0,all,layer1.1.conv2,Conv2d,Linear (before activation),"(1, 64, 56, 56)",-0.048072,0.166023,-0.857046,0.737701,77210,123494,-0.149842,-0.046031,0.060862,"(3, 3)",64,0,0.729789
/mnt/sdc/concepts/concepts_links/concept_150/deer/all/image_40_crop_0_Leg.jpg,0,all,layer1.1.conv3,Conv2d,Linear (before activation),"(1, 256, 56, 56)",0.000286,0.043266,-0.410331,0.514037,405360,397456,-0.016796,0.000004,0.015265,"(1, 1)",256,0,0.729789
