Image Path,Class Label,Class Name,Layer Name,Layer Type,Transfer Function,Output Shape,Mean Activation,Std Activation,Min Activation,Max Activation, Pos activations,Neg activations,Q1,Q2,Q3,Kernel Shape,Kernel Count,Predicted Class,Predicted Probability
/mnt/sdc/concepts/concepts_links/concept_150/deer/all/image_40_crop_0_Leg.jpg,0,all,features.0,Conv2d,Linear (before activation),"(1, 64, 224, 224)",0.274874,0.424835,0.000000,13.818647,1673587,1537677,0.000000,0.047632,0.458551,"(3, 3)",64,0,0.849573
/mnt/sdc/concepts/concepts_links/concept_150/deer/all/image_40_crop_0_Leg.jpg,0,all,features.1,ReLU,"ReLU: max(0, x)","(1, 64, 224, 224)",0.274874,0.424835,0.000000,13.818647,1673587,1537677,0.000000,0.047632,0.458551,N/A,N/A,0,0.849573
/mnt/sdc/concepts/concepts_links/concept_150/deer/all/image_40_crop_0_Leg.jpg,0,all,features.2,Conv2d,Linear (before activation),"(1, 64, 224, 224)",0.488794,0.856728,0.000000,15.314828,1506618,1704646,0.000000,0.000000,0.695383,"(3, 3)",64,0,0.849573
/mnt/sdc/concepts/concepts_links/concept_150/deer/all/image_40_crop_0_Leg.jpg,0,all,features.3,ReLU,"ReLU: max(0, x)","(1, 64, 224, 224)",0.488794,0.856728,0.000000,15.314828,1506618,1704646,0.000000,0.000000,0.695383,N/A,N/A,0,0.849573
/mnt/sdc/concepts/concepts_links/concept_150/deer/all/image_40_crop_0_Leg.jpg,0,all,features.4,MaxPool2d,MaxPool,"(1, 64, 112, 112)",0.784751,1.077533,0.000000,15.314828,514866,287950,0.000000,0.381608,1.207693,N/A,N/A,0,0.849573
/mnt/sdc/concepts/concepts_links/concept_150/deer/all/image_40_crop_0_Leg.jpg,0,all,features.5,Conv2d,Linear (before activation),"(1, 128, 112, 112)",0.662553,1.180028,0.000000,20.288109,677883,927749,0.000000,0.000000,0.969559,"(3, 3)",128,0,0.849573
/mnt/sdc/concepts/concepts_links/concept_150/deer/all/image_40_crop_0_Leg.jpg,0,all,features.6,ReLU,"ReLU: max(0, x)","(1, 128, 112, 112)",0.662553,1.180028,0.000000,20.288109,677883,927749,0.000000,0.000000,0.969559,N/A,N/A,0,0.849573
/mnt/sdc/concepts/concepts_links/concept_150/deer/all/image_40_crop_0_Leg.jpg,0,all,features.7,Conv2d,Linear (before activation),"(1, 128, 112, 112)",0.762431,1.668366,0.000000,37.206085,525460,1080172,0.000000,0.000000,0.704917,"(3, 3)",128,0,0.849573
/mnt/sdc/concepts/concepts_links/concept_150/deer/all/image_40_crop_0_Leg.jpg,0,all,features.8,ReLU,"ReLU: max(0, x)","(1, 128, 112, 112)",0.762431,1.668366,0.000000,37.206085,525460,1080172,0.000000,0.000000,0.704917,N/A,N/A,0,0.849573
/mnt/sdc/concepts/concepts_links/concept_150/deer/all/image_40_crop_0_Leg.jpg,0,all,features.9,MaxPool2d,MaxPool,"(1, 128, 56, 56)",1.646630,2.353036,0.000000,37.206085,234528,166880,0.000000,0.572982,2.579907,N/A,N/A,0,0.849573
/mnt/sdc/concepts/concepts_links/concept_150/deer/all/image_40_crop_0_Leg.jpg,0,all,features.10,Conv2d,Linear (before activation),"(1, 256, 56, 56)",0.967153,2.158735,0.000000,40.331478,245299,557517,0.000000,0.000000,0.760526,"(3, 3)",256,0,0.849573
/mnt/sdc/concepts/concepts_links/concept_150/deer/all/image_40_crop_0_Leg.jpg,0,all,features.11,ReLU,"ReLU: max(0, x)","(1, 256, 56, 56)",0.967153,2.158735,0.000000,40.331478,245299,557517,0.000000,0.000000,0.760526,N/A,N/A,0,0.849573
/mnt/sdc/concepts/concepts_links/concept_150/deer/all/image_40_crop_0_Leg.jpg,0,all,features.12,Conv2d,Linear (before activation),"(1, 256, 56, 56)",1.102560,2.399345,0.000000,37.923466,252860,549956,0.000000,0.000000,0.961882,"(3, 3)",256,0,0.849573
/mnt/sdc/concepts/concepts_links/concept_150/deer/all/image_40_crop_0_Leg.jpg,0,all,features.13,ReLU,"ReLU: max(0, x)","(1, 256, 56, 56)",1.102560,2.399345,0.000000,37.923466,252860,549956,0.000000,0.000000,0.961882,N/A,N/A,0,0.849573
/mnt/sdc/concepts/concepts_links/concept_150/deer/all/image_40_crop_0_Leg.jpg,0,all,features.14,Conv2d,Linear (before activation),"(1, 256, 56, 56)",0.734317,2.237760,0.000000,51.419041,149684,653132,0.000000,0.000000,0.000000,"(3, 3)",256,0,0.849573
/mnt/sdc/concepts/concepts_links/concept_150/deer/all/image_40_crop_0_Leg.jpg,0,all,features.15,ReLU,"ReLU: max(0, x)","(1, 256, 56, 56)",0.734317,2.237760,0.000000,51.419041,149684,653132,0.000000,0.000000,0.000000,N/A,N/A,0,0.849573
