Image Path,Class Label,Class Name,Layer Name,Layer Type,Transfer Function,Output Shape,Mean Activation,Std Activation,Min Activation,Max Activation, Pos activations,Neg activations,Q1,Q2,Q3,Kernel Shape,Kernel Count,Predicted Class,Predicted Probability
/mnt/sdc/concepts/concepts_links/concept_150/horse/all/horse13-6_crop_1_H_Leg.jpg,0,all,Conv2d_1a_3x3.conv,Conv2d,Linear (before activation),"(1, 32, 111, 111)",-0.000789,0.208271,-0.775638,0.999628,180094,214178,-0.136214,-0.012348,0.123851,"(3, 3)",32,0,0.910195
/mnt/sdc/concepts/concepts_links/concept_150/horse/all/horse13-6_crop_1_H_Leg.jpg,0,all,Conv2d_2a_3x3.conv,Conv2d,Linear (before activation),"(1, 32, 109, 109)",-0.359240,1.929627,-9.410851,6.585221,138575,241617,-1.069680,-0.239215,0.409983,"(3, 3)",32,0,0.910195
/mnt/sdc/concepts/concepts_links/concept_150/horse/all/horse13-6_crop_1_H_Leg.jpg,0,all,Conv2d_2b_3x3.conv,Conv2d,Linear (before activation),"(1, 64, 109, 109)",-1.069834,1.322733,-7.190365,3.622115,140811,619573,-1.703328,-0.807062,-0.174307,"(3, 3)",64,0,0.910195
/mnt/sdc/concepts/concepts_links/concept_150/horse/all/horse13-6_crop_1_H_Leg.jpg,0,all,maxpool1,MaxPool2d,MaxPool,"(1, 64, 54, 54)",0.738793,0.712103,0.000000,6.738791,163243,23381,0.233284,0.505019,1.006883,N/A,N/A,0,0.910195
/mnt/sdc/concepts/concepts_links/concept_150/horse/all/horse13-6_crop_1_H_Leg.jpg,0,all,Conv2d_3b_1x1.conv,Conv2d,Linear (before activation),"(1, 80, 54, 54)",-0.471595,1.153088,-8.196140,7.372648,65105,168175,-1.058277,-0.499436,0.058851,"(1, 1)",80,0,0.910195
/mnt/sdc/concepts/concepts_links/concept_150/horse/all/horse13-6_crop_1_H_Leg.jpg,0,all,Conv2d_4a_3x3.conv,Conv2d,Linear (before activation),"(1, 192, 52, 52)",-0.226220,2.019397,-13.911322,21.090099,238561,280607,-1.039388,-0.125716,0.636116,"(3, 3)",192,0,0.910195
/mnt/sdc/concepts/concepts_links/concept_150/horse/all/horse13-6_crop_1_H_Leg.jpg,0,all,maxpool2,MaxPool2d,MaxPool,"(1, 192, 25, 25)",1.192137,0.999940,0.000000,6.162762,107542,12458,0.393741,0.937243,1.847140,N/A,N/A,0,0.910195
/mnt/sdc/concepts/concepts_links/concept_150/horse/all/horse13-6_crop_1_H_Leg.jpg,0,all,Mixed_5b.branch1x1.conv,Conv2d,Linear (before activation),"(1, 64, 25, 25)",0.524765,2.184211,-7.654103,9.680339,23171,16829,-0.695401,0.298775,1.566831,"(1, 1)",64,0,0.910195
/mnt/sdc/concepts/concepts_links/concept_150/horse/all/horse13-6_crop_1_H_Leg.jpg,0,all,Mixed_5b.branch5x5_1.conv,Conv2d,Linear (before activation),"(1, 48, 25, 25)",-0.002935,1.316563,-4.889899,5.317963,15532,14468,-0.881447,0.060815,0.887947,"(1, 1)",48,0,0.910195
/mnt/sdc/concepts/concepts_links/concept_150/horse/all/horse13-6_crop_1_H_Leg.jpg,0,all,Mixed_5b.branch5x5_2.conv,Conv2d,Linear (before activation),"(1, 64, 25, 25)",-0.625644,2.487018,-11.091512,9.214681,16776,23224,-1.922627,-0.427784,0.955857,"(5, 5)",64,0,0.910195
/mnt/sdc/concepts/concepts_links/concept_150/horse/all/horse13-6_crop_1_H_Leg.jpg,0,all,Mixed_5b.branch3x3dbl_1.conv,Conv2d,Linear (before activation),"(1, 64, 25, 25)",-0.195114,1.915455,-14.290371,7.347830,19554,20446,-1.099105,-0.045143,0.808652,"(1, 1)",64,0,0.910195
/mnt/sdc/concepts/concepts_links/concept_150/horse/all/horse13-6_crop_1_H_Leg.jpg,0,all,Mixed_5b.branch3x3dbl_2.conv,Conv2d,Linear (before activation),"(1, 96, 25, 25)",-0.288915,1.128411,-4.527244,3.252408,24900,35100,-0.943327,-0.226491,0.489625,"(3, 3)",96,0,0.910195
/mnt/sdc/concepts/concepts_links/concept_150/horse/all/horse13-6_crop_1_H_Leg.jpg,0,all,Mixed_5b.branch3x3dbl_3.conv,Conv2d,Linear (before activation),"(1, 96, 25, 25)",-0.324414,0.817553,-4.142987,3.425756,20152,39848,-0.781351,-0.281674,0.170757,"(3, 3)",96,0,0.910195
/mnt/sdc/concepts/concepts_links/concept_150/horse/all/horse13-6_crop_1_H_Leg.jpg,0,all,Mixed_5b.branch_pool.conv,Conv2d,Linear (before activation),"(1, 32, 25, 25)",0.084455,1.098375,-2.237013,3.357309,9160,10840,-0.696868,-0.147984,0.632910,"(1, 1)",32,0,0.910195
/mnt/sdc/concepts/concepts_links/concept_150/horse/all/horse13-6_crop_1_H_Leg.jpg,0,all,Mixed_5c.branch1x1.conv,Conv2d,Linear (before activation),"(1, 64, 25, 25)",0.585520,2.169683,-7.246631,10.875251,23638,16362,-0.838159,0.454906,1.937154,"(1, 1)",64,0,0.910195
