Image Path,Class Label,Class Name,Layer Name,Layer Type,Transfer Function,Output Shape,Mean Activation,Std Activation,Min Activation,Max Activation, Pos activations,Neg activations,Q1,Q2,Q3,Kernel Shape,Kernel Count,Predicted Class,Predicted Probability
/mnt/sdc/concepts/concepts_links/concept_150/horse/all/horse13-6_crop_1_H_Leg.jpg,0,all,features.0.0,Conv2d,Linear (before activation),"(1, 16, 112, 112)",-0.646163,1.724635,-12.772920,26.289232,99970,100734,-1.204257,-0.002852,0.197685,"(3, 3)",16,2,0.420399
/mnt/sdc/concepts/concepts_links/concept_150/horse/all/horse13-6_crop_1_H_Leg.jpg,0,all,features.1.block.0.0,Conv2d,Linear (before activation),"(1, 16, 112, 112)",0.446101,2.595887,-14.073743,47.717213,121145,79559,-0.000000,0.000000,0.192452,"(3, 3)",16,2,0.420399
/mnt/sdc/concepts/concepts_links/concept_150/horse/all/horse13-6_crop_1_H_Leg.jpg,0,all,features.1.block.0.2,ReLU,"ReLU: max(0, x)","(1, 16, 112, 112)",0.286136,0.516477,0.000000,3.956417,85173,115531,0.000000,0.000000,0.272395,N/A,N/A,2,0.420399
/mnt/sdc/concepts/concepts_links/concept_150/horse/all/horse13-6_crop_1_H_Leg.jpg,0,all,features.1.block.1.0,Conv2d,Linear (before activation),"(1, 16, 112, 112)",0.352888,1.168891,-3.437350,8.369413,137270,63434,-0.267865,0.262284,1.166736,"(1, 1)",16,2,0.420399
/mnt/sdc/concepts/concepts_links/concept_150/horse/all/horse13-6_crop_1_H_Leg.jpg,0,all,features.2.block.0.0,Conv2d,Linear (before activation),"(1, 64, 112, 112)",-0.478883,4.324151,-18.564692,14.297456,382960,419856,-1.361843,-0.000000,0.049961,"(1, 1)",64,2,0.420399
/mnt/sdc/concepts/concepts_links/concept_150/horse/all/horse13-6_crop_1_H_Leg.jpg,0,all,features.2.block.0.2,ReLU,"ReLU: max(0, x)","(1, 64, 112, 112)",0.268895,0.338393,0.000000,2.274436,545217,257599,0.000000,0.014772,0.571259,N/A,N/A,2,0.420399
/mnt/sdc/concepts/concepts_links/concept_150/horse/all/horse13-6_crop_1_H_Leg.jpg,0,all,features.2.block.1.0,Conv2d,Linear (before activation),"(1, 64, 56, 56)",0.100522,0.654097,-4.136848,4.460914,85356,115348,-0.000000,0.000000,0.057154,"(3, 3)",64,2,0.420399
/mnt/sdc/concepts/concepts_links/concept_150/horse/all/horse13-6_crop_1_H_Leg.jpg,0,all,features.2.block.1.2,ReLU,"ReLU: max(0, x)","(1, 64, 56, 56)",0.407443,0.690999,0.000000,3.282843,95996,104708,0.000000,0.000000,0.613534,N/A,N/A,2,0.420399
/mnt/sdc/concepts/concepts_links/concept_150/horse/all/horse13-6_crop_1_H_Leg.jpg,0,all,features.2.block.2.0,Conv2d,Linear (before activation),"(1, 24, 56, 56)",-0.682988,3.490244,-9.479852,7.511405,32584,42680,-3.180353,-0.612279,1.843478,"(1, 1)",24,2,0.420399
/mnt/sdc/concepts/concepts_links/concept_150/horse/all/horse13-6_crop_1_H_Leg.jpg,0,all,features.3.block.0.0,Conv2d,Linear (before activation),"(1, 72, 56, 56)",0.185722,0.903899,-4.001707,4.103608,128108,97684,-0.145168,0.000000,0.559194,"(1, 1)",72,2,0.420399
/mnt/sdc/concepts/concepts_links/concept_150/horse/all/horse13-6_crop_1_H_Leg.jpg,0,all,features.3.block.0.2,ReLU,"ReLU: max(0, x)","(1, 72, 56, 56)",0.273792,0.266940,0.000000,1.850941,178165,47627,0.000000,0.250041,0.437942,N/A,N/A,2,0.420399
/mnt/sdc/concepts/concepts_links/concept_150/horse/all/horse13-6_crop_1_H_Leg.jpg,0,all,features.3.block.1.0,Conv2d,Linear (before activation),"(1, 72, 56, 56)",-0.017226,0.227084,-1.768599,1.403002,91269,134523,-0.080387,0.000000,0.052262,"(3, 3)",72,2,0.420399
/mnt/sdc/concepts/concepts_links/concept_150/horse/all/horse13-6_crop_1_H_Leg.jpg,0,all,features.3.block.1.2,ReLU,"ReLU: max(0, x)","(1, 72, 56, 56)",0.269272,0.471223,0.000000,2.258060,115448,110344,0.000000,0.000000,0.318002,N/A,N/A,2,0.420399
/mnt/sdc/concepts/concepts_links/concept_150/horse/all/horse13-6_crop_1_H_Leg.jpg,0,all,features.3.block.2.0,Conv2d,Linear (before activation),"(1, 24, 56, 56)",-0.361960,1.426918,-5.014087,4.619249,30165,45099,-1.470194,-0.129154,0.341893,"(1, 1)",24,2,0.420399
/mnt/sdc/concepts/concepts_links/concept_150/horse/all/horse13-6_crop_1_H_Leg.jpg,0,all,features.4.block.0.0,Conv2d,Linear (before activation),"(1, 72, 56, 56)",0.033774,1.681566,-8.783146,9.595424,115370,110422,-0.513453,0.000000,0.704495,"(1, 1)",72,2,0.420399
/mnt/sdc/concepts/concepts_links/concept_150/horse/all/horse13-6_crop_1_H_Leg.jpg,0,all,features.4.block.0.2,ReLU,"ReLU: max(0, x)","(1, 72, 56, 56)",0.208006,0.294383,0.000000,2.259056,159838,65954,0.000000,0.021784,0.366149,N/A,N/A,2,0.420399
/mnt/sdc/concepts/concepts_links/concept_150/horse/all/horse13-6_crop_1_H_Leg.jpg,0,all,features.4.block.1.0,Conv2d,Linear (before activation),"(1, 72, 28, 28)",0.104336,1.018332,-5.908347,6.032738,25089,31359,-0.210019,0.000000,0.206697,"(5, 5)",72,2,0.420399
/mnt/sdc/concepts/concepts_links/concept_150/horse/all/horse13-6_crop_1_H_Leg.jpg,0,all,features.4.block.1.2,ReLU,"ReLU: max(0, x)","(1, 72, 28, 28)",0.720663,0.819437,0.000000,4.049946,38818,17630,0.000000,0.417262,1.316435,N/A,N/A,2,0.420399
/mnt/sdc/concepts/concepts_links/concept_150/horse/all/horse13-6_crop_1_H_Leg.jpg,0,all,features.4.block.2.fc1,Conv2d,Linear (before activation),"(1, 24, 1, 1)",0.960360,1.896571,-0.000000,5.561296,6,18,-0.000000,-0.000000,0.337209,"(1, 1)",24,2,0.420399
/mnt/sdc/concepts/concepts_links/concept_150/horse/all/horse13-6_crop_1_H_Leg.jpg,0,all,features.4.block.2.fc2,Conv2d,Linear (before activation),"(1, 72, 1, 1)",2.025853,1.423613,-0.000000,3.228054,61,11,0.000000,2.883073,3.163522,"(1, 1)",72,2,0.420399
