Image Path,Class Label,Class Name,Layer Name,Layer Type,Transfer Function,Output Shape,Mean Activation,Std Activation,Min Activation,Max Activation, Pos activations,Neg activations,Q1,Q2,Q3,Kernel Shape,Kernel Count,Predicted Class,Predicted Probability
/mnt/sdc/concepts/concepts_links/concept_150/horse/all/horse13-6_crop_1_H_Leg.jpg,0,all,features.0.0,Conv2d,Linear (before activation),"(1, 16, 112, 112)",0.281866,3.212530,-9.958684,10.577109,104765,95939,-0.296444,0.018879,1.682416,"(3, 3)",16,0,0.428029
/mnt/sdc/concepts/concepts_links/concept_150/horse/all/horse13-6_crop_1_H_Leg.jpg,0,all,features.1.block.0.0,Conv2d,Linear (before activation),"(1, 16, 56, 56)",-0.323941,3.394603,-20.739809,16.675421,15000,35176,-0.502765,-0.050096,0.015491,"(3, 3)",16,0,0.428029
/mnt/sdc/concepts/concepts_links/concept_150/horse/all/horse13-6_crop_1_H_Leg.jpg,0,all,features.1.block.0.2,ReLU,"ReLU: max(0, x)","(1, 16, 56, 56)",0.866965,0.796256,0.000000,3.831615,43870,6306,0.266330,0.533021,1.555284,N/A,N/A,0,0.428029
/mnt/sdc/concepts/concepts_links/concept_150/horse/all/horse13-6_crop_1_H_Leg.jpg,0,all,features.1.block.1.fc1,Conv2d,Linear (before activation),"(1, 8, 1, 1)",-0.001991,0.005630,-0.015924,-0.000000,0,8,-0.000000,-0.000000,-0.000000,"(1, 1)",8,0,0.428029
/mnt/sdc/concepts/concepts_links/concept_150/horse/all/horse13-6_crop_1_H_Leg.jpg,0,all,features.1.block.1.fc2,Conv2d,Linear (before activation),"(1, 16, 1, 1)",0.007690,0.642352,-1.141718,1.357134,7,9,-0.384451,-0.235901,0.568489,"(1, 1)",16,0,0.428029
/mnt/sdc/concepts/concepts_links/concept_150/horse/all/horse13-6_crop_1_H_Leg.jpg,0,all,features.1.block.1.activation,ReLU,"ReLU: max(0, x)","(1, 8, 1, 1)",0.000000,0.000000,0.000000,0.000000,0,8,0.000000,0.000000,0.000000,N/A,N/A,0,0.428029
/mnt/sdc/concepts/concepts_links/concept_150/horse/all/horse13-6_crop_1_H_Leg.jpg,0,all,features.1.block.2.0,Conv2d,Linear (before activation),"(1, 16, 56, 56)",1.381605,2.029459,-2.880610,6.935436,35511,14665,-0.169980,1.581438,2.827036,"(1, 1)",16,0,0.428029
/mnt/sdc/concepts/concepts_links/concept_150/horse/all/horse13-6_crop_1_H_Leg.jpg,0,all,features.2.block.0.0,Conv2d,Linear (before activation),"(1, 72, 56, 56)",0.071077,1.232054,-17.538454,14.129989,114498,111294,-0.497490,0.000000,0.653936,"(1, 1)",72,0,0.428029
/mnt/sdc/concepts/concepts_links/concept_150/horse/all/horse13-6_crop_1_H_Leg.jpg,0,all,features.2.block.0.2,ReLU,"ReLU: max(0, x)","(1, 72, 56, 56)",0.410249,0.385359,0.000000,4.157621,155929,69863,0.000000,0.437373,0.704784,N/A,N/A,0,0.428029
/mnt/sdc/concepts/concepts_links/concept_150/horse/all/horse13-6_crop_1_H_Leg.jpg,0,all,features.2.block.1.0,Conv2d,Linear (before activation),"(1, 72, 28, 28)",-0.082915,0.812051,-4.839800,6.381294,17989,38459,-0.092889,0.000000,0.026306,"(3, 3)",72,0,0.428029
/mnt/sdc/concepts/concepts_links/concept_150/horse/all/horse13-6_crop_1_H_Leg.jpg,0,all,features.2.block.1.2,ReLU,"ReLU: max(0, x)","(1, 72, 28, 28)",0.409736,0.734321,0.000000,3.615103,36355,20093,0.000000,0.069195,0.552399,N/A,N/A,0,0.428029
/mnt/sdc/concepts/concepts_links/concept_150/horse/all/horse13-6_crop_1_H_Leg.jpg,0,all,features.2.block.2.0,Conv2d,Linear (before activation),"(1, 24, 28, 28)",-0.843865,4.477830,-12.611872,8.745142,9160,9656,-3.774354,-0.159036,2.239009,"(1, 1)",24,0,0.428029
/mnt/sdc/concepts/concepts_links/concept_150/horse/all/horse13-6_crop_1_H_Leg.jpg,0,all,features.3.block.0.0,Conv2d,Linear (before activation),"(1, 88, 28, 28)",0.440804,2.458614,-11.173713,8.048954,41187,27805,-0.809355,0.000010,1.435185,"(1, 1)",88,0,0.428029
/mnt/sdc/concepts/concepts_links/concept_150/horse/all/horse13-6_crop_1_H_Leg.jpg,0,all,features.3.block.0.2,ReLU,"ReLU: max(0, x)","(1, 88, 28, 28)",0.388659,0.393572,0.000000,2.358098,49297,19695,0.000000,0.336721,0.648074,N/A,N/A,0,0.428029
/mnt/sdc/concepts/concepts_links/concept_150/horse/all/horse13-6_crop_1_H_Leg.jpg,0,all,features.3.block.1.0,Conv2d,Linear (before activation),"(1, 88, 28, 28)",-0.040017,0.597818,-5.061198,2.221036,25741,43251,-0.122086,0.000000,0.085100,"(3, 3)",88,0,0.428029
/mnt/sdc/concepts/concepts_links/concept_150/horse/all/horse13-6_crop_1_H_Leg.jpg,0,all,features.3.block.1.2,ReLU,"ReLU: max(0, x)","(1, 88, 28, 28)",0.406555,0.553803,0.000000,3.292640,43028,25964,0.000000,0.068976,0.724812,N/A,N/A,0,0.428029
/mnt/sdc/concepts/concepts_links/concept_150/horse/all/horse13-6_crop_1_H_Leg.jpg,0,all,features.3.block.2.0,Conv2d,Linear (before activation),"(1, 24, 28, 28)",0.001181,1.685545,-4.887211,5.925706,8587,10229,-1.069525,-0.189218,1.002635,"(1, 1)",24,0,0.428029
/mnt/sdc/concepts/concepts_links/concept_150/horse/all/horse13-6_crop_1_H_Leg.jpg,0,all,features.4.block.0.0,Conv2d,Linear (before activation),"(1, 96, 28, 28)",-0.465512,3.026343,-15.899862,11.499445,32825,42439,-2.286378,-0.440644,1.406525,"(1, 1)",96,0,0.428029
