Image Path,Class Label,Class Name,Layer Name,Layer Type,Transfer Function,Output Shape,Mean Activation,Std Activation,Min Activation,Max Activation, Pos activations,Neg activations,Q1,Q2,Q3,Kernel Shape,Kernel Count,Predicted Class,Predicted Probability
/mnt/sdc/concepts/concepts_links/concept_150/horse/all/horse13-6_crop_1_H_Leg.jpg,0,all,conv1,Conv2d,Linear (before activation),"(1, 64, 112, 112)",0.115496,1.112731,-9.404747,7.949124,470465,332351,-0.169844,0.068213,0.305352,"(7, 7)",64,0,0.540399
/mnt/sdc/concepts/concepts_links/concept_150/horse/all/horse13-6_crop_1_H_Leg.jpg,0,all,relu,ReLU,"ReLU: max(0, x)","(1, 64, 112, 112)",0.276422,0.261620,0.000000,1.553575,714666,88150,0.132629,0.227408,0.303348,N/A,N/A,0,0.540399
/mnt/sdc/concepts/concepts_links/concept_150/horse/all/horse13-6_crop_1_H_Leg.jpg,0,all,maxpool,MaxPool2d,MaxPool,"(1, 64, 56, 56)",0.292696,0.265652,0.000000,1.553575,180370,20334,0.160156,0.242089,0.320355,N/A,N/A,0,0.540399
/mnt/sdc/concepts/concepts_links/concept_150/horse/all/horse13-6_crop_1_H_Leg.jpg,0,all,layer1.0.conv1,Conv2d,Linear (before activation),"(1, 64, 56, 56)",-0.083369,0.320839,-1.447407,1.274305,52601,148103,-0.230901,-0.096844,0.000000,"(1, 1)",64,0,0.540399
/mnt/sdc/concepts/concepts_links/concept_150/horse/all/horse13-6_crop_1_H_Leg.jpg,0,all,layer1.0.conv2,Conv2d,Linear (before activation),"(1, 64, 56, 56)",0.131717,0.281183,-1.553170,1.355170,147332,53372,-0.000328,0.143449,0.325080,"(3, 3)",64,0,0.540399
/mnt/sdc/concepts/concepts_links/concept_150/horse/all/horse13-6_crop_1_H_Leg.jpg,0,all,layer1.0.conv3,Conv2d,Linear (before activation),"(1, 256, 56, 56)",0.010590,0.147392,-0.559335,0.512945,434880,367936,-0.064731,0.000033,0.099380,"(1, 1)",256,0,0.540399
/mnt/sdc/concepts/concepts_links/concept_150/horse/all/horse13-6_crop_1_H_Leg.jpg,0,all,layer1.0.relu,ReLU,"ReLU: max(0, x)","(1, 256, 56, 56)",0.172635,0.157274,0.000000,1.003264,593482,209334,0.000000,0.159474,0.276603,N/A,N/A,0,0.540399
/mnt/sdc/concepts/concepts_links/concept_150/horse/all/horse13-6_crop_1_H_Leg.jpg,0,all,layer1.0.downsample.0,Conv2d,Linear (before activation),"(1, 256, 56, 56)",-0.074532,0.310248,-1.396945,1.563138,326994,475822,-0.238778,-0.034315,0.081297,"(1, 1)",256,0,0.540399
/mnt/sdc/concepts/concepts_links/concept_150/horse/all/horse13-6_crop_1_H_Leg.jpg,0,all,layer1.1.conv1,Conv2d,Linear (before activation),"(1, 64, 56, 56)",0.164400,0.268140,-0.606764,1.062040,145812,54892,-0.014895,0.142526,0.344289,"(1, 1)",64,0,0.540399
/mnt/sdc/concepts/concepts_links/concept_150/horse/all/horse13-6_crop_1_H_Leg.jpg,0,all,layer1.1.conv2,Conv2d,Linear (before activation),"(1, 64, 56, 56)",0.024601,0.234000,-0.772371,0.756242,115805,84899,-0.156111,0.042766,0.201975,"(3, 3)",64,0,0.540399
/mnt/sdc/concepts/concepts_links/concept_150/horse/all/horse13-6_crop_1_H_Leg.jpg,0,all,layer1.1.conv3,Conv2d,Linear (before activation),"(1, 256, 56, 56)",0.000877,0.088857,-0.467515,0.530478,394532,408284,-0.034270,-0.000002,0.025975,"(1, 1)",256,0,0.540399
/mnt/sdc/concepts/concepts_links/concept_150/horse/all/horse13-6_crop_1_H_Leg.jpg,0,all,layer1.1.relu,ReLU,"ReLU: max(0, x)","(1, 256, 56, 56)",0.200610,0.193502,0.000000,1.568079,636303,166513,0.011329,0.175322,0.312059,N/A,N/A,0,0.540399
/mnt/sdc/concepts/concepts_links/concept_150/horse/all/horse13-6_crop_1_H_Leg.jpg,0,all,layer1.2.conv1,Conv2d,Linear (before activation),"(1, 64, 56, 56)",0.034117,0.232516,-0.784472,0.773590,109991,90713,-0.115066,0.032607,0.184662,"(1, 1)",64,0,0.540399
/mnt/sdc/concepts/concepts_links/concept_150/horse/all/horse13-6_crop_1_H_Leg.jpg,0,all,layer1.2.conv2,Conv2d,Linear (before activation),"(1, 64, 56, 56)",0.000401,0.114747,-0.684586,0.506143,102698,98006,-0.072854,0.003329,0.073390,"(3, 3)",64,0,0.540399
/mnt/sdc/concepts/concepts_links/concept_150/horse/all/horse13-6_crop_1_H_Leg.jpg,0,all,layer1.2.conv3,Conv2d,Linear (before activation),"(1, 256, 56, 56)",-0.007439,0.036429,-0.367932,0.235468,367219,435597,-0.017802,-0.000884,0.005438,"(1, 1)",256,0,0.540399
/mnt/sdc/concepts/concepts_links/concept_150/horse/all/horse13-6_crop_1_H_Leg.jpg,0,all,layer1.2.relu,ReLU,"ReLU: max(0, x)","(1, 256, 56, 56)",0.210872,0.193099,0.000000,1.579653,689584,113232,0.042044,0.184580,0.318516,N/A,N/A,0,0.540399
/mnt/sdc/concepts/concepts_links/concept_150/horse/all/horse13-6_crop_1_H_Leg.jpg,0,all,layer2.0.conv1,Conv2d,Linear (before activation),"(1, 128, 56, 56)",-0.103863,0.257187,-0.923339,0.855263,141741,259667,-0.293914,-0.114017,0.082594,"(1, 1)",128,0,0.540399
/mnt/sdc/concepts/concepts_links/concept_150/horse/all/horse13-6_crop_1_H_Leg.jpg,0,all,layer2.0.conv2,Conv2d,Linear (before activation),"(1, 128, 28, 28)",-0.043891,0.155274,-0.906463,0.683125,36846,63506,-0.138364,-0.046946,0.048784,"(3, 3)",128,0,0.540399
/mnt/sdc/concepts/concepts_links/concept_150/horse/all/horse13-6_crop_1_H_Leg.jpg,0,all,layer2.0.conv3,Conv2d,Linear (before activation),"(1, 512, 28, 28)",-0.004174,0.060158,-0.509045,0.504230,183453,217955,-0.029576,-0.000009,0.019721,"(1, 1)",512,0,0.540399
/mnt/sdc/concepts/concepts_links/concept_150/horse/all/horse13-6_crop_1_H_Leg.jpg,0,all,layer2.0.relu,ReLU,"ReLU: max(0, x)","(1, 512, 28, 28)",0.096324,0.161788,0.000000,1.927380,178187,223221,0.000000,0.000000,0.150994,N/A,N/A,0,0.540399
/mnt/sdc/concepts/concepts_links/concept_150/horse/all/horse13-6_crop_1_H_Leg.jpg,0,all,layer2.0.downsample.0,Conv2d,Linear (before activation),"(1, 512, 28, 28)",-0.034771,0.204328,-1.468811,1.024690,173732,227676,-0.126462,-0.008474,0.063851,"(1, 1)",512,0,0.540399
/mnt/sdc/concepts/concepts_links/concept_150/horse/all/horse13-6_crop_1_H_Leg.jpg,0,all,layer2.1.conv1,Conv2d,Linear (before activation),"(1, 128, 28, 28)",0.005480,0.179529,-1.164796,1.254289,53661,46691,-0.096583,0.012087,0.111495,"(1, 1)",128,0,0.540399
