Image Path,Class Label,Class Name,Layer Name,Layer Type,Transfer Function,Output Shape,Mean Activation,Std Activation,Min Activation,Max Activation, Pos activations,Neg activations,Q1,Q2,Q3,Kernel Shape,Kernel Count,Predicted Class,Predicted Probability
/mnt/sdc/concepts/concepts_links/concept_150/horse/all/horse13-6_crop_1_H_Leg.jpg,0,all,features.0,Conv2d,Linear (before activation),"(1, 64, 224, 224)",0.216145,0.248693,0.000000,7.139449,2034469,1176795,0.000000,0.166464,0.378220,"(3, 3)",64,1,0.568721
/mnt/sdc/concepts/concepts_links/concept_150/horse/all/horse13-6_crop_1_H_Leg.jpg,0,all,features.1,ReLU,"ReLU: max(0, x)","(1, 64, 224, 224)",0.216145,0.248693,0.000000,7.139449,2034469,1176795,0.000000,0.166464,0.378220,N/A,N/A,1,0.568721
/mnt/sdc/concepts/concepts_links/concept_150/horse/all/horse13-6_crop_1_H_Leg.jpg,0,all,features.2,Conv2d,Linear (before activation),"(1, 64, 224, 224)",0.250822,0.466716,0.000000,14.520192,1436797,1774467,0.000000,0.000000,0.317644,"(3, 3)",64,1,0.568721
/mnt/sdc/concepts/concepts_links/concept_150/horse/all/horse13-6_crop_1_H_Leg.jpg,0,all,features.3,ReLU,"ReLU: max(0, x)","(1, 64, 224, 224)",0.250822,0.466716,0.000000,14.520192,1436797,1774467,0.000000,0.000000,0.317644,N/A,N/A,1,0.568721
/mnt/sdc/concepts/concepts_links/concept_150/horse/all/horse13-6_crop_1_H_Leg.jpg,0,all,features.4,MaxPool2d,MaxPool,"(1, 64, 112, 112)",0.294852,0.512546,0.000000,14.520192,419290,383526,0.000000,0.024336,0.402496,N/A,N/A,1,0.568721
/mnt/sdc/concepts/concepts_links/concept_150/horse/all/horse13-6_crop_1_H_Leg.jpg,0,all,features.5,Conv2d,Linear (before activation),"(1, 128, 112, 112)",0.439326,0.589181,0.000000,10.476556,937040,668592,0.000000,0.184865,0.731724,"(3, 3)",128,1,0.568721
/mnt/sdc/concepts/concepts_links/concept_150/horse/all/horse13-6_crop_1_H_Leg.jpg,0,all,features.6,ReLU,"ReLU: max(0, x)","(1, 128, 112, 112)",0.439326,0.589181,0.000000,10.476556,937040,668592,0.000000,0.184865,0.731724,N/A,N/A,1,0.568721
/mnt/sdc/concepts/concepts_links/concept_150/horse/all/horse13-6_crop_1_H_Leg.jpg,0,all,features.7,Conv2d,Linear (before activation),"(1, 128, 112, 112)",0.381700,0.913582,0.000000,13.465845,470339,1135293,0.000000,0.000000,0.218310,"(3, 3)",128,1,0.568721
/mnt/sdc/concepts/concepts_links/concept_150/horse/all/horse13-6_crop_1_H_Leg.jpg,0,all,features.8,ReLU,"ReLU: max(0, x)","(1, 128, 112, 112)",0.381700,0.913582,0.000000,13.465845,470339,1135293,0.000000,0.000000,0.218310,N/A,N/A,1,0.568721
/mnt/sdc/concepts/concepts_links/concept_150/horse/all/horse13-6_crop_1_H_Leg.jpg,0,all,features.9,MaxPool2d,MaxPool,"(1, 128, 56, 56)",0.612829,1.152074,0.000000,13.465845,170827,230581,0.000000,0.000000,0.807423,N/A,N/A,1,0.568721
/mnt/sdc/concepts/concepts_links/concept_150/horse/all/horse13-6_crop_1_H_Leg.jpg,0,all,features.10,Conv2d,Linear (before activation),"(1, 256, 56, 56)",0.651429,1.251386,0.000000,23.113081,308123,494693,0.000000,0.000000,0.852817,"(3, 3)",256,1,0.568721
/mnt/sdc/concepts/concepts_links/concept_150/horse/all/horse13-6_crop_1_H_Leg.jpg,0,all,features.11,ReLU,"ReLU: max(0, x)","(1, 256, 56, 56)",0.651429,1.251386,0.000000,23.113081,308123,494693,0.000000,0.000000,0.852817,N/A,N/A,1,0.568721
/mnt/sdc/concepts/concepts_links/concept_150/horse/all/horse13-6_crop_1_H_Leg.jpg,0,all,features.12,Conv2d,Linear (before activation),"(1, 256, 56, 56)",0.682215,1.464830,0.000000,22.192316,250956,551860,0.000000,0.000000,0.599001,"(3, 3)",256,1,0.568721
/mnt/sdc/concepts/concepts_links/concept_150/horse/all/horse13-6_crop_1_H_Leg.jpg,0,all,features.13,ReLU,"ReLU: max(0, x)","(1, 256, 56, 56)",0.682215,1.464830,0.000000,22.192316,250956,551860,0.000000,0.000000,0.599001,N/A,N/A,1,0.568721
/mnt/sdc/concepts/concepts_links/concept_150/horse/all/horse13-6_crop_1_H_Leg.jpg,0,all,features.14,Conv2d,Linear (before activation),"(1, 256, 56, 56)",0.381955,1.296357,0.000000,39.391151,124058,678758,0.000000,0.000000,0.000000,"(3, 3)",256,1,0.568721
/mnt/sdc/concepts/concepts_links/concept_150/horse/all/horse13-6_crop_1_H_Leg.jpg,0,all,features.15,ReLU,"ReLU: max(0, x)","(1, 256, 56, 56)",0.381955,1.296357,0.000000,39.391151,124058,678758,0.000000,0.000000,0.000000,N/A,N/A,1,0.568721
/mnt/sdc/concepts/concepts_links/concept_150/horse/all/horse13-6_crop_1_H_Leg.jpg,0,all,features.16,MaxPool2d,MaxPool,"(1, 256, 28, 28)",0.768955,1.853707,0.000000,39.391151,55641,145063,0.000000,0.000000,0.326644,N/A,N/A,1,0.568721
/mnt/sdc/concepts/concepts_links/concept_150/horse/all/horse13-6_crop_1_H_Leg.jpg,0,all,features.17,Conv2d,Linear (before activation),"(1, 512, 28, 28)",0.434437,1.261452,0.000000,31.392387,79214,322194,0.000000,0.000000,0.000000,"(3, 3)",512,1,0.568721
/mnt/sdc/concepts/concepts_links/concept_150/horse/all/horse13-6_crop_1_H_Leg.jpg,0,all,features.18,ReLU,"ReLU: max(0, x)","(1, 512, 28, 28)",0.434437,1.261452,0.000000,31.392387,79214,322194,0.000000,0.000000,0.000000,N/A,N/A,1,0.568721
/mnt/sdc/concepts/concepts_links/concept_150/horse/all/horse13-6_crop_1_H_Leg.jpg,0,all,features.19,Conv2d,Linear (before activation),"(1, 512, 28, 28)",0.339387,0.972458,0.000000,24.403040,79091,322317,0.000000,0.000000,0.000000,"(3, 3)",512,1,0.568721
/mnt/sdc/concepts/concepts_links/concept_150/horse/all/horse13-6_crop_1_H_Leg.jpg,0,all,features.20,ReLU,"ReLU: max(0, x)","(1, 512, 28, 28)",0.339387,0.972458,0.000000,24.403040,79091,322317,0.000000,0.000000,0.000000,N/A,N/A,1,0.568721
/mnt/sdc/concepts/concepts_links/concept_150/horse/all/horse13-6_crop_1_H_Leg.jpg,0,all,features.21,Conv2d,Linear (before activation),"(1, 512, 28, 28)",0.106920,0.503439,0.000000,14.898953,33422,367986,0.000000,0.000000,0.000000,"(3, 3)",512,1,0.568721
/mnt/sdc/concepts/concepts_links/concept_150/horse/all/horse13-6_crop_1_H_Leg.jpg,0,all,features.22,ReLU,"ReLU: max(0, x)","(1, 512, 28, 28)",0.106920,0.503439,0.000000,14.898953,33422,367986,0.000000,0.000000,0.000000,N/A,N/A,1,0.568721
/mnt/sdc/concepts/concepts_links/concept_150/horse/all/horse13-6_crop_1_H_Leg.jpg,0,all,features.23,MaxPool2d,MaxPool,"(1, 512, 14, 14)",0.228472,0.750516,0.000000,14.898953,16184,84168,0.000000,0.000000,0.000000,N/A,N/A,1,0.568721
/mnt/sdc/concepts/concepts_links/concept_150/horse/all/horse13-6_crop_1_H_Leg.jpg,0,all,features.24,Conv2d,Linear (before activation),"(1, 512, 14, 14)",0.222347,0.607822,0.000000,9.967990,21732,78620,0.000000,0.000000,0.000000,"(3, 3)",512,1,0.568721
/mnt/sdc/concepts/concepts_links/concept_150/horse/all/horse13-6_crop_1_H_Leg.jpg,0,all,features.25,ReLU,"ReLU: max(0, x)","(1, 512, 14, 14)",0.222347,0.607822,0.000000,9.967990,21732,78620,0.000000,0.000000,0.000000,N/A,N/A,1,0.568721
/mnt/sdc/concepts/concepts_links/concept_150/horse/all/horse13-6_crop_1_H_Leg.jpg,0,all,features.26,Conv2d,Linear (before activation),"(1, 512, 14, 14)",0.174107,0.492005,0.000000,6.205664,20012,80340,0.000000,0.000000,0.000000,"(3, 3)",512,1,0.568721
/mnt/sdc/concepts/concepts_links/concept_150/horse/all/horse13-6_crop_1_H_Leg.jpg,0,all,features.27,ReLU,"ReLU: max(0, x)","(1, 512, 14, 14)",0.174107,0.492005,0.000000,6.205664,20012,80340,0.000000,0.000000,0.000000,N/A,N/A,1,0.568721
/mnt/sdc/concepts/concepts_links/concept_150/horse/all/horse13-6_crop_1_H_Leg.jpg,0,all,features.28,Conv2d,Linear (before activation),"(1, 512, 14, 14)",0.046813,0.232605,0.000000,4.862461,7651,92701,0.000000,0.000000,0.000000,"(3, 3)",512,1,0.568721
