Image Path,Class Label,Class Name,Layer Name,Layer Type,Transfer Function,Output Shape,Mean Activation,Std Activation,Min Activation,Max Activation, Pos activations,Neg activations,Q1,Q2,Q3,Kernel Shape,Kernel Count,Predicted Class,Predicted Probability
/mnt/sdc/concepts/concepts_links/concept_150/zebra/all/39e7a4f1c8_crop_0_zebra_face.jpg,0,all,Conv2d_1a_3x3.conv,Conv2d,Linear (before activation),"(1, 32, 111, 111)",-0.020456,0.249716,-1.809396,1.455128,174143,220129,-0.165242,-0.024581,0.116321,"(3, 3)",32,2,0.999981
/mnt/sdc/concepts/concepts_links/concept_150/zebra/all/39e7a4f1c8_crop_0_zebra_face.jpg,0,all,Conv2d_2a_3x3.conv,Conv2d,Linear (before activation),"(1, 32, 109, 109)",-0.461396,3.046856,-24.824661,19.703531,149825,230367,-1.387208,-0.236188,0.743948,"(3, 3)",32,2,0.999981
/mnt/sdc/concepts/concepts_links/concept_150/zebra/all/39e7a4f1c8_crop_0_zebra_face.jpg,0,all,Conv2d_2b_3x3.conv,Conv2d,Linear (before activation),"(1, 64, 109, 109)",-1.522068,2.159679,-16.511034,11.708344,152676,607708,-2.837697,-1.216020,-0.239958,"(3, 3)",64,2,0.999981
/mnt/sdc/concepts/concepts_links/concept_150/zebra/all/39e7a4f1c8_crop_0_zebra_face.jpg,0,all,maxpool1,MaxPool2d,MaxPool,"(1, 64, 54, 54)",1.239497,1.255177,0.000000,11.152467,155134,31490,0.237013,0.888572,1.894018,N/A,N/A,2,0.999981
/mnt/sdc/concepts/concepts_links/concept_150/zebra/all/39e7a4f1c8_crop_0_zebra_face.jpg,0,all,Conv2d_3b_1x1.conv,Conv2d,Linear (before activation),"(1, 80, 54, 54)",-0.853563,2.203669,-14.249484,12.671556,70151,163129,-1.914004,-0.723722,0.194166,"(1, 1)",80,2,0.999981
/mnt/sdc/concepts/concepts_links/concept_150/zebra/all/39e7a4f1c8_crop_0_zebra_face.jpg,0,all,Conv2d_4a_3x3.conv,Conv2d,Linear (before activation),"(1, 192, 52, 52)",-0.472654,2.470482,-14.613919,25.201479,198064,321104,-1.498354,-0.448725,0.556647,"(3, 3)",192,2,0.999981
/mnt/sdc/concepts/concepts_links/concept_150/zebra/all/39e7a4f1c8_crop_0_zebra_face.jpg,0,all,maxpool2,MaxPool2d,MaxPool,"(1, 192, 25, 25)",1.480351,1.328901,0.000000,8.825163,98417,21583,0.269037,1.221656,2.398129,N/A,N/A,2,0.999981
/mnt/sdc/concepts/concepts_links/concept_150/zebra/all/39e7a4f1c8_crop_0_zebra_face.jpg,0,all,Mixed_5b.branch1x1.conv,Conv2d,Linear (before activation),"(1, 64, 25, 25)",0.731315,2.939561,-10.144018,17.551737,21985,18015,-1.072114,0.277874,2.024125,"(1, 1)",64,2,0.999981
/mnt/sdc/concepts/concepts_links/concept_150/zebra/all/39e7a4f1c8_crop_0_zebra_face.jpg,0,all,Mixed_5b.branch5x5_1.conv,Conv2d,Linear (before activation),"(1, 48, 25, 25)",-0.024920,1.428973,-6.383144,7.674840,14084,15916,-0.937010,-0.089597,0.801035,"(1, 1)",48,2,0.999981
/mnt/sdc/concepts/concepts_links/concept_150/zebra/all/39e7a4f1c8_crop_0_zebra_face.jpg,0,all,Mixed_5b.branch5x5_2.conv,Conv2d,Linear (before activation),"(1, 64, 25, 25)",-0.783859,2.365503,-15.428567,10.596786,15549,24451,-1.912589,-0.495200,0.659197,"(5, 5)",64,2,0.999981
/mnt/sdc/concepts/concepts_links/concept_150/zebra/all/39e7a4f1c8_crop_0_zebra_face.jpg,0,all,Mixed_5b.branch3x3dbl_1.conv,Conv2d,Linear (before activation),"(1, 64, 25, 25)",-0.270850,2.465128,-15.173460,10.848761,17541,22459,-1.673472,-0.291851,1.135009,"(1, 1)",64,2,0.999981
/mnt/sdc/concepts/concepts_links/concept_150/zebra/all/39e7a4f1c8_crop_0_zebra_face.jpg,0,all,Mixed_5b.branch3x3dbl_2.conv,Conv2d,Linear (before activation),"(1, 96, 25, 25)",-0.557640,1.544056,-7.050400,5.596672,21901,38099,-1.468832,-0.490504,0.447675,"(3, 3)",96,2,0.999981
/mnt/sdc/concepts/concepts_links/concept_150/zebra/all/39e7a4f1c8_crop_0_zebra_face.jpg,0,all,Mixed_5b.branch3x3dbl_3.conv,Conv2d,Linear (before activation),"(1, 96, 25, 25)",-0.369539,1.114702,-6.246448,7.161585,20879,39121,-1.054213,-0.371513,0.272103,"(3, 3)",96,2,0.999981
/mnt/sdc/concepts/concepts_links/concept_150/zebra/all/39e7a4f1c8_crop_0_zebra_face.jpg,0,all,Mixed_5b.branch_pool.conv,Conv2d,Linear (before activation),"(1, 32, 25, 25)",-0.176983,1.446106,-4.524778,4.282130,8437,11563,-1.122468,-0.271481,0.613298,"(1, 1)",32,2,0.999981
/mnt/sdc/concepts/concepts_links/concept_150/zebra/all/39e7a4f1c8_crop_0_zebra_face.jpg,0,all,Mixed_5c.branch1x1.conv,Conv2d,Linear (before activation),"(1, 64, 25, 25)",0.786100,2.733093,-9.591440,14.062127,25464,14536,-0.836246,0.741862,2.375868,"(1, 1)",64,2,0.999981
/mnt/sdc/concepts/concepts_links/concept_150/zebra/all/39e7a4f1c8_crop_0_zebra_face.jpg,0,all,Mixed_5c.branch5x5_1.conv,Conv2d,Linear (before activation),"(1, 48, 25, 25)",-0.292576,1.534567,-7.612252,6.190757,12431,17569,-1.254986,-0.312928,0.613745,"(1, 1)",48,2,0.999981
/mnt/sdc/concepts/concepts_links/concept_150/zebra/all/39e7a4f1c8_crop_0_zebra_face.jpg,0,all,Mixed_5c.branch5x5_2.conv,Conv2d,Linear (before activation),"(1, 64, 25, 25)",-0.894862,1.560944,-12.766886,7.775683,10567,29433,-1.844571,-0.877485,0.058111,"(5, 5)",64,2,0.999981
/mnt/sdc/concepts/concepts_links/concept_150/zebra/all/39e7a4f1c8_crop_0_zebra_face.jpg,0,all,Mixed_5c.branch3x3dbl_1.conv,Conv2d,Linear (before activation),"(1, 64, 25, 25)",-0.367270,1.976395,-9.321081,10.251093,16878,23122,-1.415916,-0.298997,0.718672,"(1, 1)",64,2,0.999981
/mnt/sdc/concepts/concepts_links/concept_150/zebra/all/39e7a4f1c8_crop_0_zebra_face.jpg,0,all,Mixed_5c.branch3x3dbl_2.conv,Conv2d,Linear (before activation),"(1, 96, 25, 25)",-0.737803,1.267032,-6.992607,5.642953,15331,44669,-1.559096,-0.780751,0.020093,"(3, 3)",96,2,0.999981
/mnt/sdc/concepts/concepts_links/concept_150/zebra/all/39e7a4f1c8_crop_0_zebra_face.jpg,0,all,Mixed_5c.branch3x3dbl_3.conv,Conv2d,Linear (before activation),"(1, 96, 25, 25)",-0.175978,0.863624,-4.537832,4.684044,23041,36959,-0.736826,-0.240063,0.338413,"(3, 3)",96,2,0.999981
/mnt/sdc/concepts/concepts_links/concept_150/zebra/all/39e7a4f1c8_crop_0_zebra_face.jpg,0,all,Mixed_5c.branch_pool.conv,Conv2d,Linear (before activation),"(1, 64, 25, 25)",-0.525686,1.043539,-6.887067,4.894787,11468,28532,-1.133743,-0.487724,0.100680,"(1, 1)",64,2,0.999981
/mnt/sdc/concepts/concepts_links/concept_150/zebra/all/39e7a4f1c8_crop_0_zebra_face.jpg,0,all,Mixed_5d.branch1x1.conv,Conv2d,Linear (before activation),"(1, 64, 25, 25)",-0.399265,2.037902,-15.286092,12.113835,16906,23094,-1.692280,-0.384770,0.933733,"(1, 1)",64,2,0.999981
/mnt/sdc/concepts/concepts_links/concept_150/zebra/all/39e7a4f1c8_crop_0_zebra_face.jpg,0,all,Mixed_5d.branch5x5_1.conv,Conv2d,Linear (before activation),"(1, 48, 25, 25)",-0.305512,1.558106,-7.421697,7.547999,12250,17750,-1.360274,-0.360659,0.684030,"(1, 1)",48,2,0.999981
/mnt/sdc/concepts/concepts_links/concept_150/zebra/all/39e7a4f1c8_crop_0_zebra_face.jpg,0,all,Mixed_5d.branch5x5_2.conv,Conv2d,Linear (before activation),"(1, 64, 25, 25)",-0.437901,1.435241,-9.021854,7.361951,14423,25577,-1.308785,-0.443569,0.410194,"(5, 5)",64,2,0.999981
/mnt/sdc/concepts/concepts_links/concept_150/zebra/all/39e7a4f1c8_crop_0_zebra_face.jpg,0,all,Mixed_5d.branch3x3dbl_1.conv,Conv2d,Linear (before activation),"(1, 64, 25, 25)",0.245636,1.449869,-6.276746,9.146100,22733,17267,-0.525036,0.168631,0.966611,"(1, 1)",64,2,0.999981
/mnt/sdc/concepts/concepts_links/concept_150/zebra/all/39e7a4f1c8_crop_0_zebra_face.jpg,0,all,Mixed_5d.branch3x3dbl_2.conv,Conv2d,Linear (before activation),"(1, 96, 25, 25)",-0.493414,1.062041,-9.810337,7.302558,17943,42057,-1.066151,-0.467207,0.138821,"(3, 3)",96,2,0.999981
/mnt/sdc/concepts/concepts_links/concept_150/zebra/all/39e7a4f1c8_crop_0_zebra_face.jpg,0,all,Mixed_5d.branch3x3dbl_3.conv,Conv2d,Linear (before activation),"(1, 96, 25, 25)",-0.472195,0.794833,-4.885504,8.260175,15071,44929,-0.928917,-0.454814,0.002248,"(3, 3)",96,2,0.999981
