Image Path,Class Label,Class Name,Layer Name,Layer Type,Transfer Function,Output Shape,Mean Activation,Std Activation,Min Activation,Max Activation, Pos activations,Neg activations,Q1,Q2,Q3,Kernel Shape,Kernel Count,Predicted Class,Predicted Probability
/mnt/sdc/concepts/concepts_links/concept_150/zebra/all/39e7a4f1c8_crop_0_zebra_face.jpg,0,all,features.0.0,Conv2d,Linear (before activation),"(1, 16, 112, 112)",0.314658,4.204654,-37.277168,42.974018,102391,98313,-0.822830,0.025458,1.497401,"(3, 3)",16,0,0.388658
/mnt/sdc/concepts/concepts_links/concept_150/zebra/all/39e7a4f1c8_crop_0_zebra_face.jpg,0,all,features.1.block.0.0,Conv2d,Linear (before activation),"(1, 16, 112, 112)",0.460883,3.146043,-17.564503,44.217602,120475,80229,-0.000000,0.000000,0.219198,"(3, 3)",16,0,0.388658
/mnt/sdc/concepts/concepts_links/concept_150/zebra/all/39e7a4f1c8_crop_0_zebra_face.jpg,0,all,features.1.block.0.2,ReLU,"ReLU: max(0, x)","(1, 16, 112, 112)",0.339824,0.632206,0.000000,5.396979,79684,121020,0.000000,0.000000,0.370558,N/A,N/A,0,0.388658
/mnt/sdc/concepts/concepts_links/concept_150/zebra/all/39e7a4f1c8_crop_0_zebra_face.jpg,0,all,features.1.block.1.0,Conv2d,Linear (before activation),"(1, 16, 112, 112)",0.360514,1.421974,-7.388299,8.561184,132085,68619,-0.365668,0.306850,1.339483,"(1, 1)",16,0,0.388658
/mnt/sdc/concepts/concepts_links/concept_150/zebra/all/39e7a4f1c8_crop_0_zebra_face.jpg,0,all,features.2.block.0.0,Conv2d,Linear (before activation),"(1, 64, 112, 112)",-0.496214,4.171379,-29.003551,43.955070,399161,403655,-1.424416,-0.000000,0.423455,"(1, 1)",64,0,0.388658
/mnt/sdc/concepts/concepts_links/concept_150/zebra/all/39e7a4f1c8_crop_0_zebra_face.jpg,0,all,features.2.block.0.2,ReLU,"ReLU: max(0, x)","(1, 64, 112, 112)",0.315547,0.455449,0.000000,8.211820,517292,285524,0.000000,0.000000,0.590923,N/A,N/A,0,0.388658
/mnt/sdc/concepts/concepts_links/concept_150/zebra/all/39e7a4f1c8_crop_0_zebra_face.jpg,0,all,features.2.block.1.0,Conv2d,Linear (before activation),"(1, 64, 56, 56)",0.095008,1.040435,-9.122365,8.299393,80421,120283,-0.000000,0.000000,0.091603,"(3, 3)",64,0,0.388658
/mnt/sdc/concepts/concepts_links/concept_150/zebra/all/39e7a4f1c8_crop_0_zebra_face.jpg,0,all,features.2.block.1.2,ReLU,"ReLU: max(0, x)","(1, 64, 56, 56)",0.421896,0.701463,0.000000,5.272067,94689,106015,0.000000,0.000000,0.625314,N/A,N/A,0,0.388658
/mnt/sdc/concepts/concepts_links/concept_150/zebra/all/39e7a4f1c8_crop_0_zebra_face.jpg,0,all,features.2.block.2.0,Conv2d,Linear (before activation),"(1, 24, 56, 56)",-0.918987,3.436903,-17.026129,14.421603,30892,44372,-3.365109,-0.785530,1.742110,"(1, 1)",24,0,0.388658
/mnt/sdc/concepts/concepts_links/concept_150/zebra/all/39e7a4f1c8_crop_0_zebra_face.jpg,0,all,features.3.block.0.0,Conv2d,Linear (before activation),"(1, 72, 56, 56)",0.022791,1.259950,-11.433210,8.819693,115960,109832,-0.390825,0.000000,0.522564,"(1, 1)",72,0,0.388658
