Image Path,Class Label,Class Name,Layer Name,Layer Type,Transfer Function,Output Shape,Mean Activation,Std Activation,Min Activation,Max Activation, Pos activations,Neg activations,Q1,Q2,Q3,Kernel Shape,Kernel Count,Predicted Class,Predicted Probability
/mnt/sdc/concepts/concepts_links/concept_150/zebra/all/39e7a4f1c8_crop_0_zebra_face.jpg,0,all,features.0.0,Conv2d,Linear (before activation),"(1, 16, 112, 112)",-0.005961,3.760542,-18.588976,14.240416,109906,90798,-1.873774,0.135208,1.917971,"(3, 3)",16,2,0.762837
/mnt/sdc/concepts/concepts_links/concept_150/zebra/all/39e7a4f1c8_crop_0_zebra_face.jpg,0,all,features.1.block.0.0,Conv2d,Linear (before activation),"(1, 16, 56, 56)",0.036187,3.815550,-22.430391,36.967224,23208,26968,-0.471114,-0.007617,0.363008,"(3, 3)",16,2,0.762837
/mnt/sdc/concepts/concepts_links/concept_150/zebra/all/39e7a4f1c8_crop_0_zebra_face.jpg,0,all,features.1.block.0.2,ReLU,"ReLU: max(0, x)","(1, 16, 56, 56)",1.040515,0.927639,0.000000,7.621197,43095,7081,0.260566,0.841393,1.628185,N/A,N/A,2,0.762837
/mnt/sdc/concepts/concepts_links/concept_150/zebra/all/39e7a4f1c8_crop_0_zebra_face.jpg,0,all,features.1.block.1.fc1,Conv2d,Linear (before activation),"(1, 8, 1, 1)",-0.002243,0.006343,-0.017941,-0.000000,0,8,-0.000000,-0.000000,-0.000000,"(1, 1)",8,2,0.762837
/mnt/sdc/concepts/concepts_links/concept_150/zebra/all/39e7a4f1c8_crop_0_zebra_face.jpg,0,all,features.1.block.1.fc2,Conv2d,Linear (before activation),"(1, 16, 1, 1)",0.007690,0.642352,-1.141718,1.357134,7,9,-0.384451,-0.235901,0.568489,"(1, 1)",16,2,0.762837
/mnt/sdc/concepts/concepts_links/concept_150/zebra/all/39e7a4f1c8_crop_0_zebra_face.jpg,0,all,features.1.block.1.activation,ReLU,"ReLU: max(0, x)","(1, 8, 1, 1)",0.000000,0.000000,0.000000,0.000000,0,8,0.000000,0.000000,0.000000,N/A,N/A,2,0.762837
/mnt/sdc/concepts/concepts_links/concept_150/zebra/all/39e7a4f1c8_crop_0_zebra_face.jpg,0,all,features.1.block.2.0,Conv2d,Linear (before activation),"(1, 16, 56, 56)",1.391663,2.218434,-8.542418,9.128404,36670,13506,-0.132762,1.450093,3.007019,"(1, 1)",16,2,0.762837
/mnt/sdc/concepts/concepts_links/concept_150/zebra/all/39e7a4f1c8_crop_0_zebra_face.jpg,0,all,features.2.block.0.0,Conv2d,Linear (before activation),"(1, 72, 56, 56)",-0.111485,3.143686,-37.485493,30.310062,112693,113099,-1.075241,-0.000000,1.151915,"(1, 1)",72,2,0.762837
/mnt/sdc/concepts/concepts_links/concept_150/zebra/all/39e7a4f1c8_crop_0_zebra_face.jpg,0,all,features.2.block.0.2,ReLU,"ReLU: max(0, x)","(1, 72, 56, 56)",0.490439,0.525165,0.000000,10.006576,159762,66030,0.000000,0.460143,0.762164,N/A,N/A,2,0.762837
/mnt/sdc/concepts/concepts_links/concept_150/zebra/all/39e7a4f1c8_crop_0_zebra_face.jpg,0,all,features.2.block.1.0,Conv2d,Linear (before activation),"(1, 72, 28, 28)",-0.101964,1.182590,-6.038203,18.013865,20114,36334,-0.430605,-0.010478,0.111875,"(3, 3)",72,2,0.762837
/mnt/sdc/concepts/concepts_links/concept_150/zebra/all/39e7a4f1c8_crop_0_zebra_face.jpg,0,all,features.2.block.1.2,ReLU,"ReLU: max(0, x)","(1, 72, 28, 28)",0.516524,0.845334,0.000000,7.806143,33956,22492,0.000000,0.104984,0.715847,N/A,N/A,2,0.762837
/mnt/sdc/concepts/concepts_links/concept_150/zebra/all/39e7a4f1c8_crop_0_zebra_face.jpg,0,all,features.2.block.2.0,Conv2d,Linear (before activation),"(1, 24, 28, 28)",-1.092884,5.180213,-26.164719,15.250605,9172,9644,-4.444542,-0.128933,2.456547,"(1, 1)",24,2,0.762837
/mnt/sdc/concepts/concepts_links/concept_150/zebra/all/39e7a4f1c8_crop_0_zebra_face.jpg,0,all,features.3.block.0.0,Conv2d,Linear (before activation),"(1, 88, 28, 28)",-0.077500,3.108753,-30.939566,25.795153,34458,34534,-1.200307,-0.000000,1.215340,"(1, 1)",88,2,0.762837
/mnt/sdc/concepts/concepts_links/concept_150/zebra/all/39e7a4f1c8_crop_0_zebra_face.jpg,0,all,features.3.block.0.2,ReLU,"ReLU: max(0, x)","(1, 88, 28, 28)",0.392772,0.473951,0.000000,4.559011,43638,25354,0.000000,0.232317,0.666126,N/A,N/A,2,0.762837
/mnt/sdc/concepts/concepts_links/concept_150/zebra/all/39e7a4f1c8_crop_0_zebra_face.jpg,0,all,features.3.block.1.0,Conv2d,Linear (before activation),"(1, 88, 28, 28)",-0.070682,0.666068,-6.378417,4.055964,25933,43059,-0.130209,0.000000,0.090606,"(3, 3)",88,2,0.762837
