Image Path,Class Label,Class Name,Layer Name,Layer Type,Transfer Function,Output Shape,Mean Activation,Std Activation,Min Activation,Max Activation, Pos activations,Neg activations,Q1,Q2,Q3,Kernel Shape,Kernel Count,Predicted Class,Predicted Probability
/mnt/sdc/concepts/concepts_links/concept_150/zebra/all/39e7a4f1c8_crop_0_zebra_face.jpg,0,all,conv1,Conv2d,Linear (before activation),"(1, 64, 112, 112)",-0.038305,2.014671,-18.955961,18.589096,385559,417257,-0.586429,-0.023333,0.551199,"(7, 7)",64,2,0.721811
/mnt/sdc/concepts/concepts_links/concept_150/zebra/all/39e7a4f1c8_crop_0_zebra_face.jpg,0,all,relu,ReLU,"ReLU: max(0, x)","(1, 64, 112, 112)",0.271961,0.296594,0.000000,2.372941,654483,148333,0.074975,0.190603,0.349188,N/A,N/A,2,0.721811
/mnt/sdc/concepts/concepts_links/concept_150/zebra/all/39e7a4f1c8_crop_0_zebra_face.jpg,0,all,maxpool,MaxPool2d,MaxPool,"(1, 64, 56, 56)",0.420181,0.344947,0.000000,2.372941,186085,14619,0.193783,0.319376,0.558778,N/A,N/A,2,0.721811
/mnt/sdc/concepts/concepts_links/concept_150/zebra/all/39e7a4f1c8_crop_0_zebra_face.jpg,0,all,layer1.0.conv1,Conv2d,Linear (before activation),"(1, 64, 56, 56)",-0.155393,0.447860,-2.123359,2.897202,54113,146591,-0.383720,-0.167168,0.000000,"(1, 1)",64,2,0.721811
/mnt/sdc/concepts/concepts_links/concept_150/zebra/all/39e7a4f1c8_crop_0_zebra_face.jpg,0,all,layer1.0.conv2,Conv2d,Linear (before activation),"(1, 64, 56, 56)",0.045587,0.313172,-1.585231,1.751238,114377,86327,-0.123775,0.034204,0.232916,"(3, 3)",64,2,0.721811
/mnt/sdc/concepts/concepts_links/concept_150/zebra/all/39e7a4f1c8_crop_0_zebra_face.jpg,0,all,layer1.0.conv3,Conv2d,Linear (before activation),"(1, 256, 56, 56)",-0.000972,0.107733,-0.510075,0.627825,383275,419541,-0.045044,-0.000001,0.040430,"(1, 1)",256,2,0.721811
/mnt/sdc/concepts/concepts_links/concept_150/zebra/all/39e7a4f1c8_crop_0_zebra_face.jpg,0,all,layer1.0.relu,ReLU,"ReLU: max(0, x)","(1, 256, 56, 56)",0.150931,0.199809,0.000000,1.832856,443606,359210,0.000000,0.047792,0.264153,N/A,N/A,2,0.721811
/mnt/sdc/concepts/concepts_links/concept_150/zebra/all/39e7a4f1c8_crop_0_zebra_face.jpg,0,all,layer1.0.downsample.0,Conv2d,Linear (before activation),"(1, 256, 56, 56)",-0.111140,0.383454,-1.883768,3.287581,299933,502883,-0.330723,-0.057004,0.078837,"(1, 1)",256,2,0.721811
/mnt/sdc/concepts/concepts_links/concept_150/zebra/all/39e7a4f1c8_crop_0_zebra_face.jpg,0,all,layer1.1.conv1,Conv2d,Linear (before activation),"(1, 64, 56, 56)",0.049049,0.282711,-1.083520,1.248941,114492,86212,-0.122522,0.025990,0.240667,"(1, 1)",64,2,0.721811
/mnt/sdc/concepts/concepts_links/concept_150/zebra/all/39e7a4f1c8_crop_0_zebra_face.jpg,0,all,layer1.1.conv2,Conv2d,Linear (before activation),"(1, 64, 56, 56)",-0.030187,0.207854,-0.936610,0.743036,89940,110764,-0.167347,-0.028391,0.110743,"(3, 3)",64,2,0.721811
/mnt/sdc/concepts/concepts_links/concept_150/zebra/all/39e7a4f1c8_crop_0_zebra_face.jpg,0,all,layer1.1.conv3,Conv2d,Linear (before activation),"(1, 256, 56, 56)",0.000241,0.062288,-0.565243,0.685135,395385,407431,-0.024318,-0.000006,0.019778,"(1, 1)",256,2,0.721811
/mnt/sdc/concepts/concepts_links/concept_150/zebra/all/39e7a4f1c8_crop_0_zebra_face.jpg,0,all,layer1.1.relu,ReLU,"ReLU: max(0, x)","(1, 256, 56, 56)",0.178955,0.212018,0.000000,2.336838,586569,216247,0.000000,0.101567,0.297305,N/A,N/A,2,0.721811
/mnt/sdc/concepts/concepts_links/concept_150/zebra/all/39e7a4f1c8_crop_0_zebra_face.jpg,0,all,layer1.2.conv1,Conv2d,Linear (before activation),"(1, 64, 56, 56)",0.002742,0.255454,-1.152786,1.101864,103398,97306,-0.149484,0.009052,0.171501,"(1, 1)",64,2,0.721811
