Image Path,Class Label,Class Name,Layer Name,Layer Type,Transfer Function,Output Shape,Mean Activation,Std Activation,Min Activation,Max Activation, Pos activations,Neg activations,Q1,Q2,Q3,Kernel Shape,Kernel Count,Predicted Class,Predicted Probability
/mnt/sdc/concepts/concepts_links/concept_150/zebra/all/39e7a4f1c8_crop_0_zebra_face.jpg,0,all,features.0,Conv2d,Linear (before activation),"(1, 64, 224, 224)",0.370624,0.710025,0.000000,13.646594,1753665,1457599,0.000000,0.117977,0.492681,"(3, 3)",64,2,0.995301
/mnt/sdc/concepts/concepts_links/concept_150/zebra/all/39e7a4f1c8_crop_0_zebra_face.jpg,0,all,features.1,ReLU,"ReLU: max(0, x)","(1, 64, 224, 224)",0.370624,0.710025,0.000000,13.646594,1753665,1457599,0.000000,0.117977,0.492681,N/A,N/A,2,0.995301
/mnt/sdc/concepts/concepts_links/concept_150/zebra/all/39e7a4f1c8_crop_0_zebra_face.jpg,0,all,features.2,Conv2d,Linear (before activation),"(1, 64, 224, 224)",0.645839,1.313383,0.000000,21.866848,1553931,1657333,0.000000,0.000000,0.812912,"(3, 3)",64,2,0.995301
/mnt/sdc/concepts/concepts_links/concept_150/zebra/all/39e7a4f1c8_crop_0_zebra_face.jpg,0,all,features.3,ReLU,"ReLU: max(0, x)","(1, 64, 224, 224)",0.645839,1.313383,0.000000,21.866848,1553931,1657333,0.000000,0.000000,0.812912,N/A,N/A,2,0.995301
/mnt/sdc/concepts/concepts_links/concept_150/zebra/all/39e7a4f1c8_crop_0_zebra_face.jpg,0,all,features.4,MaxPool2d,MaxPool,"(1, 64, 112, 112)",1.069846,1.724437,0.000000,21.866848,524040,278776,0.000000,0.409833,1.410479,N/A,N/A,2,0.995301
/mnt/sdc/concepts/concepts_links/concept_150/zebra/all/39e7a4f1c8_crop_0_zebra_face.jpg,0,all,features.5,Conv2d,Linear (before activation),"(1, 128, 112, 112)",0.938708,1.717541,0.000000,27.676477,713175,892457,0.000000,0.000000,1.213617,"(3, 3)",128,2,0.995301
/mnt/sdc/concepts/concepts_links/concept_150/zebra/all/39e7a4f1c8_crop_0_zebra_face.jpg,0,all,features.6,ReLU,"ReLU: max(0, x)","(1, 128, 112, 112)",0.938708,1.717541,0.000000,27.676477,713175,892457,0.000000,0.000000,1.213617,N/A,N/A,2,0.995301
/mnt/sdc/concepts/concepts_links/concept_150/zebra/all/39e7a4f1c8_crop_0_zebra_face.jpg,0,all,features.7,Conv2d,Linear (before activation),"(1, 128, 112, 112)",0.902738,2.279312,0.000000,44.342983,468218,1137414,0.000000,0.000000,0.439322,"(3, 3)",128,2,0.995301
/mnt/sdc/concepts/concepts_links/concept_150/zebra/all/39e7a4f1c8_crop_0_zebra_face.jpg,0,all,features.8,ReLU,"ReLU: max(0, x)","(1, 128, 112, 112)",0.902738,2.279312,0.000000,44.342983,468218,1137414,0.000000,0.000000,0.439322,N/A,N/A,2,0.995301
/mnt/sdc/concepts/concepts_links/concept_150/zebra/all/39e7a4f1c8_crop_0_zebra_face.jpg,0,all,features.9,MaxPool2d,MaxPool,"(1, 128, 56, 56)",1.810384,3.197805,0.000000,44.342983,199374,202034,0.000000,0.000000,2.493450,N/A,N/A,2,0.995301
/mnt/sdc/concepts/concepts_links/concept_150/zebra/all/39e7a4f1c8_crop_0_zebra_face.jpg,0,all,features.10,Conv2d,Linear (before activation),"(1, 256, 56, 56)",1.590877,3.304458,0.000000,51.825390,291102,511714,0.000000,0.000000,1.697252,"(3, 3)",256,2,0.995301
/mnt/sdc/concepts/concepts_links/concept_150/zebra/all/39e7a4f1c8_crop_0_zebra_face.jpg,0,all,features.11,ReLU,"ReLU: max(0, x)","(1, 256, 56, 56)",1.590877,3.304458,0.000000,51.825390,291102,511714,0.000000,0.000000,1.697252,N/A,N/A,2,0.995301
/mnt/sdc/concepts/concepts_links/concept_150/zebra/all/39e7a4f1c8_crop_0_zebra_face.jpg,0,all,features.12,Conv2d,Linear (before activation),"(1, 256, 56, 56)",1.431237,3.394412,0.000000,49.041901,229106,573710,0.000000,0.000000,0.741417,"(3, 3)",256,2,0.995301
/mnt/sdc/concepts/concepts_links/concept_150/zebra/all/39e7a4f1c8_crop_0_zebra_face.jpg,0,all,features.13,ReLU,"ReLU: max(0, x)","(1, 256, 56, 56)",1.431237,3.394412,0.000000,49.041901,229106,573710,0.000000,0.000000,0.741417,N/A,N/A,2,0.995301
/mnt/sdc/concepts/concepts_links/concept_150/zebra/all/39e7a4f1c8_crop_0_zebra_face.jpg,0,all,features.14,Conv2d,Linear (before activation),"(1, 256, 56, 56)",0.891582,3.117248,0.000000,76.983833,123689,679127,0.000000,0.000000,0.000000,"(3, 3)",256,2,0.995301
/mnt/sdc/concepts/concepts_links/concept_150/zebra/all/39e7a4f1c8_crop_0_zebra_face.jpg,0,all,features.15,ReLU,"ReLU: max(0, x)","(1, 256, 56, 56)",0.891582,3.117248,0.000000,76.983833,123689,679127,0.000000,0.000000,0.000000,N/A,N/A,2,0.995301
/mnt/sdc/concepts/concepts_links/concept_150/zebra/all/39e7a4f1c8_crop_0_zebra_face.jpg,0,all,features.16,MaxPool2d,MaxPool,"(1, 256, 28, 28)",1.903829,4.577341,0.000000,76.983833,58446,142258,0.000000,0.000000,1.013826,N/A,N/A,2,0.995301
/mnt/sdc/concepts/concepts_links/concept_150/zebra/all/39e7a4f1c8_crop_0_zebra_face.jpg,0,all,features.17,Conv2d,Linear (before activation),"(1, 512, 28, 28)",1.121423,3.319232,0.000000,63.267532,82651,318757,0.000000,0.000000,0.000000,"(3, 3)",512,2,0.995301
/mnt/sdc/concepts/concepts_links/concept_150/zebra/all/39e7a4f1c8_crop_0_zebra_face.jpg,0,all,features.18,ReLU,"ReLU: max(0, x)","(1, 512, 28, 28)",1.121423,3.319232,0.000000,63.267532,82651,318757,0.000000,0.000000,0.000000,N/A,N/A,2,0.995301
/mnt/sdc/concepts/concepts_links/concept_150/zebra/all/39e7a4f1c8_crop_0_zebra_face.jpg,0,all,features.19,Conv2d,Linear (before activation),"(1, 512, 28, 28)",0.838722,2.632004,0.000000,41.223221,69937,331471,0.000000,0.000000,0.000000,"(3, 3)",512,2,0.995301
/mnt/sdc/concepts/concepts_links/concept_150/zebra/all/39e7a4f1c8_crop_0_zebra_face.jpg,0,all,features.20,ReLU,"ReLU: max(0, x)","(1, 512, 28, 28)",0.838722,2.632004,0.000000,41.223221,69937,331471,0.000000,0.000000,0.000000,N/A,N/A,2,0.995301
/mnt/sdc/concepts/concepts_links/concept_150/zebra/all/39e7a4f1c8_crop_0_zebra_face.jpg,0,all,features.21,Conv2d,Linear (before activation),"(1, 512, 28, 28)",0.301215,1.434039,0.000000,38.961277,32818,368590,0.000000,0.000000,0.000000,"(3, 3)",512,2,0.995301
/mnt/sdc/concepts/concepts_links/concept_150/zebra/all/39e7a4f1c8_crop_0_zebra_face.jpg,0,all,features.22,ReLU,"ReLU: max(0, x)","(1, 512, 28, 28)",0.301215,1.434039,0.000000,38.961277,32818,368590,0.000000,0.000000,0.000000,N/A,N/A,2,0.995301
/mnt/sdc/concepts/concepts_links/concept_150/zebra/all/39e7a4f1c8_crop_0_zebra_face.jpg,0,all,features.23,MaxPool2d,MaxPool,"(1, 512, 14, 14)",0.590809,2.042064,0.000000,38.961277,14865,85487,0.000000,0.000000,0.000000,N/A,N/A,2,0.995301
/mnt/sdc/concepts/concepts_links/concept_150/zebra/all/39e7a4f1c8_crop_0_zebra_face.jpg,0,all,features.24,Conv2d,Linear (before activation),"(1, 512, 14, 14)",0.546828,1.665955,0.000000,25.931076,19021,81331,0.000000,0.000000,0.000000,"(3, 3)",512,2,0.995301
/mnt/sdc/concepts/concepts_links/concept_150/zebra/all/39e7a4f1c8_crop_0_zebra_face.jpg,0,all,features.25,ReLU,"ReLU: max(0, x)","(1, 512, 14, 14)",0.546828,1.665955,0.000000,25.931076,19021,81331,0.000000,0.000000,0.000000,N/A,N/A,2,0.995301
/mnt/sdc/concepts/concepts_links/concept_150/zebra/all/39e7a4f1c8_crop_0_zebra_face.jpg,0,all,features.26,Conv2d,Linear (before activation),"(1, 512, 14, 14)",0.389402,1.296322,0.000000,17.678104,16158,84194,0.000000,0.000000,0.000000,"(3, 3)",512,2,0.995301
/mnt/sdc/concepts/concepts_links/concept_150/zebra/all/39e7a4f1c8_crop_0_zebra_face.jpg,0,all,features.27,ReLU,"ReLU: max(0, x)","(1, 512, 14, 14)",0.389402,1.296322,0.000000,17.678104,16158,84194,0.000000,0.000000,0.000000,N/A,N/A,2,0.995301
/mnt/sdc/concepts/concepts_links/concept_150/zebra/all/39e7a4f1c8_crop_0_zebra_face.jpg,0,all,features.28,Conv2d,Linear (before activation),"(1, 512, 14, 14)",0.150831,0.724529,0.000000,18.076294,9172,91180,0.000000,0.000000,0.000000,"(3, 3)",512,2,0.995301
/mnt/sdc/concepts/concepts_links/concept_150/zebra/all/39e7a4f1c8_crop_0_zebra_face.jpg,0,all,features.29,ReLU,"ReLU: max(0, x)","(1, 512, 14, 14)",0.150831,0.724529,0.000000,18.076294,9172,91180,0.000000,0.000000,0.000000,N/A,N/A,2,0.995301
/mnt/sdc/concepts/concepts_links/concept_150/zebra/all/39e7a4f1c8_crop_0_zebra_face.jpg,0,all,features.30,MaxPool2d,MaxPool,"(1, 512, 7, 7)",0.259769,0.951172,0.000000,18.076294,3739,21349,0.000000,0.000000,0.000000,N/A,N/A,2,0.995301
/mnt/sdc/concepts/concepts_links/concept_150/zebra/all/39e7a4f1c8_crop_0_zebra_face.jpg,0,all,classifier.0,Linear,Linear (before activation),"(1, 4096)",0.537674,1.188847,0.000000,9.656307,1174,2922,0.000000,0.000000,0.352030,"(25088, 4096)",4096,2,0.995301
/mnt/sdc/concepts/concepts_links/concept_150/zebra/all/39e7a4f1c8_crop_0_zebra_face.jpg,0,all,classifier.1,ReLU,"ReLU: max(0, x)","(1, 4096)",0.537674,1.188847,0.000000,9.656307,1174,2922,0.000000,0.000000,0.352030,N/A,N/A,2,0.995301
